song_id,title,artist,classification,valid_source,valid_row_count,invalid_row_count,observed_statuses
000RW47rhEkSqjgTrZx7YX,Lance Individual,Jorge & Mateus,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
000xQL6tZNLJzIrtIgxqSl,Still Got Time (feat. PARTYNEXTDOOR),ZAYN,FOUND_VALID,GENIUS,1,0,FOUND:1
000xYdQfIZ4pDmBGzQalKU,"Eu, Você, O Mar e Ela",Luan Santana,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
001b8t3bYPfnabpjpfG1Y4,Geen Stof,Josylvio,FOUND_VALID,LRCLIB,1,0,FOUND:1
001cKCt7jEOzXjqgkn9DQf,By My Side,Fresco Trey,FOUND_VALID,LETRAS,1,0,FOUND:1
002wiS64p2qXaYYVAP7KOW,Set Myself On Fire,TAEYEON,FOUND_VALID,GENIUS,1,0,FOUND:1
003F0rm5lqxcmhvJPKgfaJ,El Remedio,Ana Guerra,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
003Tf4XVKCg6tFSv7JKgfz,Ulisse,"Claver Gold, Murubutu",FOUND_VALID,GENIUS,1,0,FOUND:1
003VDDA7J3Xb2ZFlNx7nIZ,YELL OH,"Trippie Redd, Young Thug",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
003WZkrHUL3u1uAr5ZMJxZ,The Sailor's Warning,Faela,FOUND_VALID,GENIUS,1,0,FOUND:1
003eoIwxETJujVWmNFMoZy,Growing Pains,Alessia Cara,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
003niTBICnycFULA2b32rW,DreamChasers,"Jimmyjamez, Raw Deal Da Don",PENDING_RETRY,,0,1,MISSING:1
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00425NiwsF8LefyoOy8HB3,N26 (feat. Maes),Kaza,FOUND_VALID,GENIUS,1,0,FOUND:1
004ls73ZeoFGAD1yP7RUvY,Ya Betfaker Ya Bet7es,Sherine,FOUND_VALID,GENIUS,1,0,FOUND:1
004nEmGTeP5Mus4qXxz3x2,Phoyisa - Live,"Kabza De Small, DJ Maphorisa, Cassper Nyovest, Qwestakufet",FOUND_VALID,LETRAS,1,0,FOUND:1
004q4eDxR33ci4f8m4flwl,El Yeyo,Vicente Garcia,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
004zGvrc84enQHFitC6auy,Mercy On Me (In Sbatti),Guè Pequeno,FOUND_VALID,LRCLIB,1,0,FOUND:1
005L7wkQJa9fS6UOd7FVGA,Spaðar,Logi Pedro,PENDING_RETRY,,0,1,MISSING:1
005oYmIDkyY7FjhNhcfGkv,Hanna från Arlöv,Agnes,FOUND_VALID,GENIUS,1,0,FOUND:1
006LuHbY5Tt9dhbdSOnVq6,RBB (Really Bad Boy),Red Velvet,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
006Q8ORZ9zPjf3IiO5evwX,Gouden Koets,"Jacin Trill, Bokoesam",FOUND_VALID,GENIUS,1,0,FOUND:1
006pMMCuRo2TFjh8sNGSov,"Dias De Luta, Dias De Gloria",Charlie Brown Jr.,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
006u4CXVO2cusq08RrMElQ,10月無口な君を忘れる,あたらよ,FOUND_VALID,GENIUS,1,0,FOUND:1
007PPvZtGDYHSEhYPxqIfC,Been A While,"6LACK, Love Renaissance (LVRN)",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
007QSAaELpVxtX5Z6dMn0U,Laranjinha - Ao Vivo,Wesley Safadão,FOUND_VALID,LETRAS,1,0,FOUND:1
007VTHj6roW99wKcMbUsBR,Egyptian Cotton,"Cassper Nyovest, Anthony Hamilton",FOUND_VALID,GENIUS,1,0,FOUND:1
007d7JT41sSc1HqWTs4uw7,Love Myself,Hailee Steinfeld,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
007ogFejDqJKzEXDUDF8Nf,Zun Da Da,Zion,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
007qEKeXFHJ2r7rMUJaKr8,Straat,Broederliefde,FOUND_VALID,LRCLIB,1,0,FOUND:1
0087fDVeNhuyMtST91RMjv,Kundiman,Silent Sanctuary,FOUND_VALID,GENIUS,1,0,FOUND:1
008A8MMPCshycPlNewvCPn,Top,YNY Sebi,FOUND_VALID,LRCLIB,1,0,FOUND:1
008BXU3kzngyZKVSjCyxpE,Un Pobre Con Dinero,SFDK,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
008aqmngiiKe5jrPSNyV6n,G Wagon,Ozuna,FOUND_VALID,LRCLIB,1,0,FOUND:1
008l1wRs98jv9JKvbYAlJH,El Mero Mero,"Sifax, Bakyl, Worms-T, Sofiane",FOUND_VALID,GENIUS,1,0,FOUND:1
008rk8F6ZxspZT4bUlkIQG,Fever,"YOSA & TAAR, SIRUP",PENDING_RETRY,,0,1,MISSING:1
0094xGbqiiqv8smCrClE9c,All Over,The Main Level,FOUND_VALID,LETRAS,1,0,FOUND:1
009CKw0AJZiyaIFG8uGl5C,Bin Blau (Da Ba Dee),POWERKRYNER,PENDING_RETRY,,0,1,MISSING:1
009ImBOrIUlWgla8U05RAC,Unconditionally,Katy Perry,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
009Zz28Vgvnc5FvMXs6dEm,Ir pagājis ilgs laiks,"ansis, Aija Andrejeva",FOUND_VALID,GENIUS,1,0,FOUND:1
009j4tQyJC53rmgTuXil9E,愛是這樣,Eve Ai,FOUND_VALID,LRCLIB,1,0,FOUND:1
009zJXSLkH8uWrZJ60zNAC,Любовь,T-Fest,FOUND_VALID,GENIUS,1,0,FOUND:1
00A08eyEOT11lVaR0yBQKv,Rewind,Angie Flores,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00AAdAroyCyugTSdsfcH4B,"Mother - Fra TV-Programmet ""The Voice""",Viktoria Birkeli,PENDING_RETRY,,0,1,MISSING:1
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),Cardi B,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00BNT97AtJ5aB8SSsE5xGH,Threat 2 Society,2 Chainz,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00Bi0CSRgw04OgrhWU4hj1,Koditon,Etta,FOUND_VALID,GENIUS,1,0,FOUND:1
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),Post Malone,FOUND_VALID,LETRAS,1,0,FOUND:1
00BuKLSAFkaEkaVAgIMbeA,Telephone,"Lady Gaga, Beyoncé",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00C3ZQ1QnyhVhGKZgsfc6a,Ho Guardato Un'Altra,Mecna,FOUND_VALID,GENIUS,1,0,FOUND:1
00C47repvBYiWwkfE99faH,聽說,Sam Lee,FOUND_VALID,LRCLIB,1,0,FOUND:1
00Coyxt9mTec1acC52qtWa,Starlight,TAEIL,FOUND_VALID,GENIUS,1,0,FOUND:1
00Cxlg96EHYJG2VoTh7Q3D,Pushin' N Pullin',Red Velvet,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00D7fT49Q54HNiaaLY32UA,Arabska noc,"Quebonafide, Solar, Wac Toja",FOUND_VALID,GENIUS,1,0,FOUND:1
00DcwM45CMDjGChnoFRQ6y,Ex Calling,6LACK,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00Dy9idE7FOsG4dbeRo1Pi,Жить не запретишь,Канги,FOUND_VALID,GENIUS,1,0,FOUND:1
00E8i8t3cOgfttaENvj5Mz,30 km/h,"Kali, Flvwlxss",FOUND_VALID,LETRAS,1,0,FOUND:1
00EF9VNkfjUNF77VwBfaRU,暗戀家,石山街,FOUND_VALID,GENIUS,1,0,FOUND:1
00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"Thalia, Natti Natasha",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00ETaeHUQ6lops3oWU1Wrt,Hot Stuff,"Kygo, Donna Summer",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00ElYia9fR4f5mKVq7DGOW,Nå er det oss,Delara,FOUND_VALID,GENIUS,1,0,FOUND:1
00FOgV1ZRgn6oBk6mIoGLm,Trem Bala,"Vida Música Espírito, Martinelle Dayane",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00FVmIy2twfxxY4wVLazft,0.03,ØZI,FOUND_VALID,GENIUS,1,0,FOUND:1
00FmWWD8FpB1Ph6nPPw1bC,One Way St. (feat. Ab-Soul),Jhené Aiko,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00GFzK5OJmiM5FRvY9LY5v,Kuolleesta Kulmasta,Elastinen,FOUND_VALID,LRCLIB,1,0,FOUND:1
00GQLY0o8xNd4rlmN7wXSx,Loose Screw,Lia Kloud,PENDING_RETRY,,0,1,MISSING:1
00Gbi2ytn6ZmA1ObVcPT93,Pixie's Parasol,Smith & Thell,FOUND_VALID,GENIUS,1,0,FOUND:1
00GxZ3NPfGo67TYC3IwAAI,Mufasa,AKA,FOUND_VALID,LRCLIB,1,0,FOUND:1
00GxbkrW4m1Tac5xySEJ4M,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00Hj710RrsLX5s9bothwlW,ไวน์,Max Jenmana,PENDING_RETRY,,0,1,MISSING:1
00HtMpRg1Tu1CDFcMHn4DS,因一個人而流出一滴淚,Karen Mok,FOUND_VALID,GENIUS,1,0,FOUND:1
00I0pcNkN3IOX3fsYbaB4N,Infatuation,Takeoff,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00I29V4jIc7hAifIn1mtnb,Até Na Transa Você Não Larga o Lança,"Mc Kitinho, MC Luiggi, Mc Yago",FOUND_VALID,GENIUS,1,0,FOUND:1
00ILPz7zUhws80p3Yp10mG,Circo de Feras - Ao Vivo,Xutos & Pontapés,FOUND_VALID,LETRAS,1,0,FOUND:1
00IN4udXTO3vzkpBCz5Dmu,Für mich da,"KC Rebell, Veysel",FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00ISNjqq27aOPyyQAbeDnb,Ankare,Lamix,FOUND_VALID,GENIUS,1,0,FOUND:1
00Ia46AgCNfnXjzgH8PIKH,Latina (feat. Maluma),Reykon,FOUND_VALID,GENIUS,1,0,FOUND:1
00JISwCHE4ZTWejgmT4TFU,Nell'estasi o nel fango,Michele Zarrillo,FOUND_VALID,GENIUS,1,0,FOUND:1
00JJyGAD7XKm03u8ENGceO,What You Do (feat. Sylvia Mwenze),"Ku De Ta, Joe Stone",FOUND_VALID,GENIUS,1,0,FOUND:1
00JYHDGMCHtMnCw3iqBxkY,Feel Something (feat. Duncan Laurence),Armin van Buuren,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00JZgGi6ZTM4jAvJcp4oIv,Pluggið Hringir,Yung Nigo Drippin',FOUND_VALID,GENIUS,1,0,FOUND:1
00K2pEVDzQduFQngZuEAe6,"Yes Sir, Sir Yes",MacShawn100,PENDING_RETRY,,0,1,MISSING:1
00KCwnrvIXX8GRU3ZMOIBW,Désolée (Paris/Paname),SHANGUY,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00KYp2gYHW3xzzy8MPGmJI,Permission To Love,SAARA,FOUND_VALID,LRCLIB,1,0,FOUND:1
00LM9MHgesH1ENYNtEZhDJ,Juice,Movits!,FOUND_VALID,GENIUS,1,0,FOUND:1
00LX4aUgpDFG4zZO1H3Lx8,Kalby Jobarny - Live,Yasser Abd El Wahab,PENDING_RETRY,,0,1,MISSING:1
00LfFm08VWeZwB0Zlm24AT,Suga Suga,"BaBash, Frankie J",FOUND_VALID,GENIUS,1,0,FOUND:1
00MC1lkrhAihH0IrJ5yXXM,Contigo,"Jimmy P, Carolina Deslandes",FOUND_VALID,GENIUS,1,0,FOUND:1
00MGSxcYzJb7hyeWRISbAs,Drop Lord,Radikal Chef,FOUND_VALID,GENIUS,1,0,FOUND:1
00MWVgq3ATtF3fzJaU3k3c,หลับตา,Slot Machine,FOUND_VALID,LRCLIB,1,0,FOUND:1
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00Mq8QT0ASQHhlGBh5p6kp,Vai Ad Amarti,Tiziano Ferro,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00MrYUJUUybpSLAeIodbuj,Asta E Rap,Parazitii,FOUND_VALID,GENIUS,1,0,FOUND:1
00MsWcZ14TUwk8n2Zt3NNM,mały Świat,Jan-Rapowanie,FOUND_VALID,LRCLIB,1,0,FOUND:1
00MtjYjIo8XeOFX9ImENgf,HAZARD,Abduh,FOUND_VALID,GENIUS,1,0,FOUND:1
00NN2wAxnycdqQ78ESg9qm,Noia,Ernia,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00NRTjNn3CZPi2yzfqIXcX,Random,Eddy de Pretto,FOUND_VALID,LYRICS_OVH,1,0,FOUND:1
00NVYE5PrMpR1gVlC8zPZV,Helt Ærlig,"Morgan Sulele, OnklP",FOUND_VALID,GENIUS,1,0,FOUND:1
