country_code,total_tracks,found,failed,not_attempted,error_rate_attempted_pct,share_of_project_tracks_pct,share_of_all_errors_pct
ANDORRA,7022,5425,7,1590,0.13,1.27,0.3
ARGENTINA,7640,5595,21,2024,0.37,1.39,0.9
AUSTRALIA,9189,6756,26,2407,0.38,1.67,1.11
AUSTRIA,11434,8497,41,2896,0.48,2.07,1.75
BELGIUM,11114,8014,39,3061,0.48,2.02,1.67
BOLIVIA,5553,4035,23,1495,0.57,1.01,0.98
BRAZIL,7847,5983,21,1843,0.35,1.42,0.9
BULGARIA,6835,4869,30,1936,0.61,1.24,1.28
CANADA,11046,8344,26,2676,0.31,2.0,1.11
CHILE,6982,5075,21,1886,0.41,1.27,0.9
COLOMBIA,7655,5507,20,2128,0.36,1.39,0.86
COSTA RICA,6634,4856,26,1752,0.53,1.2,1.11
CZECH REPUBLIC,10062,7157,46,2859,0.64,1.83,1.97
DENMARK,10242,7501,36,2705,0.48,1.86,1.54
DOMINICAN REPUBLIC,6393,4749,24,1620,0.5,1.16,1.03
ECUADOR,5984,4357,17,1610,0.39,1.09,0.73
EGYPT,3045,2051,26,968,1.25,0.55,1.11
EL SALVADOR,5439,3928,17,1494,0.43,0.99,0.73
ESTONIA,7809,5572,37,2200,0.66,1.42,1.58
FINLAND,12556,8534,63,3959,0.73,2.28,2.69
FRANCE,11899,9052,26,2821,0.29,2.16,1.11
GERMANY,11916,8689,34,3193,0.39,2.16,1.45
GLOBAL,10015,7297,25,2693,0.34,1.82,1.07
GREECE,8108,5867,42,2199,0.71,1.47,1.8
GUATEMALA,6185,4573,14,1598,0.31,1.12,0.6
HONDURAS,5350,3871,20,1459,0.51,0.97,0.86
HONG KONG,9080,5977,76,3027,1.26,1.65,3.25
HUNGARY,8856,6351,28,2477,0.44,1.61,1.2
ICELAND,8642,5714,78,2850,1.35,1.57,3.34
INDIA,4465,2830,31,1604,1.08,0.81,1.33
INDONESIA,7275,5215,17,2043,0.32,1.32,0.73
IRELAND,10480,7812,29,2639,0.37,1.9,1.24
ISRAEL,5796,3846,52,1898,1.33,1.05,2.22
ITALY,10022,7674,30,2318,0.39,1.82,1.28
JAPAN,10791,6939,46,3806,0.66,1.96,1.97
LATVIA,8240,5842,53,2345,0.9,1.49,2.27
LITHUANIA,8048,5714,46,2288,0.8,1.46,1.97
LUXEMBOURG,7074,5056,35,1983,0.69,1.28,1.5
MALAYSIA,7766,5455,38,2273,0.69,1.41,1.63
MEXICO,6656,4737,14,1905,0.29,1.21,0.6
MOROCCO,4174,2892,33,1249,1.13,0.76,1.41
NETHERLANDS,11874,8164,41,3669,0.5,2.15,1.75
NEW ZEALAND,9619,7020,18,2581,0.26,1.74,0.77
NICARAGUA,4637,3120,42,1475,1.33,0.84,1.8
NORWAY,11016,7537,41,3438,0.54,2.0,1.75
PANAMA,5943,4301,25,1617,0.58,1.08,1.07
PARAGUAY,5816,4239,22,1555,0.52,1.05,0.94
PERU,6143,4371,19,1753,0.43,1.11,0.81
PHILIPPINES,7439,5408,15,2016,0.28,1.35,0.64
POLAND,10192,7294,33,2865,0.45,1.85,1.41
PORTUGAL,8846,6645,21,2180,0.32,1.6,0.9
ROMANIA,6222,4725,29,1468,0.61,1.13,1.24
RUSSIA,3158,2376,24,758,1.0,0.57,1.03
SAUDI ARABIA,3554,2342,41,1171,1.72,0.64,1.75
SINGAPORE,8272,5774,43,2455,0.74,1.5,1.84
SLOVAKIA,8709,6236,43,2430,0.68,1.58,1.84
SOUTH AFRICA,6793,4922,32,1839,0.65,1.23,1.37
SOUTH KOREA,1680,1331,5,344,0.37,0.3,0.21
SPAIN,8703,6448,16,2239,0.25,1.58,0.68
SWEDEN,11382,8134,45,3203,0.55,2.06,1.92
SWITZERLAND,13394,9814,43,3537,0.44,2.43,1.84
TAIWAN,11167,6751,136,4280,1.97,2.03,5.82
THAILAND,6089,3821,70,2198,1.8,1.1,2.99
TURKEY,8062,5339,33,2690,0.61,1.46,1.41
UKRAINE,2584,1880,33,671,1.73,0.47,1.41
UNITED ARAB EMIRATES,3689,2646,22,1021,0.82,0.67,0.94
UNITED KINGDOM,11026,8277,26,2723,0.31,2.0,1.11
UNITED STATES,11896,9099,21,2776,0.23,2.16,0.9
URUGUAY,6796,5103,22,1671,0.43,1.23,0.94
VIETNAM,5268,3495,43,1730,1.22,0.96,1.84
