artist_1	artist_2	count	song_ids
Travis Scott	Young Thug	6	['56AMYGJzxBO6p8v0wEe9de', '3RZftiuTcLOqpsd8ZlwNhr', '4ea9w8c4ROqiZpJVhfBA3m', '6gi6y1xwmVszDWkUqab1qw', '7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Billy Ray Cyrus	Lil Nas X	4	['6jmZlyf9DxcIoRrjw02YXm', '6u7jPi22kF8CTQ3rb9DHE7', '4O4HtthxTvVL1Z1PuDb7GX', '2YpeDb67231RjR0MgVLzsG']
Bebe Rexha	The Chainsmokers	4	['6IJTc8xo6XasOU8fpxMU57', '05CwHjIk71RXVU40boRMnR', '2oejEp50ZzPuQTQ6v54Evp', '1SNiXDwSilLujcYdvfqVpT']
JACKBOYS	Travis Scott	3	['4AO1XhrgJczQ9bNVxdfKQe', '6gi6y1xwmVszDWkUqab1qw', '40mjsnRjCpycdUw3xhS20g']
Cardi B	DJ Snake	3	['5BRUlCrkTljRTux8BUPUDp', '4w8niZpiMy6qz1mntFA5uM', '0KoiMHhqKLoL4xM54rcWYY']
Cardi B	Ozuna	3	['5BRUlCrkTljRTux8BUPUDp', '4w8niZpiMy6qz1mntFA5uM', '0KoiMHhqKLoL4xM54rcWYY']
Cardi B	Selena Gomez	3	['5BRUlCrkTljRTux8BUPUDp', '4w8niZpiMy6qz1mntFA5uM', '0KoiMHhqKLoL4xM54rcWYY']
DJ Snake	Ozuna	3	['5BRUlCrkTljRTux8BUPUDp', '4w8niZpiMy6qz1mntFA5uM', '0KoiMHhqKLoL4xM54rcWYY']
DJ Snake	Selena Gomez	3	['5BRUlCrkTljRTux8BUPUDp', '4w8niZpiMy6qz1mntFA5uM', '0KoiMHhqKLoL4xM54rcWYY']
Ozuna	Selena Gomez	3	['5BRUlCrkTljRTux8BUPUDp', '4w8niZpiMy6qz1mntFA5uM', '0KoiMHhqKLoL4xM54rcWYY']
Post Malone	Swae Lee	3	['0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy']
DJ Snake	J Balvin	3	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1f38Gx6xQz6r4H1jGVNBJo']
DJ Snake	Tyga	3	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1f38Gx6xQz6r4H1jGVNBJo']
J Balvin	Tyga	3	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1f38Gx6xQz6r4H1jGVNBJo']
Juice WRLD	Lil Tecca	3	['2WsuSYJNXGKXVYkHPnq2yp', '0DZJACISivjWjscIp5Kg1q', '5DSfqrLkUHLZ9bW0SS3rVy']
Gunna	Young Thug	3	['4ea9w8c4ROqiZpJVhfBA3m', '5Z8HZM6iQMhhqyPcCGY5g9', '56AMYGJzxBO6p8v0wEe9de']
Ozzy Osbourne	Post Malone	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Ozzy Osbourne	Travis Scott	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Post Malone	Travis Scott	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Ed Sheeran	Stormzy	3	['4QPEwDdOMhY7rNS05mTyMR', '07s9NNOT0sZQp7TyolLLgu', '1AI7UPw3fgwAFkvAlZWhE0']
Lil Baby	Meek Mill	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Lil Baby	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Meek Mill	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Camila Cabello	Mark Ronson	2	['5Uw7Dut2lZfexn3Y09swpf', '1HpzOCZbNWzxvvXfSGtSrX']
Ed Sheeran	Yebba	2	['5ug4vqGZ3eisGhY1IsziNX', '0VsGaRXR5WAzpu51unJTis']
J. Cole	Travis Scott	2	['7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
J. Cole	Young Thug	2	['7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Ed Sheeran	Khalid	2	['70eFcWOvlMObDhURTqT4Fv', '4evmHXcjt3bTUHD1cvny97']
Gunna	Lil Mosey	2	['5hDAT527wXWNBnJlujhuUs', '7iHHxY2NLlJRAmlAmC4ahQ']
Drake	Rick Ross	2	['5ry2OE6R2zPQFDO85XkgRb', '4aPB8rSxGFISs0o6V2LrTy']
Adriana Proenza	Kina	2	['1Av69kr9JitqPWo7WJLS5q', '58wyJLv6yH1La9NIZPl3ne']
Y2K	bbno$	2	['07rmSXN6vNoquX1AsWd9pP', '51Fjme0JiitpyXKuyQiCDo']
9lokknine	YNW Melly	2	['29ZXwWOOLz9t5fa3eT3i7T', '4sjiIpEv617LDXaidKioOI']
Eminem	Logic	2	['7M2tXmeS15NAzEn7ABFeBg', '2MuMD298IpYqKF367wegUd']
DaBaby	Post Malone	2	['6UFEJuDXQMWhL5UH5f9fUR', '0Xek5rqai2jcOWCYWJfVCF']
Alan Walker	Farruko	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Alan Walker	Sabrina Carpenter	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Farruko	Sabrina Carpenter	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Anne-Marie	Lauv	2	['322tcqPhma7F6hfCeLisx0', '4wopYJ5wpYOM6ogm2Jugnw']
Fall Out Boy	Macklemore	2	['7Feaw9WAEREY0DUOSXJLOM', '40OMBMYRk5IQL6xCzGM0JA']
Fall Out Boy	Martin Garrix	2	['7Feaw9WAEREY0DUOSXJLOM', '40OMBMYRk5IQL6xCzGM0JA']
Macklemore	Martin Garrix	2	['7Feaw9WAEREY0DUOSXJLOM', '40OMBMYRk5IQL6xCzGM0JA']
Ed Sheeran & Justin Bieber	Justin Bieber	2	['3HVWdVOQ0ZA45FuZGSfvns', '0hVXuCcriWRGvwMV1r5Yn9']
ILLENIUM	Lennon Stella	2	['63VyEdzMM3w4ZQ1WtARa2S', '6wo37KVqFJhtuxPTpLCcfe']
ILLENIUM	The Chainsmokers	2	['63VyEdzMM3w4ZQ1WtARa2S', '6wo37KVqFJhtuxPTpLCcfe']
Lennon Stella	The Chainsmokers	2	['63VyEdzMM3w4ZQ1WtARa2S', '6wo37KVqFJhtuxPTpLCcfe']
SHAED	ZAYN	2	['1iQDltZqI7BXnHrFy4Qo1k', '4HBvwhhYo7YiYXkUDrOHzS']
Goodboys	MEDUZA	2	['7CHi4DtfK4heMlQaudCuHK', '1DFD5Fotzgn6yYXkYsKiGs']
Burna Boy	Jorja Smith	2	['3IWs9dAwTqN0EFhOIcBDfs', '5pAbCxt9e3f81lOmjIXwzd']
Gunna	Travis Scott	2	['4ea9w8c4ROqiZpJVhfBA3m', '56AMYGJzxBO6p8v0wEe9de']
RANI	Sam Feldt	2	['36orMWv2PgvnzXsd5CJ0yL', '0qc4QlcCxVTGyShurEv1UU']
Aloe Blacc	Avicii	2	['2x0RZdkZcD8QRI53XT4GI5', '0n2nEtLP3OzDdi12ziIekx']
Trippie Redd	XXXTENTACION	2	['03eJ2DclFWXYU8GWgANdmZ', '7AQim7LbvFVZJE3O8TYgf2']
Ariana Grande	Lana Del Rey	2	['6zegtH6XXd2PDPLvy1Y0n2', '3NkJNL3WqO1Lqc3uNDxvCN']
Ariana Grande	Miley Cyrus	2	['6zegtH6XXd2PDPLvy1Y0n2', '3NkJNL3WqO1Lqc3uNDxvCN']
Lana Del Rey	Miley Cyrus	2	['6zegtH6XXd2PDPLvy1Y0n2', '3NkJNL3WqO1Lqc3uNDxvCN']
Camila Cabello	Shawn Mendes	2	['6v3KW9xbzN5yKLt9YKDYA2', '0TK2YIli7K1leLovkQiNik']
Ant Clemons	Kanye West	2	['454Epa1vrCGFddHXKyC1kb', '24bnCCysWnbNRNUT4LpHcP']
Burna Boy	Ed Sheeran	2	['4QPEwDdOMhY7rNS05mTyMR', '07s9NNOT0sZQp7TyolLLgu']
Burna Boy	Stormzy	2	['4QPEwDdOMhY7rNS05mTyMR', '07s9NNOT0sZQp7TyolLLgu']
Lil Tjay	Polo G	2	['5AjINjwKyRvQJhSe2zpPHi', '6uFn47ACjqYkc0jADwEdj1']
Cardi B	Lil Nas X	2	['5MWOSsgPDm3aPvAHWghxxG', '4ak7xjvBeBOcJGWFDX9w5n']
Brendon Urie	Panic! At The Disco	2	['2Rk4JlNc2TPmZe2af99d45', '4MsUsFfWseB9M2plGJyuIw']
Brendon Urie	Taylor Swift	2	['2Rk4JlNc2TPmZe2af99d45', '4MsUsFfWseB9M2plGJyuIw']
Panic! At The Disco	Taylor Swift	2	['2Rk4JlNc2TPmZe2af99d45', '4MsUsFfWseB9M2plGJyuIw']
BTS	Halsey	2	['5KawlOMHjWeUjQtnuRs22c', '5a0nHa7F4S9hb0Zi0zLS8w']
Future	Halsey	2	['59PYPDxTbqJpiGfyogPb5h', '2C6WXnmZ66tHhHlnvwePiK']
Future	Post Malone	2	['59PYPDxTbqJpiGfyogPb5h', '2C6WXnmZ66tHhHlnvwePiK']
Halsey	Post Malone	2	['59PYPDxTbqJpiGfyogPb5h', '2C6WXnmZ66tHhHlnvwePiK']
Joel J. Richard	Tyler Bates	2	['3nfP490dt8IUWvRPZIbKzX', '2IcdRlgkwZuVC6AQdawHJ2']
Chris Brown	Drake	2	['6XHVuErjQ4XNm6nDPVCxVX', '7FEwp8BavoEVE3AnxJDchc']
Chance the Rapper	Ed Sheeran	2	['4wuCQX7JvAZLlrcmH4AeZF', '543bCW2ruMPmxUBWirQ3MR']
Chance the Rapper	PnB Rock	2	['4wuCQX7JvAZLlrcmH4AeZF', '543bCW2ruMPmxUBWirQ3MR']
Ed Sheeran	PnB Rock	2	['4wuCQX7JvAZLlrcmH4AeZF', '543bCW2ruMPmxUBWirQ3MR']
Post Malone	Quavo	1	['3a1lNhkSLSkpJE4MSHpDu9']
Kygo	The Chainsmokers	1	['3TKpJrY9q49Mj1JOsM9zGL']
Daft Punk	The Weeknd	1	['7MXVkk9YMctZqd1Srtv4MB']
Drake	Kyla	1	['1zi7xx7UVEFkmKfv06H8x0']
Drake	Wizkid	1	['1zi7xx7UVEFkmKfv06H8x0']
Kyla	Wizkid	1	['1zi7xx7UVEFkmKfv06H8x0']
Cardi B	French Montana	1	['7x9nXsowok1JszkVztI5NI']
Cardi B	Post Malone	1	['7x9nXsowok1JszkVztI5NI']
Cardi B	Rvssian	1	['7x9nXsowok1JszkVztI5NI']
French Montana	Post Malone	1	['7x9nXsowok1JszkVztI5NI']
French Montana	Rvssian	1	['7x9nXsowok1JszkVztI5NI']
Post Malone	Rvssian	1	['7x9nXsowok1JszkVztI5NI']
Darell	Sech	1	['1Ej96GIBCTvgH7tNX1r3qr']
Kane Brown	Marshmello	1	['4hPpVbbakQNv8YTHYaOJP4']
Nik Makino	Raf Davis	1	['0BaMZMMEG7GWrUYsoGw8Yg']
Bad Bunny	J Balvin	1	['25ZAibhr3bdlMCLmubZDVt']
Billie Eilish	Khalid	1	['0u2P5u6lvoDfwTYjAADbn4']
Lauv	Troye Sivan	1	['7COXchtUOMd6uIT6HvmRaI']
Ellie Goulding	Juice WRLD	1	['6kls8cSlUyHW2BUOkDJIZE']
Normani	Sam Smith	1	['6Qs4SXO9dwPj5GKvVOv8Ki']
BTS	Charli XCX	1	['4c1WgUnHXq2LEncGHKgj1I']
Logic	Marshmello	1	['4EAV2cKiqKP5UPZmY6dejk']
Black Eyed Peas	J Balvin	1	['6cy3ki60hLwimwIje7tALf']
Halsey	Khalid	1	['7FGq80cy8juXBCD2nrqdWU']
Halsey	benny blanco	1	['7FGq80cy8juXBCD2nrqdWU']
Khalid	benny blanco	1	['7FGq80cy8juXBCD2nrqdWU']
Kirsty MacColl	The Pogues	1	['3VTNVsTTu05dmTsVFrmGpK']
Jason Marvin	Moira Dela Torre	1	['0gDRtumoR9ZrvAlnniToMz']
Bebe Rexha	Martin Garrix	1	['23L5CiUhw2jV1OIMwthR3S']
Halsey	The Chainsmokers	1	['7BKLCZ1jbUBVqRi2FVlTVw']
Abdullah Alshahe	Haya Ahmed	1	['50Dj08dCoHUOHMLmUhg5hn']
Bing Crosby	John Scott Trotter & His Orchestra	1	['4so0Wek9Ig1p6CRCHuINwW']
Bing Crosby	Ken Darby Singers	1	['4so0Wek9Ig1p6CRCHuINwW']
John Scott Trotter & His Orchestra	Ken Darby Singers	1	['4so0Wek9Ig1p6CRCHuINwW']
