artist_1	artist_2	count	song_ids
Arcángel	Bad Bunny	8	['2FIm6YsSGL5acOqSuJDh5s', '01vHGJRvJ6EZW9KO8NtZpi', '2FrnTVSHjgnEylKGdHRUK1', '4UG962ViiLqoUyx0RjCcwP', '5YY7ht3PCArlLjLbcTiAvh', '2wgDAPgBhFA7pnIbm0YOhP', '6NSMQFKgjpQb0KkjMDYIK0', '5P45f6HakSHDwdFj5dO5K5']
DJ Luian	Mambo Kingz	8	['4ojwGTehgBRAg52jbFgzJg', '498YWgZPJWIA4lphXtCNma', '3uPLiBTUgz7wrGJ2mw1rzM', '5hcisvFMidkMJlElTO9Qmw', '3VClLWqNn80Llv0PJOsKgr', '15kZDQoTtpkya2kG8ZPJoi', '2wgDAPgBhFA7pnIbm0YOhP', '6NSMQFKgjpQb0KkjMDYIK0']
Bad Bunny	Farruko	7	['038kavjqUaGIYZL5lYocvX', '2FrnTVSHjgnEylKGdHRUK1', '3rgjBiAMVGnxmsTDmUy8vb', '7FfpP3YZ6fOWMdxkIAtud9', '3uPLiBTUgz7wrGJ2mw1rzM', '2OxUtaKYeahAGNaBiahXtR', '2naJy8SKJ27gj6ZhRPDKaz']
Arcángel	Ozuna	7	['2FrnTVSHjgnEylKGdHRUK1', '4UG962ViiLqoUyx0RjCcwP', '5YY7ht3PCArlLjLbcTiAvh', '498YWgZPJWIA4lphXtCNma', '5GVvn3XvDtcXJpfN0GmtUp', '22eADXu8DfOAUEDw4vU8qy', '5P45f6HakSHDwdFj5dO5K5']
Bad Bunny	Quavo	7	['63yOvxSAB02K45KDnZscS0', '3FaqBbYj8arTCdhVABY8mB', '0mQD5ilmghCieAw6E6YFrd', '6ciFFQZcrCwSiUBZvEZrJc', '1YCCa9beW7JkFxflje5ERB', '2qtU6xY8JccohVSOH1pOj8', '0d9wwtTyMxYzIFJs8CKbiz']
Arcángel	De La Ghetto	6	['01vHGJRvJ6EZW9KO8NtZpi', '5YY7ht3PCArlLjLbcTiAvh', '498YWgZPJWIA4lphXtCNma', '2qHiGVZkLDpQr5MsBWspSD', '37vqCDZ6g5pZ5gqDS90MDP', '5P45f6HakSHDwdFj5dO5K5']
Ozuna	Wisin	6	['1KSqYYJFyfTecXFk9M0prc', '2PgsOTPkF25VJ9cZmUjSKE', '5YY7ht3PCArlLjLbcTiAvh', '400nZFg9JEXd9DTBJf1PE3', '2cnKEkpVUSV4wnjQiTWfH6', '5P45f6HakSHDwdFj5dO5K5']
Camila Cabello	Quavo	6	['4xBjsLUSjcx2h7PcRikpQp', '6ciFFQZcrCwSiUBZvEZrJc', '1YCCa9beW7JkFxflje5ERB', '2qtU6xY8JccohVSOH1pOj8', '0d9wwtTyMxYzIFJs8CKbiz', '3Ytr1SUCUi6J3L9dRFx5iH']
Maroon 5	SZA	6	['04JL2liXXV9B9coeGuUsPw', '5SDCeGVT08a1RMXIBJF2O5', '3hBBKuWJfxlIlnd9QFoC8k', '6YVpU5vVxezJCYeQUxIkRT', '4nYsmWkuTaowTMy4gskmBw', '4mxWSdf71VFO52qFeY0fZt']
Bad Bunny	DJ Luian	6	['2FrnTVSHjgnEylKGdHRUK1', '3uPLiBTUgz7wrGJ2mw1rzM', '5hcisvFMidkMJlElTO9Qmw', '3VClLWqNn80Llv0PJOsKgr', '2wgDAPgBhFA7pnIbm0YOhP', '6NSMQFKgjpQb0KkjMDYIK0']
