artist_1	artist_2	count	song_ids
Calvin Harris	Funk Wav	10	['0P6AWOA4LG1XOctzaVu5tt', '7iDxZ5Cd0Yg08d4fI5WVtG', '5bcTCxgc7xVfSaMV3RuVke', '0Ws8D3EWUDgY962Xftb0h5', '60APt5N2NRaKWf5xzJdzyC', '4KaIJ1FWXUoAAnOts1YWjD', '0lMbuWUpfTWhEmOKxppEau', '0pJPdSVti6cTM1Q6xYGmcf', '7tr2za8SQg2CI8EDgrdtNl', '08Wc3X7XNSyF8WYBPt2L8E']
Quavo	Travis Scott	6	['2GByM82VgSrwywP6MVZmsm', '4vwfOiyWxXeEdx4ejAJgdx', '2bjwRfXMk4uRgOD9IBYl9h', '7CRVv14VLogIh8BZLcRpJM', '4ceMuukXWzAQRYRYXalJMS', '3Ytr1SUCUi6J3L9dRFx5iH']
Maroon 5	SZA	6	['04JL2liXXV9B9coeGuUsPw', '5SDCeGVT08a1RMXIBJF2O5', '3hBBKuWJfxlIlnd9QFoC8k', '6YVpU5vVxezJCYeQUxIkRT', '4nYsmWkuTaowTMy4gskmBw', '4mxWSdf71VFO52qFeY0fZt']
A$AP Rocky	Mura Masa	5	['7Kq16WtEJzdRSNQgdXsn7Y', '3sTN90bIP2cJ1783ctHykO', '0t2myRMEMCi2SRyg5TEFLp', '23e6ly5nFanMQOk4cAwJj2', '5v9N8Rx3QsFvr50cxyQcA3']
Daft Punk	The Weeknd	4	['5aAx2yezTd8zXrkmtKl66Z', '6L778PA16SuyYvFhqnMndY', '7MXVkk9YMctZqd1Srtv4MB', '5GXAXm5YOmYT0kL5jHvYBt']
Flume	KUČKA	4	['4lxy9f7o28AEttUFHXwe9P', '5JpvSu9jWCsHiOFGSJJH2u', '3cdcT7I1xnQqQ84zMCtrKU', '6xjvU0KLzQ1cnLBwo2anf7']
Huncho Jack	Quavo	4	['7CRVv14VLogIh8BZLcRpJM', '4ceMuukXWzAQRYRYXalJMS', '2GByM82VgSrwywP6MVZmsm', '4vwfOiyWxXeEdx4ejAJgdx']
Huncho Jack	Travis Scott	4	['7CRVv14VLogIh8BZLcRpJM', '4ceMuukXWzAQRYRYXalJMS', '2GByM82VgSrwywP6MVZmsm', '4vwfOiyWxXeEdx4ejAJgdx']
Metro Boomin	Offset	4	['6kig1UFggPUyZBCvXD3Wod', '5u6vkDnOyaf8LsteDAj2ub', '7sO5G9EABYOXQKNPNiE9NR', '0tdCy39PgWN8LFWu34ORn3']
A$AP Rocky	Playboi Carti	4	['5QqyRUZeBE04yJxsD1OC0I', '6kl1qtQXQsFiIWRBK24Cfp', '0T8qHE4gQPf8g9KjvjNmDq', '35dgKHT2TLjpXAIFUPlGv2']
Jonas Blue	William Singe	3	['0NiXXAI876aGImAd6rTj8w', '4GEQd6D1NeNjpf0pbOgJSO', '4xlrALxuaCf9yZBHJeTSG6']
Calvin Harris	Pharrell Williams	3	['1N90cV79gbBgO0bOs74Y0t', '60APt5N2NRaKWf5xzJdzyC', '5bcTCxgc7xVfSaMV3RuVke']
French Montana	Swae Lee	3	['1F2HXIJrE2Xn81OzT2zZvW', '5Xl8hwINbHKEYBHIU0WL1i', '3B54sVLJ402zGa6Xm4YGNe']
Macklemore	Macklemore & Ryan Lewis	3	['3bidbhpOYeV4knp8AIu8Xn', '01uqI4H13Gsd8Lyl1EYd8H', '5pfJsMwoRYKampPay8amX0']
Macklemore	Ryan Lewis	3	['3bidbhpOYeV4knp8AIu8Xn', '01uqI4H13Gsd8Lyl1EYd8H', '5pfJsMwoRYKampPay8amX0']
Macklemore & Ryan Lewis	Ryan Lewis	3	['3bidbhpOYeV4knp8AIu8Xn', '01uqI4H13Gsd8Lyl1EYd8H', '5pfJsMwoRYKampPay8amX0']
Halsey	Lauren Jauregui	3	['0C7RxcoJUdt0EDtQLuOFc6', '11EDhDAVDtGPoSar6ootYA', '4C5ewaZ05vyXM23jFJdwd4']
Katy Perry	Skip Marley	3	['5pD9x23lsoQr464mlmaKNJ', '6520aj0B4FSKGVuKNsOCOi', '5ndfVSDyPq90jaIUhNPeby']
Hailee Steinfeld	Machine Gun Kelly	3	['77lGafvlU68CeHgB2pkHC9', '0BSd5u6lQJWDoNVMuBYBiA', '5DEp4UmhxN7OLnYQacWZhh']
