artist_1	artist_2	count	song_ids
Jul	SCH	9	['7qezIDRM0E3WTW1lWxItug', '4kfjlrD1hs7VE1dXVM091S', '4IvNSJPXA59xpA6G3XxCuR', '2YAgixJPrOiEZSgZMlmqqF', '6oPyFMWpT0oDeShTjcneDK', '6atYbfU3m7CYTDe4LzQlUI', '0QMHp1X3B5BGN6J3HynHT1', '2O9enJqAqs46tfBlGhLsnW', '717QGTmZdkemDaCo1vQHG0']
Anderson .Paak	Bruno Mars	9	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '4iN16F8JtVxG2UTzp3avGl', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Anderson .Paak	Silk Sonic	9	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '4iN16F8JtVxG2UTzp3avGl', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Bruno Mars	Silk Sonic	9	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '4iN16F8JtVxG2UTzp3avGl', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Jul	Le classico organisé	7	['2InKuNaoyiBDf4dmr780BZ', '4Fp9Nwi6lTpMC63igc9U0Z', '26Yx4cFgDymA4ehuzx5jMy', '6oPyFMWpT0oDeShTjcneDK', '50zfmdWu5AFf3iYRzpsane', '7MwUFO1Av7sEOCUa1ULmwa', '2O9enJqAqs46tfBlGhLsnW']
Jul	Naps	7	['2InKuNaoyiBDf4dmr780BZ', '2YAgixJPrOiEZSgZMlmqqF', '7MwUFO1Av7sEOCUa1ULmwa', '2O9enJqAqs46tfBlGhLsnW', '2vd2HEhrkafOi2uveHjzzh', '1Nht2kJWRqq6upZCOTKsSA', '717QGTmZdkemDaCo1vQHG0']
Jul	Kofs	4	['26Yx4cFgDymA4ehuzx5jMy', '717QGTmZdkemDaCo1vQHG0', '4Fp9Nwi6lTpMC63igc9U0Z', '2O9enJqAqs46tfBlGhLsnW']
Naps	SCH	4	['2YAgixJPrOiEZSgZMlmqqF', '3bGGvbwbhq9kIMhHaXBdYL', '717QGTmZdkemDaCo1vQHG0', '2O9enJqAqs46tfBlGhLsnW']
Alonzo	Jul	4	['2vd2HEhrkafOi2uveHjzzh', '26Yx4cFgDymA4ehuzx5jMy', '4Fp9Nwi6lTpMC63igc9U0Z', '7MwUFO1Av7sEOCUa1ULmwa']
Lacrim	Mister You	4	['26Yx4cFgDymA4ehuzx5jMy', '4Fp9Nwi6lTpMC63igc9U0Z', '0YNw7sncP8iZdA2KJiac0B', '4Igu07hwi6lm9rCd6SJaF0']
David Guetta	Sia	4	['2dOTkLZFbpNXrhc24CnTFd', '0XwSUpdrF7nR7hVxbDs7mb', '6lhZLbb0czULpjb2kFryPS', '2AceGjiX9isUbXmMZa0Dl1']
Moss Kena	Purple Disco Machine	4	['1kTlT3phtU2yqTJYT1x6hb', '3Hj0zUiYaWm5qIUaTx6b4X', '4hdzNRErhJx0hPmF8xh2ht', '5Iv4HuT9pKPi5WuE2ii3vs']
Moss Kena	The Knocks	4	['1kTlT3phtU2yqTJYT1x6hb', '3Hj0zUiYaWm5qIUaTx6b4X', '4hdzNRErhJx0hPmF8xh2ht', '5Iv4HuT9pKPi5WuE2ii3vs']
