artist_1	artist_2	count	song_ids
Dalex	Lenny Tavárez	19	['01SMtfSbJlcxUdJvOofMOx', '1ndyl3wJCFs872XZ3ztPk6', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '0RDgqtvOHLwcI6yz9bjsZV', '2qhcTAKmpFNXBEu1FYo69t', '3oCghu20Kto5Xcu8Pg0cit', '34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '4GGwM2Krtlx9G9ii1RaEOx', '4MxYiw28F30NGOaTZ1ySqd', '29ShXDWDedEwZkYc8Du08N', '1tpbAGsGpZee5jDHMcLrUJ', '50ZC4PM7hywH27RcCfViau', '7fODjB7BrQTGqh0hogW6XD', '7g8YaUQABMal0zWe7a2ijz', '5stPVcRqb4qixbafP9e8lt', '6KeweE0BlXx3AtjMKhBLaz']
Dalex	Justin Quiles	16	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '4GGwM2Krtlx9G9ii1RaEOx', '4MxYiw28F30NGOaTZ1ySqd', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '29ShXDWDedEwZkYc8Du08N', '19VunfeIrl0bx984mJ810c', '6KeweE0BlXx3AtjMKhBLaz', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '3oCghu20Kto5Xcu8Pg0cit', '1ndyl3wJCFs872XZ3ztPk6', '2r5AwzCIgWw57ZYXuSIji6', '1qym5o53zYbVzQfi8Z64eO']
Justin Quiles	Lenny Tavárez	16	['34ZngZgo8xicbt1EE8Ob8Z', '4RJz8NfIe09gpKMiRUWKhJ', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '4GGwM2Krtlx9G9ii1RaEOx', '4MxYiw28F30NGOaTZ1ySqd', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '29ShXDWDedEwZkYc8Du08N', '6KeweE0BlXx3AtjMKhBLaz', '4MWb6mltydQn84NrTm7Gpl', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '3oCghu20Kto5Xcu8Pg0cit', '1ndyl3wJCFs872XZ3ztPk6', '2w8SKQCnT2YQK1qCqKl2uW']
Dalex	Sech	14	['34ZngZgo8xicbt1EE8Ob8Z', '6C1jKbkCUgFws7M0M4oGCB', '7g8YaUQABMal0zWe7a2ijz', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '1mF6sMUsRU9MisrdB9qWvg', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '19VunfeIrl0bx984mJ810c', '6KeweE0BlXx3AtjMKhBLaz', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '3oCghu20Kto5Xcu8Pg0cit', '2r5AwzCIgWw57ZYXuSIji6']
Justin Quiles	Sech	12	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '19VunfeIrl0bx984mJ810c', '7lUdbnz7wsv3C9zzf4WHl9', '6KeweE0BlXx3AtjMKhBLaz', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '3oCghu20Kto5Xcu8Pg0cit', '2r5AwzCIgWw57ZYXuSIji6']
Feid	Justin Quiles	11	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '7lUdbnz7wsv3C9zzf4WHl9', '6KeweE0BlXx3AtjMKhBLaz', '0RDgqtvOHLwcI6yz9bjsZV', '4TOmcZvw0gHa7GiXRbcYAW', '3iQOfefMGDVDwo8dZoco8T', '0yx82WHSiVRekLwqfxQkvJ']
TATOOL	Taiu	10	['6HVvoYxya254tV9ZeXKyTg', '4pXW6ZAHBz7ODXTRKklWrM', '7k1lxZqsXIVDnL1BFNaGKk', '49rFA0vfmY9Eel2cInKmTk', '0TUW9faHNaBmi89wsYGp9y', '63M4JqRfjTp96CyUhNJUPC', '1KndT9AUpIaiFGMVkD8fMP', '7JS743HRDpx2NvoNQ39p4O', '51aMyZzlIOitdIA4vyF0JO', '5nHQCnYQIfzSc0Cai3KrXZ']
TATOOL	Trueno	10	['6HVvoYxya254tV9ZeXKyTg', '4pXW6ZAHBz7ODXTRKklWrM', '7k1lxZqsXIVDnL1BFNaGKk', '49rFA0vfmY9Eel2cInKmTk', '0TUW9faHNaBmi89wsYGp9y', '63M4JqRfjTp96CyUhNJUPC', '1KndT9AUpIaiFGMVkD8fMP', '7JS743HRDpx2NvoNQ39p4O', '51aMyZzlIOitdIA4vyF0JO', '5nHQCnYQIfzSc0Cai3KrXZ']
Taiu	Trueno	10	['6HVvoYxya254tV9ZeXKyTg', '4pXW6ZAHBz7ODXTRKklWrM', '7k1lxZqsXIVDnL1BFNaGKk', '49rFA0vfmY9Eel2cInKmTk', '0TUW9faHNaBmi89wsYGp9y', '63M4JqRfjTp96CyUhNJUPC', '1KndT9AUpIaiFGMVkD8fMP', '7JS743HRDpx2NvoNQ39p4O', '51aMyZzlIOitdIA4vyF0JO', '5nHQCnYQIfzSc0Cai3KrXZ']
Lenny Tavárez	Sech	10	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '6KeweE0BlXx3AtjMKhBLaz', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '3oCghu20Kto5Xcu8Pg0cit']
