artist_1	artist_2	count	song_ids
Maiara & Maraisa	Marília Mendonça	9	['4qsOrxBv09HhNSpsgMRXdC', '6WxpU2F5gwTzwYsAalI6nI', '4X76i15ANs7rr70xcUn0Ru', '78APwJSo30uWBB5PWROMNw', '053zWWZDziDJd3U94x8RuP', '28m65cMH7QXHzFnZSTtNHY', '64I6t2tuUGnIlaDIzHJ6YI', '3YvE7uo4ffseBoJPh8IhHp', '1G0kLIS0hE6uUPlIE9gksp']
Mc Poze do Rodo	Neo Beats	5	['7zcQ56JRoNd4JAwGKcrxiZ', '7IG7laqVpcvIIULrwWP5SA', '7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza', '1iaPDgTbsKrlznVu13EWIf']
Pineapple StormTv	Salve Malak	5	['13Rf6RaZT13TW4xLQR3MQr', '4can6ssapSsRCEbZZfYL8K', '6HaTYIUKd8SzdvGOfutBRD', '6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Mainstreet	Mc Poze do Rodo	5	['7HjZD0NPC1hzFpjUjo45GR', '53BkPZwlaLbW77uV9BnJkl', '7IG7laqVpcvIIULrwWP5SA', '7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza']
Bielzin	Mc Poze do Rodo	4	['7zcQ56JRoNd4JAwGKcrxiZ', '7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza', '1iaPDgTbsKrlznVu13EWIf']
Bielzin	Neo Beats	4	['7zcQ56JRoNd4JAwGKcrxiZ', '7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza', '1iaPDgTbsKrlznVu13EWIf']
MC Ryan SP	Mc Don Juan	3	['6MQrN9fclpvR4nf0uJrG1x', '3f5F25eNQqkM4KOwN0Cwx2', '2xebCnKCjYWBhJ4Ai8hO5E']
Filipe Ret	L7NNON	3	['68qqVn5kHBv4zc45SDGLnh', '7cHfnWEkL5KqfLg03G7Gic', '2fmeSswdyVq4wcqhY41UHk']
MD Chefe	Offlei Sounds	3	['1jwEnLN5hMOwotwXfchUaf', '76E9YSvgci2hPaNFy3XZu1', '0NvVVP3Q0oSbfBUZ48vCHs']
Bielzin	MC Cabelinho	3	['7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza', '1iaPDgTbsKrlznVu13EWIf']
MC Cabelinho	Mc Poze do Rodo	3	['7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza', '1iaPDgTbsKrlznVu13EWIf']
MC Cabelinho	Neo Beats	3	['7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza', '1iaPDgTbsKrlznVu13EWIf']
Pineapple StormTv	Xamã	3	['13Rf6RaZT13TW4xLQR3MQr', '6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Salve Malak	Xamã	3	['13Rf6RaZT13TW4xLQR3MQr', '6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Mainstreet	Neo Beats	3	['7IG7laqVpcvIIULrwWP5SA', '7KPhwNko8V9vYBIN653hSO', '0wRn3ggAY1fIupTaVigdza']
Filipe Ret	Pineapple StormTv	3	['13Rf6RaZT13TW4xLQR3MQr', '2fmeSswdyVq4wcqhY41UHk', '4can6ssapSsRCEbZZfYL8K']
Filipe Ret	Salve Malak	3	['13Rf6RaZT13TW4xLQR3MQr', '2fmeSswdyVq4wcqhY41UHk', '4can6ssapSsRCEbZZfYL8K']
Labrinth	Zendaya	3	['76YSWx6L6FNsuaP6GWBb8P', '10hMM5nsZQf66ldBlgWBfG', '6LtHYDgYHRCHoKK3snfr2w']
DJ 900	Mc Don Juan	2	['6MQrN9fclpvR4nf0uJrG1x', '0qxLQ6opocOGyFnlXqJ53x']
DJ 900	Mc Pedrinho	2	['6MQrN9fclpvR4nf0uJrG1x', '0qxLQ6opocOGyFnlXqJ53x']
Mc Don Juan	Mc Pedrinho	2	['6MQrN9fclpvR4nf0uJrG1x', '0qxLQ6opocOGyFnlXqJ53x']
Mc Kevin	Perera DJ	2	['4DWKtQVURjepn8uzBgmwuv', '2xebCnKCjYWBhJ4Ai8hO5E']
Dallass	Filipe Ret	2	['0cHflpV8SSGbE0NKaasEfT', '7cHfnWEkL5KqfLg03G7Gic']
Filipe Ret	MC Cabelinho	2	['13Rf6RaZT13TW4xLQR3MQr', '7cHfnWEkL5KqfLg03G7Gic']
Azzy	Pineapple StormTv	2	['13Rf6RaZT13TW4xLQR3MQr', '6giaOyDFbE4J8iclhCdW7E']
Azzy	Salve Malak	2	['13Rf6RaZT13TW4xLQR3MQr', '6giaOyDFbE4J8iclhCdW7E']
Azzy	Xamã	2	['13Rf6RaZT13TW4xLQR3MQr', '6giaOyDFbE4J8iclhCdW7E']
Chris MC	L7NNON	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Chris MC	Lourena	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Chris MC	Pineapple StormTv	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Chris MC	Salve Malak	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Chris MC	Xamã	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
L7NNON	Lourena	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
L7NNON	Pineapple StormTv	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
L7NNON	Salve Malak	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
L7NNON	Xamã	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Lourena	Pineapple StormTv	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Lourena	Salve Malak	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
Lourena	Xamã	2	['6giaOyDFbE4J8iclhCdW7E', '2fmeSswdyVq4wcqhY41UHk']
