artist_1	artist_2	count	song_ids
Dreamville	J. Cole	8	['2DjLLLV2r88a8TO0hVTVrS', '7wxDKfgFtRTbupcG4xDhtj', '7wTA0NKIm6T7nP2kaymU2a', '6MF4tRr5lU8qok8IKaFOBE', '3pZO6GoVPeSYDxxsH6vCdj', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Dreamville	JID	7	['2DjLLLV2r88a8TO0hVTVrS', '3QBnJDkME3teXvf52Sfslk', '2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Gunna	Young Thug	7	['4bi9YrkOvmg4Eb7h00AW2c', '5Z8HZM6iQMhhqyPcCGY5g9', '56AMYGJzxBO6p8v0wEe9de', '2OaKHGvIxoOzIYjyMsxcT8', '4ea9w8c4ROqiZpJVhfBA3m', '2U3LJfQB0ALLxC7Yy0QW7l', '6igOR5QCn09zAVF2ikZjsV']
Travis Scott	Young Thug	6	['56AMYGJzxBO6p8v0wEe9de', '3RZftiuTcLOqpsd8ZlwNhr', '4ea9w8c4ROqiZpJVhfBA3m', '6gi6y1xwmVszDWkUqab1qw', '7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Dreamville	EARTHGANG	6	['7wTA0NKIm6T7nP2kaymU2a', '2gtFMLjQpCTGekMi4oXZxN', '4eqrNsKy9Mvg1fvfsTVIAE', '03XfngWwNfhEjrnEga73Rg', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Lil Baby	Meek Mill	5	['0hGH0S74Eoyv6mXZcOKtdQ', '6xVhqLT40s5sVhepe9Mckc', '2yrdwMzK9HL3O7dGd79yoC', '12Fkyg9lpmaz2zmKOfw2Y2', '4U6ubKsTd8RBDP5tPPhh7I']
Billy Ray Cyrus	Lil Nas X	5	['4O4HtthxTvVL1Z1PuDb7GX', '6jmZlyf9DxcIoRrjw02YXm', '3kgKVcBpBGuSeaEC0AZGlb', '6u7jPi22kF8CTQ3rb9DHE7', '2YpeDb67231RjR0MgVLzsG']
Tyga	YG	5	['3SZqA7rQvROJsCbUu2v0xa', '0EzRnjtN5ER0wu1IudNom8', '1kK6DwzyXJSp58u5HYWwuD', '51wFQM8W0YfXTmHusXUr5i', '3O7lxdQoe1aNWs93VSHsJg']
Bas	Dreamville	5	['4ChD9wq9iakg5UdeSzmgPE', '7dnSXaCjLdFiWZa8s5wP1n', '5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k']
5 Seconds of Summer	The Chainsmokers	5	['7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN', '5rAtoPMDrOFN5wLdM6YmRx', '11cDEev79fPKi6uJCjUhu8', '4FAd2rB28SaWaJWmn30Xuy']
Post Malone	Travis Scott	5	['4Yq3XUNfWrAPWuB94qkC09', '5DiuFfnqqyWKat40eY8r8y', '0b6UoVjUzFyZNpHI0aAhKt', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
J Balvin	Tyga	4	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1jlnBQGP2DtSEhMgQaz7a7', '1f38Gx6xQz6r4H1jGVNBJo']
EARTHGANG	J. Cole	4	['36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs', '4eqrNsKy9Mvg1fvfsTVIAE', '7wTA0NKIm6T7nP2kaymU2a']
EARTHGANG	JID	4	['2gtFMLjQpCTGekMi4oXZxN', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs', '4eqrNsKy9Mvg1fvfsTVIAE']
