artist_1	artist_2	count	song_ids
Bad Bunny	J Balvin	6	['25ZAibhr3bdlMCLmubZDVt', '0fea68AdmYNygeTGI4RC18', '7hynhxDoDpgMIV12JuVtNa', '4R8BJggjosTswLxtkw8V7P', '05bfbizlM5AX6Mf1RRyMho', '66x45Yh9x397PWpxMX0ZDT']
Marcianeke	Pailita	6	['60eTDDWVvw2QKXEeoQ4BjO', '3PNBBs7345WBTSAxhE0q3a', '2NjMCSgDnIZw22PUwWg8lV', '2yY3Htp536KryowkfH9M7w', '0rUyfQzaE8CF6xyAu1OkS3', '1j1itFzuIbndSf6lW8L1Kx']
Cris Mj	Marcianeke	5	['60eTDDWVvw2QKXEeoQ4BjO', '6IDSV4YSk3pzPDZN7YwQAr', '1AnJQd8TfkhK6M3VgZDVv1', '6DwvPQUStsslrkVTSQnB9M', '6A0aHFMwujtUEbXC0yKgfc']
El BAI	Marcianeke	5	['60eTDDWVvw2QKXEeoQ4BjO', '6CD3fyqTD0Cpb5MJ5L5F0U', '3PNBBs7345WBTSAxhE0q3a', '7CK7JlDgkRjAwOooMkhZLm', '6IDSV4YSk3pzPDZN7YwQAr']
Juhn	Lenny Tavárez	4	['7iHHlCbsFou5DZSW5HCPfs', '7cx9L3i88euMfx1oNCqDAD', '5stPVcRqb4qixbafP9e8lt', '17I27VXKtqXJHL6ReaG0eS']
Los Legendarios	Wisin	4	['5Mw46yRtdiOdjqSG0eDItr', '43qcs9NpJhDxtG91zxFkj7', '2MxHuZWC99rsELX9SrCW7K', '7Bk0uXKk1uPT0XuQbpFzvs']
Lucho Lambis	Sonora Malecón	3	['3IUDbYtEWMnZpfYcXVMSq9', '0GFye1VF0KBbdQRlXj2eLF', '0BI7u6p921rYiD2EUyTJJG']
Bad Bunny	Tainy	3	['4gzsuuZypVbxs0Af1LSZyB', '66x45Yh9x397PWpxMX0ZDT', '2TH65lNHgvLxCKXM3apjxI']
Jhayco	Los Legendarios	3	['5Mw46yRtdiOdjqSG0eDItr', '43qcs9NpJhDxtG91zxFkj7', '7Bk0uXKk1uPT0XuQbpFzvs']
Jhayco	Wisin	3	['5Mw46yRtdiOdjqSG0eDItr', '43qcs9NpJhDxtG91zxFkj7', '7Bk0uXKk1uPT0XuQbpFzvs']
Bad Bunny	Ñengo Flow	3	['6C1RD7YQVvt3YQj0CmuTeu', '53v2u51nq3CxiKUNphRzP1', '2DEZmgHKAvm41k4J3R2E9Y']
Harry Nach	Marcianeke	3	['6mLg5bAhcSrVnc0yPsS7Jy', '60eTDDWVvw2QKXEeoQ4BjO', '6JGaJHFfj6AprtmJnG88t5']
Harry Nach	Pablo Chill-E	3	['40xJTwBKb5x3wjlLOeycaL', '6JGaJHFfj6AprtmJnG88t5', '7pin8wDLL57efEYLvOpAAS']
Marcianeke	Tunechikidd	3	['0rUyfQzaE8CF6xyAu1OkS3', '6CD3fyqTD0Cpb5MJ5L5F0U', '6IDSV4YSk3pzPDZN7YwQAr']
Anuel AA	Jhayco	3	['43qcs9NpJhDxtG91zxFkj7', '3xv8JksRyqHa1lwkM9xvJf', '3JCaq3KDSROg3TXhdiDa9n']
