artist_1	artist_2	count	song_ids
Anahí	Christian Chávez	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Anahí	Christopher von Uckermann	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Anahí	Maite Perroni	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Anahí	RBD	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Christian Chávez	Christopher von Uckermann	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Christian Chávez	Maite Perroni	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Christian Chávez	RBD	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Christopher von Uckermann	Maite Perroni	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Christopher von Uckermann	RBD	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
Maite Perroni	RBD	24	['5TsOI5oLN3PJexyp5jlspK', '3BQmLUIDmkHMJ4O41pcfkO', '4haBiYrYQ7AbvQxlt1QahV', '0bMVCO35RJiUhAfvFsLjIF', '5Ya2WSoqPdAkmohiRZgZGl', '1tJ7QglWwgMg3XDG82ZMsF', '5QEgSyNbcWXYbxXNkz4pxs', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '1AO5MeGsWdPLejY47pnYYy', '2RJ1fg4qf2vgZKifTa4HgA', '6adofcKuKjIl78iwvWF5MM', '3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '7F7qwp7VZRVwZsNoddRRgX', '48VQWZdgyvZPrrtKAtdJ9x', '6fqpsCQ7jF7OgQolXgYovX', '35iionyYNL2IHmtctvwYAk', '64mK5Yd0rdGeXVkMFspEyt', '6FTKCTZxT1jrx5LpjssYRC']
