artist_1	artist_2	count	song_ids
Kenny Rough	Paulie Garand	19	['2ThPxawxCGWI0XopGkkmt8', '6wUjnIVimhJDoJ1zieMoGs', '0XDtRcqKbvfNfAum5p5agl', '1RlwSiVgtNMtWJ8YU1Kzjo', '7kL2C7qQw0seMR8XiTqVww', '5XBq4IkdrGkQFZyJizK2cU', '1VNWNyZ6yXST2s8pX5DlFT', '6eOjHBVs0IPZcoNXGkluNo', '1efJk5dvJWluJ2mIIo8qW8', '4UhFjpsQs6rMrlzNLrHo2W', '0IJq6C1hU2FRqLpT6Pkfyb', '5hUW4R2V4DnFiw7WsW4Qee', '1Jw76Oa5p3hZ9ynEL24nql', '7kkvpAEdlCXeLJQ77UmcXB', '1Gsc6vM4XoNVj3NGNe1czA', '1blkg3L87E9BMPxfcncsNm', '1OiS16MBccnvxbZ6HkdcQ6', '1AxKpa45srlnXtMoND7dfZ', '5H91NYyC86a0k97EHZbtXj']
Nik Tendo	Yzomandias	18	['6LJbTZ8Tuq5dqtBSA6os9W', '2Bn2k4VreTz2Du8CtgXsVG', '1hOFq3tNMHS8Ym8ylgZV7c', '2Ywugg9eAUTXEvgKj93Gq5', '2PWcF0vZyCZNuX53BoMAUo', '3aemztlTVbltUIPDTu24IE', '1OLyNtgAlxrQx6RKtsTbHl', '7fkakCUoWwbFt5lw7CM8MH', '0Y4TzGi4YdW5dhFrFczpS0', '7IyxPYbc56u9KEIUOklvRx', '5Fc5R1945fuU6b0QB0HcYa', '6jk7bNCpdvIj45ojkt8vg0', '3sEdFCqhm6qwN0ncMpPDqD', '19AUPgullaiowNokCSpeZ9', '6ncRSPWxkfFuIpovCtUe3o', '0LaHykPX6TBDBCV1mA8ETH', '1ov7pjq9PMLoETtMaB6ned', '5AsqxeBxFiYDvd3sPaBJNB']
Milion Plus	Yzomandias	14	['6LJbTZ8Tuq5dqtBSA6os9W', '2Ywugg9eAUTXEvgKj93Gq5', '1hOFq3tNMHS8Ym8ylgZV7c', '2fAjRFi5cBmDATUS9gPGo5', '2PWcF0vZyCZNuX53BoMAUo', '7fkakCUoWwbFt5lw7CM8MH', '0tOZGHsrX3rRk4G3FaQDEF', '7IyxPYbc56u9KEIUOklvRx', '64x4naShFSvlG3bgJ4c2QA', '2AuAWKqXNuW16E0ElXiTkV', '5u8dc2ZAjhe1JY1ou2ItnM', '5Fc5R1945fuU6b0QB0HcYa', '0LaHykPX6TBDBCV1mA8ETH', '1ov7pjq9PMLoETtMaB6ned']
Milion Plus	Nik Tendo	12	['6LJbTZ8Tuq5dqtBSA6os9W', '2Ywugg9eAUTXEvgKj93Gq5', '1hOFq3tNMHS8Ym8ylgZV7c', '2PWcF0vZyCZNuX53BoMAUo', '7fkakCUoWwbFt5lw7CM8MH', '7IyxPYbc56u9KEIUOklvRx', '5Fc5R1945fuU6b0QB0HcYa', '2NXbHJJ0G007vcoUVCdMHb', '0hUXtIe04neSwQVr0Sn41J', '0LaHykPX6TBDBCV1mA8ETH', '1ov7pjq9PMLoETtMaB6ned', '1HURVedroTlzswJbtfbVEh']
DJ Wich	Lvcas Dope	12	['1N4nsoOMBIW87I48GNfdyJ', '6xGfVuDStonGtWRxJI1xeY', '5tcbhLigSbGNFc6SdDcDGX', '6G42TDqexuE4be762DRLzX', '6tJaqxJ39EQgyCj9Cc5F2W', '0nNujYasovIp6tzGl7b45l', '2ANNg6ZQP50L6iyvZwrL8f', '6uHF9KVM8FejUZfTBoLC4g', '0he33VNYXLd8JXLAv22WeX', '2OJ5JFcyx0g0pdMoDBmheA', '09mZak24YVGYqmnS1kO2VO', '5rliyZSlhom4mjkApcSaje']
DJ Rusty	Robin Zoot	11	['0pwLm0HZGoCoqvKImGEuDD', '0XJjvIgIxL9Isg8zxpKk3Q', '4axJSq4QNkY0CukF5x4pQK', '0bzsraRAqGNTaSdKLqP7YP', '5uFoVB8MRs1vQBb7xHMzRs', '3sEdFCqhm6qwN0ncMpPDqD', '7JfkYdK8Mzgz5oABISOZcW', '6uVycD8ErwT1bHsgWezQej', '6CzEv6lY4dwfl5JWm4WY3f', '6JKZrPXw83wngKjQcEpQg0', '6B0vDKhiS7YPRfIbW8QtqK']
Hasan	Milion Plus	8	['6LJbTZ8Tuq5dqtBSA6os9W', '1hOFq3tNMHS8Ym8ylgZV7c', '2PWcF0vZyCZNuX53BoMAUo', '7IyxPYbc56u9KEIUOklvRx', '64x4naShFSvlG3bgJ4c2QA', '0hUXtIe04neSwQVr0Sn41J', '1ov7pjq9PMLoETtMaB6ned', '1HURVedroTlzswJbtfbVEh']
Hasan	Nik Tendo	8	['6LJbTZ8Tuq5dqtBSA6os9W', '1hOFq3tNMHS8Ym8ylgZV7c', '2PWcF0vZyCZNuX53BoMAUo', '7IyxPYbc56u9KEIUOklvRx', '0hUXtIe04neSwQVr0Sn41J', '7Kk3JdKFFQv1YN2hluyx1J', '1ov7pjq9PMLoETtMaB6ned', '1HURVedroTlzswJbtfbVEh']
Karlo	Milion Plus	8	['2fAjRFi5cBmDATUS9gPGo5', '0tOZGHsrX3rRk4G3FaQDEF', '64x4naShFSvlG3bgJ4c2QA', '2AuAWKqXNuW16E0ElXiTkV', '5u8dc2ZAjhe1JY1ou2ItnM', '5Fc5R1945fuU6b0QB0HcYa', '2NXbHJJ0G007vcoUVCdMHb', '0hUXtIe04neSwQVr0Sn41J']
Kamil Hoffmann	Nik Tendo	8	['6LJbTZ8Tuq5dqtBSA6os9W', '1hOFq3tNMHS8Ym8ylgZV7c', '2PWcF0vZyCZNuX53BoMAUo', '7IyxPYbc56u9KEIUOklvRx', '5Fc5R1945fuU6b0QB0HcYa', '6jk7bNCpdvIj45ojkt8vg0', '0T0zsKIe6y0lvEDRo11Vf4', '1HURVedroTlzswJbtfbVEh']
