artist_1	artist_2	count	song_ids
KC Rebell	Summer Cem	29	['0owOFov4xvXoXQUDhq0YCL', '39qlqpwVzRkQP6WsILfIB5', '7itaMzdYaSVjrXNOaLaIUh', '6bTAKxX1oLUvKOOh85i4DW', '5LiNVqzl7PIIBBrKbCtMvn', '4bHxXJnNRSMfc8z2lEIMRQ', '5LhrVAtfslBvpyuKoo5yxA', '21u9cFskfSRdv6tBFZEtuK', '6hB5hpMGCIriSNCH0d2zHY', '2E6PBChEvnFKHoji2eNDJr', '6Nhhf4mloz2f7cWgoAr742', '1il0wh10vJnu5yZj6BddYu', '1vYLKyzU47iF8UWTU5C1CQ', '0RCSckg7PFBBfwG73ydbOG', '0p6ZRPPmXONaxaqWVdBZmD', '2PXspzdjW9nyLFyHRFTMiy', '679C7xG3Mm7zGRwyhskqKW', '7cfslWRjkI0WLbvkWmJdxb', '5hwzUBmny610l7YQPH9sdb', '3TfKkdaIhNyaGiEHJFBtNr', '5O3wMlZYkeAAGwWiPGPWR5', '6u17eFFrfGHH4f7AfwKy7J', '64nCYwh1tTdA63KQo8KNnf', '1eMbgZ0XqwzdmqsBmBGOM5', '6Z0XvbeGzalpzS7qcAK5mX', '6oRtoafQLviNGMEeLOtAzc', '5hNbpjMYatgqiDa7nonhsl', '2POPP9p17WYhKuDf3sQTh4', '5y2qTBdWUFNgSPOygSWOMe']
Bonez MC	RAF Camora	27	['7istTRCq9OK5cEC8sPAc50', '6wHRm1KR8pzVDPdmR6Qovj', '6v6xHeuMLbCuddN0ETrGhs', '4NrwzWgZfNHb7dpNrEEQqX', '6hjck7ERXicpsW51UkdHCA', '1BRdeyNaPcblzeqaBum5TS', '0oDrO1NTbP6uYNzSnjcqQG', '1WVnR5tOzd9oMVEAkBvPxH', '0UD507pTePjxhtnpTOWmKX', '0t4v7Q4yzb9SOQohayL33W', '7ckGvAoSg8oq85I8owLVSZ', '7d2QNWdojil8IXENPnAgTv', '4i9ZRPZbz683dAMVSU4zlm', '4FwwXRuwzJcpmfCR8ltO9b', '5Rw35kLemvSdxXmpQveQ7B', '369SOcTvxnm9DWYIzoNzal', '0Vy7fWzknPBpNTwJkGc7Sm', '3H25ywsvlV0ZT2XSpSU7wk', '3ZIAgHmolpOrVkR2JXCg2d', '27CUvggbN4O6ASZEsExeAi', '1mEboo42f3Pt5BSPCtogYr', '1bovaccI49Bqbu6TfU8zbL', '1vza0Eqjzqw0jJfOGRwg1c', '7g4ZuevZdAZh4EDrJG1S4X', '1uGERQ2DVv7j9WSsWzOHVp', '05Mp2UJulSttxQ4E6hQPH3', '6SIToQ3DgnTIzXAyM4amnh']
Bonez MC	Gzuz	22	['1dAazGFelwADy9weYTniuB', '4yI4PNx1en30E5MryFZZLT', '6v6xHeuMLbCuddN0ETrGhs', '5L56aF7d720ZaytO5UMEtb', '4iPjyH29Cw0PFQ7bR81fHf', '3aDYo34VzVf2i8aJyJk0ca', '3KbCjPkewCmJt09FYtyVK5', '639uCLPslNZLSWWMenLli1', '210azEodQSJ48zZrgxHsu8', '3dA1Z1MFUVbdY796jNEjr2', '6mw02h3qbWmuq2bJCRjRAe', '6zd31HpApjec1ldpS1E4Xu', '1KiA2qmRxsedA1mKPceIov', '4w5lLpNddC9X05bBxddqFT', '0Vy7fWzknPBpNTwJkGc7Sm', '3H25ywsvlV0ZT2XSpSU7wk', '7hCJgEQQqOlQrWQ9iOZ495', '01dCuK62A6QZ8L9ONTyMVo', '27CUvggbN4O6ASZEsExeAi', '42HI1CnQ4meVfZCTSwZK0n', '1vza0Eqjzqw0jJfOGRwg1c', '1uGERQ2DVv7j9WSsWzOHVp']
Kurdo	Majoe	16	['6eBA8O9zVo1IO1xywNY2Gi', '10w0DBcIenDKgqTQ3jl1sY', '5bk8hXjm2848cQtZ7BCAt7', '29CoYNq5Jn9v0xkmOGGT0s', '6H1SdTHwWELzJuvFQ0Y8nS', '6Eq0RLBYJi8bcetrR4lrEC', '7vJny1xQhUbflJMQvTdd8A', '1BUi9x7vl6q20HA2J0aiyU', '6r4dRb9m9OIlj3VTrWPMuX', '6O3MwxCWykOYhMGTKNYeXv', '0KzUyonAz3qE6UE9tDL4tV', '5sXH5is49Lxo6zQCksCKfe', '5IHELnC7n2iqinXATyf16K', '2hGHBMevBd3cf4xDwauAzj', '6rQxI9E91vFj8oO9Fnct27', '2s6YmsRt6jSW1cNRbfTSxe']
Savas	Sido	15	['6LxJNhtLZOcjTc3hNUNzlO', '63LvjNBXrndYyaL83C5nwZ', '5J9P2JiLn9VR5C8c2YAEPi', '5dENcQGTiP77Re7LvaIMTT', '7nEWnNn1mz68ufoHwSWzDi', '3cvbeLKHVG3EYibxcCLVYB', '0PR4YJoca5hi2AqIVWRvvr', '5vsfidTTEEpYICg7ag2Nk6', '1qzLOrkZDPDvH8WlDnJrVr', '7s0Qu88sgiKcMlO6c62juQ', '6bi86Zwk21G2n3bn7we0s8', '7goWEGd9EpIKR6nuE1BOgW', '5BSmC9VNKBAo6DlVtS6MA8', '5VbveN25v2Y2FZqGMbavSx', '18BLXBMkoDHVxJaSXDt9v3']
Fler	Jalil	13	['5uBQSjUAcLv330154CZxoZ', '2HvKuMtCu4onGhE1ONSvMb', '5ptlsLqs0JNZw6Q1jhIsn1', '2sWOUbbdQ4S1qMkrgfjBVU', '4bCoM0XTnht30tIkdUHotS', '03cZ771VV4ZIRVEbZbZZvO', '5Qh0ETnaiRYVuffPGqdXwK', '6O7miVTf518QmMbwvn5srr', '0Sg4VL2zkgb3EzJWbZJoXx', '5IQaJa2ezmEkBLHl3xcnoQ', '5zrg9OauFJuH1kgZF3MsZD', '2n7zISWD4izoHXWcXeCoZf', '7I3Sh6BviiaxouEqqTd96V']
Bonez MC	Maxwell	12	['639uCLPslNZLSWWMenLli1', '1dAazGFelwADy9weYTniuB', '63SGQVGRElERHTuljbqCsD', '6nBcD1J3L7qrgaEknTKNhv', '6zd31HpApjec1ldpS1E4Xu', '6hjck7ERXicpsW51UkdHCA', '0Vy7fWzknPBpNTwJkGc7Sm', '3H25ywsvlV0ZT2XSpSU7wk', '14OLkF8PnpsE7z9zt7FMu1', '1uGERQ2DVv7j9WSsWzOHVp', '05Mp2UJulSttxQ4E6hQPH3', '3KbCjPkewCmJt09FYtyVK5']
187 Strassenbande	Bonez MC	11	['210azEodQSJ48zZrgxHsu8', '63SGQVGRElERHTuljbqCsD', '6mw02h3qbWmuq2bJCRjRAe', '42HI1CnQ4meVfZCTSwZK0n', '4w5lLpNddC9X05bBxddqFT', '5L56aF7d720ZaytO5UMEtb', '35GSwxl4LYtOATVIXqmAPA', '0Vy7fWzknPBpNTwJkGc7Sm', '4iPjyH29Cw0PFQ7bR81fHf', '7hCJgEQQqOlQrWQ9iOZ495', '3aDYo34VzVf2i8aJyJk0ca']
187 Strassenbande	LX	10	['210azEodQSJ48zZrgxHsu8', '63SGQVGRElERHTuljbqCsD', '2TUcc3b5gFgq7oaRJfrVZd', '3aDYo34VzVf2i8aJyJk0ca', '7bT5tDmeOqa3e7EegiXfQr', '4w5lLpNddC9X05bBxddqFT', '5L56aF7d720ZaytO5UMEtb', '3ruUVcomUKxPlX8srBfMua', '7hCJgEQQqOlQrWQ9iOZ495', '5fzDpw2ecK1KghidsBVM4q']
LX	Maxwell	10	['639uCLPslNZLSWWMenLli1', '63SGQVGRElERHTuljbqCsD', '2wClcS0uXRVwUhuZBIVpQp', '6zd31HpApjec1ldpS1E4Xu', '70NqBF3w8WSv05KAD2Vz0F', '7bT5tDmeOqa3e7EegiXfQr', '3ruUVcomUKxPlX8srBfMua', '7yLypiPQQt7SPG7I26mq2l', '5fzDpw2ecK1KghidsBVM4q', '3KbCjPkewCmJt09FYtyVK5']
