artist_1	artist_2	count	song_ids
Quavo	Travis Scott	12	['5vuiHi3QYbwcm1OKJOYnrf', '2GByM82VgSrwywP6MVZmsm', '4vwfOiyWxXeEdx4ejAJgdx', '7J6bnDDitOwfelaJNixHhL', '2bjwRfXMk4uRgOD9IBYl9h', '5TRaIECBIfSkeqkKoG6psm', '7CRVv14VLogIh8BZLcRpJM', '4ceMuukXWzAQRYRYXalJMS', '5RRw66jDLIzgIqwA7ABJ9o', '3Ytr1SUCUi6J3L9dRFx5iH', '4cxpIEePQYsRDrVG6Q0K6h', '53MHr9cjIlwet0mpmqNvjC']
Calvin Harris	Funk Wav	9	['7iDxZ5Cd0Yg08d4fI5WVtG', '5bcTCxgc7xVfSaMV3RuVke', '0Ws8D3EWUDgY962Xftb0h5', '60APt5N2NRaKWf5xzJdzyC', '4KaIJ1FWXUoAAnOts1YWjD', '0lMbuWUpfTWhEmOKxppEau', '0pJPdSVti6cTM1Q6xYGmcf', '7tr2za8SQg2CI8EDgrdtNl', '08Wc3X7XNSyF8WYBPt2L8E']
Benny Jamz	Gilli	8	['263jcrCMb0ttw18hoGQTN4', '2TFtVKcnoudj5hPRRhVmCO', '0wPUbKfAwcaTievVCEaMvf', '5q4N9tT4vSmDqdE9eaN7mN', '6gNQyLZeyk4JMwpsNST9bv', '4hI5PS8GWCftS1AUgNlJV1', '7c5Ny3skYBWh5ByNpaUcZZ', '6vdALpNCw1AYYvFMQLmYpU']
Huncho Jack	Quavo	8	['5vuiHi3QYbwcm1OKJOYnrf', '2GByM82VgSrwywP6MVZmsm', '4vwfOiyWxXeEdx4ejAJgdx', '7J6bnDDitOwfelaJNixHhL', '7CRVv14VLogIh8BZLcRpJM', '5TRaIECBIfSkeqkKoG6psm', '4ceMuukXWzAQRYRYXalJMS', '5RRw66jDLIzgIqwA7ABJ9o']
Huncho Jack	Travis Scott	8	['5vuiHi3QYbwcm1OKJOYnrf', '2GByM82VgSrwywP6MVZmsm', '4vwfOiyWxXeEdx4ejAJgdx', '7J6bnDDitOwfelaJNixHhL', '7CRVv14VLogIh8BZLcRpJM', '5TRaIECBIfSkeqkKoG6psm', '4ceMuukXWzAQRYRYXalJMS', '5RRw66jDLIzgIqwA7ABJ9o']
Benny Jamz	MellemFingaMuzik	7	['0wPUbKfAwcaTievVCEaMvf', '5q4N9tT4vSmDqdE9eaN7mN', '6gNQyLZeyk4JMwpsNST9bv', '446v5k1vekgc8U5yqsmd5N', '4hI5PS8GWCftS1AUgNlJV1', '7c5Ny3skYBWh5ByNpaUcZZ', '6vdALpNCw1AYYvFMQLmYpU']
Gilli	MellemFingaMuzik	7	['5WCilecRDzclVGuG5qMwKX', '0wPUbKfAwcaTievVCEaMvf', '5q4N9tT4vSmDqdE9eaN7mN', '6gNQyLZeyk4JMwpsNST9bv', '4hI5PS8GWCftS1AUgNlJV1', '7c5Ny3skYBWh5ByNpaUcZZ', '6vdALpNCw1AYYvFMQLmYpU']
Benny Jamz	Molo	6	['0wPUbKfAwcaTievVCEaMvf', '5q4N9tT4vSmDqdE9eaN7mN', '6gNQyLZeyk4JMwpsNST9bv', '4hI5PS8GWCftS1AUgNlJV1', '7c5Ny3skYBWh5ByNpaUcZZ', '6vdALpNCw1AYYvFMQLmYpU']
Gilli	Molo	6	['0wPUbKfAwcaTievVCEaMvf', '5q4N9tT4vSmDqdE9eaN7mN', '6gNQyLZeyk4JMwpsNST9bv', '4hI5PS8GWCftS1AUgNlJV1', '7c5Ny3skYBWh5ByNpaUcZZ', '6vdALpNCw1AYYvFMQLmYpU']
MellemFingaMuzik	Molo	6	['0wPUbKfAwcaTievVCEaMvf', '5q4N9tT4vSmDqdE9eaN7mN', '6gNQyLZeyk4JMwpsNST9bv', '4hI5PS8GWCftS1AUgNlJV1', '7c5Ny3skYBWh5ByNpaUcZZ', '6vdALpNCw1AYYvFMQLmYpU']
