artist_1	artist_2	count	song_ids
Anuel AA	Ozuna	18	['14Ub5CX67F4si1R5UJxM43', '1U8Ta5gcm2xhma1FQS2bKV', '3jbT1Y5MoPwEIpZndDDwVq', '7m6aTkKrrPHAZ4fGnksoda', '73O30uMI7n6DuzBmbtO7kC', '7IrHrOQnhaHDDfZoraPVhb', '48MsdL5Med93EyIwINl5qY', '7oHsIIDKbEJlFULg1HF0pP', '2sqgNScWya6T8PwKMELYW8', '1tu5h5BU2WWrGH407kU0pe', '2nVOSrxGjCqblT9CKqEMHi', '3F5OoUJSVVC1f5PwOxcx0N', '7mP1G2qfxiqCoHaTvQ2WHf', '6UlIGL6Nv5KKTNH2c6vYTP', '22NqmIHKn0kd8CCFql4ZG4', '4bTZeO72FwMa6wKOiqoynL', '770EsvNdHAr56fPBhZxUH6', '0KkIkfsLEJbrcIhYsCL7L5']
Chael Produciendo	El Alfa	8	['028MkfDdEe6uyIkuJVj0cb', '2gMau9LsRZtWOrq5cBGywB', '4OiQdjeghmXFxALStZ7Bpc', '2L95U6syP0bV3fkYYOzmiW', '4QfZYDhGZc0T2RDvGiI69E', '55hvx2D6b0xar5U66kl4MG', '2UWBxYXPZa5j90pazGkEL1', '5rm5rdDxzqSY2JjK7cAUhc']
Arcángel	Sech	7	['2gzOFnP4J0AytvaPd86Rhm', '5W1qmxHrMlQGGAiFA3ZQqP', '3yoDVeVWIPSuH1IolXKA0X', '7sQKy5vlPQllr0k9IjYJv3', '7g3ezLhEW38T80iydvEyQz', '5HokHzcT1yQtsy7lLagEiA', '6K5BsR04ijf3FHNzjbaagD']
Farruko	Myke Towers	7	['0lCHRVlRZCEyLj3Gkc1nv1', '3AbJqOEvApkTuFKl1cIzTK', '1En6OzqLa2XWiY1We4jHms', '6dyUkkcyYuDiHOwIRXYOJm', '4gChz67rTHfVzKCZAHsifM', '6K5BsR04ijf3FHNzjbaagD', '4OMeEpkakI4Vb77gulgTDw']
Jhayco	Myke Towers	7	['43qcs9NpJhDxtG91zxFkj7', '3xv8JksRyqHa1lwkM9xvJf', '1QaCsLoKEWVujL3owyyei4', '3fHEwAssCgM4wJYdjT5Ch0', '343HgC6SVFtTAgMPlGoNjn', '71CIZGbBZR71GfQFB8c2xU', '7LE1K0lZyRFZjSlrnm7lfD']
Bad Bunny	J Balvin	6	['25ZAibhr3bdlMCLmubZDVt', '0EhpEsp4L0oRGM0vmeaN5e', '0fea68AdmYNygeTGI4RC18', '4R8BJggjosTswLxtkw8V7P', '05bfbizlM5AX6Mf1RRyMho', '66x45Yh9x397PWpxMX0ZDT']
El Alfa	Farruko	6	['6lRPa0hVzHRR3txXnPbtK7', '0lCHRVlRZCEyLj3Gkc1nv1', '2gMau9LsRZtWOrq5cBGywB', '0NMfbBpDkMp4WnAOnRFoiw', '72VsmYY68ihcJuKNaIYT28', '2K1mqI6DBj5qv83oif1Zj5']
Camilo	Evaluna Montaner	6	['6RV9pRLIQiXm3qTGeyQluf', '0pgj4EzB1XRqgZemoMNG5D', '7AjcJrynzHWlawo87kafY2', '4knc1Fp3kbuq8bH2byOvLu', '1LXb70u8SLsvBAPWHMCTMe', '4ImiVRynIiSHsfZwBQWSC5']
Los Legendarios	Wisin	6	['5Mw46yRtdiOdjqSG0eDItr', '2bgcUk2A3jjKbCJ7KPquTi', '43qcs9NpJhDxtG91zxFkj7', '56KhDgM8O8rHxBI7CIEGCw', '43PXER25C9JkExLBd5dObG', '7Bk0uXKk1uPT0XuQbpFzvs']
Anderson .Paak	Bruno Mars	5	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
