artist_1	artist_2	count	song_ids
Pitsa	Reket	16	['37nO27VENGBuVc7oYSSos3', '6Mg2UQbgiJBGGFQgaaYp8o', '30D1GZffeUbaLHRDl0akOw', '57lx0jqmoWsxhV9JXy8elh', '15ZE55MEw1goAbyz1URxpC', '2y7VX865eeGa68wTxYuflk', '6o01FpWpY186pTvzFcIIS5', '23cbJ33r9MYu1bCQow7PIY', '5w9DDDP1IbWc5OT7kevJX0', '6HtFG40G9snJdzfSCQFnqJ', '1AWlHjLlyhES65AFbPr1cl', '74wVYHidVbNdvy1dzCEL84', '4Lz2u7kw16ATv0iKQhQ92f', '5cHP4VQzm7oi8NodcM6rxp', '3LeaALvjNEieytTZbdtkPo', '1MU56uy3IMjvfgtgI1xstk']
Pitsa	boipepperoni	16	['37nO27VENGBuVc7oYSSos3', '6Mg2UQbgiJBGGFQgaaYp8o', '30D1GZffeUbaLHRDl0akOw', '57lx0jqmoWsxhV9JXy8elh', '15ZE55MEw1goAbyz1URxpC', '2y7VX865eeGa68wTxYuflk', '6o01FpWpY186pTvzFcIIS5', '23cbJ33r9MYu1bCQow7PIY', '5w9DDDP1IbWc5OT7kevJX0', '6HtFG40G9snJdzfSCQFnqJ', '1AWlHjLlyhES65AFbPr1cl', '74wVYHidVbNdvy1dzCEL84', '4Lz2u7kw16ATv0iKQhQ92f', '5cHP4VQzm7oi8NodcM6rxp', '3LeaALvjNEieytTZbdtkPo', '1MU56uy3IMjvfgtgI1xstk']
Pitsa	kohver	16	['37nO27VENGBuVc7oYSSos3', '6Mg2UQbgiJBGGFQgaaYp8o', '30D1GZffeUbaLHRDl0akOw', '57lx0jqmoWsxhV9JXy8elh', '15ZE55MEw1goAbyz1URxpC', '2y7VX865eeGa68wTxYuflk', '6o01FpWpY186pTvzFcIIS5', '23cbJ33r9MYu1bCQow7PIY', '5w9DDDP1IbWc5OT7kevJX0', '6HtFG40G9snJdzfSCQFnqJ', '1AWlHjLlyhES65AFbPr1cl', '74wVYHidVbNdvy1dzCEL84', '4Lz2u7kw16ATv0iKQhQ92f', '5cHP4VQzm7oi8NodcM6rxp', '3LeaALvjNEieytTZbdtkPo', '1MU56uy3IMjvfgtgI1xstk']
Reket	boipepperoni	16	['37nO27VENGBuVc7oYSSos3', '6Mg2UQbgiJBGGFQgaaYp8o', '30D1GZffeUbaLHRDl0akOw', '57lx0jqmoWsxhV9JXy8elh', '15ZE55MEw1goAbyz1URxpC', '2y7VX865eeGa68wTxYuflk', '6o01FpWpY186pTvzFcIIS5', '23cbJ33r9MYu1bCQow7PIY', '5w9DDDP1IbWc5OT7kevJX0', '6HtFG40G9snJdzfSCQFnqJ', '1AWlHjLlyhES65AFbPr1cl', '74wVYHidVbNdvy1dzCEL84', '4Lz2u7kw16ATv0iKQhQ92f', '5cHP4VQzm7oi8NodcM6rxp', '3LeaALvjNEieytTZbdtkPo', '1MU56uy3IMjvfgtgI1xstk']
Reket	kohver	16	['37nO27VENGBuVc7oYSSos3', '6Mg2UQbgiJBGGFQgaaYp8o', '30D1GZffeUbaLHRDl0akOw', '57lx0jqmoWsxhV9JXy8elh', '15ZE55MEw1goAbyz1URxpC', '2y7VX865eeGa68wTxYuflk', '6o01FpWpY186pTvzFcIIS5', '23cbJ33r9MYu1bCQow7PIY', '5w9DDDP1IbWc5OT7kevJX0', '6HtFG40G9snJdzfSCQFnqJ', '1AWlHjLlyhES65AFbPr1cl', '74wVYHidVbNdvy1dzCEL84', '4Lz2u7kw16ATv0iKQhQ92f', '5cHP4VQzm7oi8NodcM6rxp', '3LeaALvjNEieytTZbdtkPo', '1MU56uy3IMjvfgtgI1xstk']
boipepperoni	kohver	16	['37nO27VENGBuVc7oYSSos3', '6Mg2UQbgiJBGGFQgaaYp8o', '30D1GZffeUbaLHRDl0akOw', '57lx0jqmoWsxhV9JXy8elh', '15ZE55MEw1goAbyz1URxpC', '2y7VX865eeGa68wTxYuflk', '6o01FpWpY186pTvzFcIIS5', '23cbJ33r9MYu1bCQow7PIY', '5w9DDDP1IbWc5OT7kevJX0', '6HtFG40G9snJdzfSCQFnqJ', '1AWlHjLlyhES65AFbPr1cl', '74wVYHidVbNdvy1dzCEL84', '4Lz2u7kw16ATv0iKQhQ92f', '5cHP4VQzm7oi8NodcM6rxp', '3LeaALvjNEieytTZbdtkPo', '1MU56uy3IMjvfgtgI1xstk']
Big Baby Tape	kizaru	15	['6h2f5GrfpXo6eZCxUdzvF2', '2A6bj4o6EMJdCdXzcjMl72', '16AzcbKli3UQsxj491hJLQ', '5Pjmv35PxL2ByHadh1oRxN', '7vbXtUsr3lSZtBzwL6lpVg', '5Wr1F6BoB9BQ4wtlefGpK3', '0r9fpWPI6z3V3YZXIiVaNC', '4vvkdSOfuve7DBxsrVzVDP', '0h3jDrGXvkETn0xJRcZOJ9', '3U8JCs5aH9wLpQR08BuPJA', '4umjgYILQbHyV41ZmaemQm', '66jiJ5DX54pWNBL2Vt2859', '0VVa11kcXBGm99NgSiF8Rx', '53iGzPusAzNm0NaNrlWv8h', '5shMiLCYjeNGe1WKikPg6T']
DEW8	Genka	14	['1qaTyrZ7aHEwhlSgTdvy1K', '0MIBWudfsucvPMwCjVCuQz', '4CB6Z0iZtJdFosvYrsOeOU', '3qmLGIzEWBprl2hQoHWz2F', '1JcSxjvYkT4pQc3TNCG42R', '0oyCmPWT9zjYxfW9MX3CRw', '5BP1Z2unxf9sycQx7oFrHu', '4y2gBD7j4bSkicUrBF0Vtx', '5frQEK9JKzAdWz9qks5O0I', '3MY0thWLjjYLOJZO7T95Zy', '2mzfP4EINSpTq4L1njn085', '4WwvoLCE3JitfKs3EVqkt5', '2XJ4CTdJK23EYixbFEF2KW', '0JtGYllEZyOTNLx5MGEUSk']
Anderson .Paak	Bruno Mars	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
