artist_1	artist_2	count	song_ids
JACKBOYS	Travis Scott	3	['4AO1XhrgJczQ9bNVxdfKQe', '6gi6y1xwmVszDWkUqab1qw', '40mjsnRjCpycdUw3xhS20g']
Post Malone	Swae Lee	3	['0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy']
DaBaby	Post Malone	2	['6UFEJuDXQMWhL5UH5f9fUR', '0Xek5rqai2jcOWCYWJfVCF']
Alan Walker	Farruko	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Alan Walker	Sabrina Carpenter	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Farruko	Sabrina Carpenter	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
SHAED	ZAYN	2	['1iQDltZqI7BXnHrFy4Qo1k', '4HBvwhhYo7YiYXkUDrOHzS']
Billy Ray Cyrus	Lil Nas X	2	['6u7jPi22kF8CTQ3rb9DHE7', '2YpeDb67231RjR0MgVLzsG']
Travis Scott	Young Thug	2	['6gi6y1xwmVszDWkUqab1qw', '56AMYGJzxBO6p8v0wEe9de']
Camila Cabello	Shawn Mendes	2	['6v3KW9xbzN5yKLt9YKDYA2', '0TK2YIli7K1leLovkQiNik']
Mohamed Ramadan	Saad Lamjarred	2	['4I572oJh5QPVNo189sXzel', '6azjD02gDO2ZarIZMs3eRk']
Ozzy Osbourne	Post Malone	2	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw']
Ozzy Osbourne	Travis Scott	2	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw']
Post Malone	Travis Scott	2	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw']
Future	Halsey	2	['59PYPDxTbqJpiGfyogPb5h', '2C6WXnmZ66tHhHlnvwePiK']
Future	Post Malone	2	['59PYPDxTbqJpiGfyogPb5h', '2C6WXnmZ66tHhHlnvwePiK']
Halsey	Post Malone	2	['59PYPDxTbqJpiGfyogPb5h', '2C6WXnmZ66tHhHlnvwePiK']
Lil Baby	Meek Mill	1	['0hGH0S74Eoyv6mXZcOKtdQ']
Lil Baby	Post Malone	1	['0hGH0S74Eoyv6mXZcOKtdQ']
