artist_1	artist_2	count	song_ids
Alfred García	Amaia	8	['69bi3Tfjhr1RUtFK4M8JBV', '579X1MEK4Tsosamd0UFl6n', '3c5Ad3Klmry0DChXLkrjKm', '1ng213kVwU334LJeotiJOT', '6yoLHP3sBQDuN4K9zp7SDs', '1CcV4ySBU6QJ9xCRlWFyha', '5tNSU1bJKn1S42NyGSzShg', '4KCGvQuZSg7UFmjvipUtZY']
Ozuna	Wisin	8	['5X9daJT0Qg5yLIvUqwPKkX', '1KSqYYJFyfTecXFk9M0prc', '5Sv1rKKMX1yl9kfJ2HTluk', '1aYcpI8hXtpAEdBq8fp1pH', '6jA8JUuPCGYjFcgw0AoM5T', '400nZFg9JEXd9DTBJf1PE3', '4khRdk0vpLBWzGu41Fd7Rl', '7rwX0O3RlxqqIjQM8evm5E']
Brytiago	Darell	7	['7kuRvjpeUcn6qNV9IBXC2C', '56CvVCJYRQNWwM4vF4neCD', '2QgWkYJqvjzsAd8Sh8HlH7', '6R66bI4nkzvvNba80pWU2t', '6rbhaJsE4uLzpPf8WYSHDK', '1VI7uGTfxgUp0xNPLcyuvN', '59PYgzOiOjGDzjDT5N5oOX']
Aitana	Ana Guerra	7	['7vHzOI0lrq6dXsHuQWpBpT', '3deJrWvoEBWOAba3G2arNE', '20qW5svdEhxixETwwxntDb', '7aJP1XcWcSU9w0eqSvaeZR', '5bhDL4GgUvr5LBrpjqyrte', '0Ur4DvUsF7GedvPygHtaRv', '2uhCez2vAedVMYBxpGJbUV']
J Balvin	Ozuna	6	['3RTmnQQNya9v6ZKPoCIp2E', '1fs9kTASuC9RJ9say6KX2K', '400nZFg9JEXd9DTBJf1PE3', '6JjPBQfI2Y8nIjnm65X6Pw', '22eADXu8DfOAUEDw4vU8qy', '0MIcPSq9n2z5H8TAfEstri']
DJ Luian	Mambo Kingz	6	['4l3xGFwoTinvYxsePytOOf', '6gOm0Z1gzRVLlQIUwTZ57i', '5hcisvFMidkMJlElTO9Qmw', '3VClLWqNn80Llv0PJOsKgr', '7dNwJbsT0sg1le5kVugGJb', '7rwX0O3RlxqqIjQM8evm5E']
Demarco Flamenco	Maki	6	['5CTCZHdmKdWaXO29BVN6UK', '1hlgmYdihiXyDLgEU9BfJM', '5o4BOFHIXccUDgFzl7gfGV', '1ALca9LS7SmVbzDdXXXl5z', '0Gw9QC3RqHmTdGqHIWLHb6', '3a9DrFvXKsvrZ2NlCnuGVD']
Wisin	Yandel	6	['5Sv1rKKMX1yl9kfJ2HTluk', '1aYcpI8hXtpAEdBq8fp1pH', '400nZFg9JEXd9DTBJf1PE3', '0oFqlgK2LJ9eMlpGBCmRvf', '5YzA563GXTuwQaRq24z1k5', '3a2aBKuvgP1qHo3BqU3lGh']
Anuel AA	Ozuna	6	['5Sv1rKKMX1yl9kfJ2HTluk', '1ZBU5DSoYQwaZVgep6pfn2', '6NPjHwhEG7eQUQBoPFBrnz', '7LeQ55Z5jPBB0ggYJtAiYO', '6SIrNxmmdbv1KUbFBu1PaN', '59PYgzOiOjGDzjDT5N5oOX']
J Balvin	Nicky Jam	5	['7lRp0mTu0oAaN3avFuouoQ', '38QmUDpkoYlNbMKvpvAsrE', '400nZFg9JEXd9DTBJf1PE3', '6JjPBQfI2Y8nIjnm65X6Pw', '39N9RPD9MRb5WmoLzNzPeA']
