artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	7	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	7	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	7	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
David Guetta	Sia	5	['0XwSUpdrF7nR7hVxbDs7mb', '5072hCBK3Z15qRnTEzd8fy', '09YWXPuorQU2hE7DshcL6y', '2dOTkLZFbpNXrhc24CnTFd', '2AceGjiX9isUbXmMZa0Dl1']
DMNDS	Dance Fruits Music	5	['6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA', '2K7r0SujVkBGOj0JaOAZvg', '1evWpIlEfSZnXtHtpILB6b', '26uCJnkToLtKwpkfD7nIWp']
DMNDS	Fallen Roses	5	['6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA', '2K7r0SujVkBGOj0JaOAZvg', '1evWpIlEfSZnXtHtpILB6b', '26uCJnkToLtKwpkfD7nIWp']
DMNDS	Lujavo	5	['6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA', '2K7r0SujVkBGOj0JaOAZvg', '1evWpIlEfSZnXtHtpILB6b', '26uCJnkToLtKwpkfD7nIWp']
Dance Fruits Music	Fallen Roses	5	['6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA', '2K7r0SujVkBGOj0JaOAZvg', '1evWpIlEfSZnXtHtpILB6b', '26uCJnkToLtKwpkfD7nIWp']
Dance Fruits Music	Lujavo	5	['6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA', '2K7r0SujVkBGOj0JaOAZvg', '1evWpIlEfSZnXtHtpILB6b', '26uCJnkToLtKwpkfD7nIWp']
Fallen Roses	Lujavo	5	['6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA', '2K7r0SujVkBGOj0JaOAZvg', '1evWpIlEfSZnXtHtpILB6b', '26uCJnkToLtKwpkfD7nIWp']
Juno	Kuohu	4	['18iiaxZxjQ31VqXX8IIbYb', '0VicbOp2zPKuwJBkNt3QzG', '5yTzI4T2miWz8ZdZyV1hjy', '28phBR9YDjECTiWCl3GG5T']
Juno	Leo Stillman	4	['18iiaxZxjQ31VqXX8IIbYb', '0VicbOp2zPKuwJBkNt3QzG', '5yTzI4T2miWz8ZdZyV1hjy', '28phBR9YDjECTiWCl3GG5T']
