artist_1	artist_2	count	song_ids
13 Organisé	Jul	18	['5ckFMU88k7LUVFRmA4mrR7', '3kX8csnbX6KWq0rR56hut5', '1JSSZf4TDUfVbXK8CQxRAB', '717QGTmZdkemDaCo1vQHG0', '4Ml8QaigkCv84Ayfun64y2', '3lVsxSCWCSgQE6PNG2qE3O', '6MTMCxtbgxUlSTruFhBZzl', '5fAkXiLO13TYPXPRsPHR4n', '4ZmXwpAnxsp4zk8wGNj91y', '27TFzldNvbEHjUGhmPtwB3', '0CNXZ91xdVkbiVPtK4ezQd', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '4Awxx9qnausx9mazgpbDC3', '4664mS3Oui4LszStyITQm8', '1vAYK0m2hQJOIXdJbt9m0y', '3fUfk6rDZEMFO1INTXwzNI', '6SI92k6CZQAgVf7fq1rSpx']
Heuss L'enfoiré	Vald	14	['6tIdfNdeSjvB1RcdEwrzNX', '7LkRAV3RI042FnhSg7nKmI', '6R2ZPGhBifm1i793PMnXws', '0lt5ZjqJkyTMLESJfZRxzl', '2VnJAWZL4I0G3B5qJS82b5', '0YgPC4UQhot3W5WkC1o2jM', '6mXnfGvmempTdQUoOlJ8hr', '4Xqx3BINZ6PZmTCg4xqR67', '3H9FDoFA5eVWTfFtNUIwiv', '3Zsj22CbiGQkazan568HQL', '7eIAX5Kkm0N3aQCAEa9QsV', '2SyhVw4qt5p5PDIWkO1XE2', '0Hzgsewk4Rikq44haxwfTO', '4z8pJ74Yw4B4G3SToTzCKL']
21 Savage	Metro Boomin	10	['3CDVMejYHnB1SkEEx0T1N4', '6pcywuOeGGWeOQzdUyti6k', '3ruoIF2UnoXdzK8mR61ebq', '5SWnsxjhdcEDc7LJjq9UHk', '3WaDoMDQRqDdgtCDLxanpN', '5UpXJ75CXod4PCoBQP6MAP', '7fxSLnklnayJNBIKntXedZ', '4Q34FP1AT7GEl9oLgNtiWj', '4V9ynsDPwHtdItksqjuRu0', '42Tohunwlh34o0mgxYx5iq']
Jul	SCH	10	['5ckFMU88k7LUVFRmA4mrR7', '717QGTmZdkemDaCo1vQHG0', '6PqRRt5BCxO6tay5Nry0dj', '6atYbfU3m7CYTDe4LzQlUI', '27TFzldNvbEHjUGhmPtwB3', '0CNXZ91xdVkbiVPtK4ezQd', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '4Awxx9qnausx9mazgpbDC3', '4664mS3Oui4LszStyITQm8']
13 Organisé	SCH	8	['5ckFMU88k7LUVFRmA4mrR7', '717QGTmZdkemDaCo1vQHG0', '27TFzldNvbEHjUGhmPtwB3', '0CNXZ91xdVkbiVPtK4ezQd', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '4Awxx9qnausx9mazgpbDC3', '4664mS3Oui4LszStyITQm8']
Jul	Naps	8	['3kX8csnbX6KWq0rR56hut5', '717QGTmZdkemDaCo1vQHG0', '6F7o84Tlzvxtx5LY2y1hng', '4ZmXwpAnxsp4zk8wGNj91y', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '4Awxx9qnausx9mazgpbDC3', '6SI92k6CZQAgVf7fq1rSpx']
Jul	Le Rat Luciano	7	['5ckFMU88k7LUVFRmA4mrR7', '4Ml8QaigkCv84Ayfun64y2', '3lVsxSCWCSgQE6PNG2qE3O', '6akYl189fv2Yte1cN9Ptze', '27TFzldNvbEHjUGhmPtwB3', '0CNXZ91xdVkbiVPtK4ezQd', '4664mS3Oui4LszStyITQm8']
Alonzo	Jul	7	['5ckFMU88k7LUVFRmA4mrR7', '4ZmXwpAnxsp4zk8wGNj91y', '27TFzldNvbEHjUGhmPtwB3', '0CNXZ91xdVkbiVPtK4ezQd', '4WnBhATfoI6qWEgSCctJie', '4Awxx9qnausx9mazgpbDC3', '4664mS3Oui4LszStyITQm8']
Jul	L'Algérino	7	['5ckFMU88k7LUVFRmA4mrR7', '3lVsxSCWCSgQE6PNG2qE3O', '27TFzldNvbEHjUGhmPtwB3', '0CNXZ91xdVkbiVPtK4ezQd', '4WnBhATfoI6qWEgSCctJie', '4Awxx9qnausx9mazgpbDC3', '4664mS3Oui4LszStyITQm8']
Kofs	Naps	7	['65iEFCgrLKzsL9C6kxzerk', '3kX8csnbX6KWq0rR56hut5', '717QGTmZdkemDaCo1vQHG0', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '4Awxx9qnausx9mazgpbDC3', '6SI92k6CZQAgVf7fq1rSpx']
13 Organisé	Kofs	7	['3kX8csnbX6KWq0rR56hut5', '717QGTmZdkemDaCo1vQHG0', '4Ml8QaigkCv84Ayfun64y2', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '4Awxx9qnausx9mazgpbDC3', '6SI92k6CZQAgVf7fq1rSpx']
