artist_1	artist_2	count	song_ids
Future	Gunna	4	['2Hph3X77ySNgBCIak5CMc6', '58eOTmtMDTcTxRPXbZAvcR', '3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Encanto - Cast	Stephanie Beatriz	3	['4b1yxSdlumA8N4fEk4UOZp', '4X25mFLehFnxa1TwtLKcE2', '52xJxFP6TqMuO4Yt0eOkMz']
Future	Young Thug	3	['0k1WUmIRnG3xU6fvvDVfRG', '3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Gunna	Young Thug	3	['2ZGEjmwyeZ3rpEezkZwqOP', '3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Galantis	Years & Years	3	['79yNdAqUAuhn7XoqkOLWMo', '6FRxFke9VsjXmibGgSeKki', '4UrkPTyYTshiX5Kwfbggwm']
Labrinth	Zendaya	3	['76YSWx6L6FNsuaP6GWBb8P', '10hMM5nsZQf66ldBlgWBfG', '6LtHYDgYHRCHoKK3snfr2w']
Colin Hay	Luude	3	['7AVyve7cFYTd51ha5i9kE2', '3Oww84xrmgjyr5J1ilOmAf', '53O5nAlq04RKmSBqW0SFvG']
Lil Baby	Nicki Minaj	2	['1PNs0uGru3TcrA94kpyGnc', '7lcI4X8RZxK4zIknJcwpBq']
Encanto - Cast	Olga Merediz	2	['4b1yxSdlumA8N4fEk4UOZp', '4X25mFLehFnxa1TwtLKcE2']
Olga Merediz	Stephanie Beatriz	2	['4b1yxSdlumA8N4fEk4UOZp', '4X25mFLehFnxa1TwtLKcE2']
Dr. Dre	Eminem	2	['7iXF2W9vKmDoGAhlHdpyIa', '3a2jFwnts4Cf0OwJbK61SL']
Becky Hill	Wilkinson	2	['6LW3Z1GqbL78TIjfDyg4zp', '1QgebV92VO4Z7VxbQ1tSKo']
Issey Cross	Wilkinson	2	['37nGZSaEXsKzOZLINC3VOp', '6IlL9Xlnm0Oq6wXSe6TH9v']
Diane Guerrero	Stephanie Beatriz	2	['3XoYqtiWHhsk59frZupImG', '52xJxFP6TqMuO4Yt0eOkMz']
Buni	Russ Millions	2	['2qbkYhZy5gNl8HrK2XwddI', '3FMedgGsLUNwx8NciePFEK']
Rex Orange County	Tyler, The Creator	2	['0YpaoMOUSP3jwZ4RgqNESG', '1TDeDFUYHjZKLsO6bzoVg1']
Dr. Dre	Snoop Dogg	2	['503OTo2dSqe7qk76rgsbep', '4LwU4Vp6od3Sb08CsP99GC']
Anderson .Paak	Bruno Mars	2	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b']
Anderson .Paak	Silk Sonic	2	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b']
Bruno Mars	Silk Sonic	2	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b']
Arcane	Imagine Dragons	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
JID	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Adassa	Encanto - Cast	2	['4X25mFLehFnxa1TwtLKcE2', '52xJxFP6TqMuO4Yt0eOkMz']
Adassa	Stephanie Beatriz	2	['4X25mFLehFnxa1TwtLKcE2', '52xJxFP6TqMuO4Yt0eOkMz']
Doja Cat	The Weeknd	1	['0k4d5YPDr1r7FX77VdqWez']
Dominic Fike	Zendaya	1	['7JIIY2oDPFkURYMCLJuzhe']
A1 x J1	Tion Wayne	1	['7z5G2LOdV8okZn4yWg3q5g']
Jamie Foxx	Kanye West	1	['3QHPHLAkYV5cQBUYs6rowx']
Drake	Lil Baby	1	['37Nqx7iavZpotJSDXZWbJ3']
Machine Gun Kelly	WILLOW	1	['2AAyBZmMVZSZfgzXRYJOWQ']
Avril Lavigne	Machine Gun Kelly	1	['14td7C4K7BX8jsSYtgtQqy']
Lil Wayne	The Weeknd	1	['5XbA7TAqsD0fj0dGBrbb0D']
Dua Lipa	Elton John	1	['7rglLriMNBPAyuJOMGwi39']
Dua Lipa	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Elton John	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Anne-Marie	Little Mix	1	['0MWiSBKm8Avs8iDIxcertp']
Drake	Kyla	1	['1zi7xx7UVEFkmKfv06H8x0']
Drake	Wizkid	1	['1zi7xx7UVEFkmKfv06H8x0']
Kyla	Wizkid	1	['1zi7xx7UVEFkmKfv06H8x0']
BTS	Coldplay	1	['46HNZY1i7O6jwTA7Slo2PI']
Billie Eilish	Khalid	1	['0u2P5u6lvoDfwTYjAADbn4']
Camila Cabello	Ed Sheeran	1	['0QBzMgT7NIeoCYy3sJCof1']
ArrDee	Digga D	1	['32pPek0KsHsMSSFogNu49f']
Estelle	Kanye West	1	['22UDw8rSfLbUsaAGTXQ4Z8']
Machine Gun Kelly	Travis Barker	1	['36uNbyvWCUwSk3AnpQmu2I']
Machine Gun Kelly	iann dior	1	['36uNbyvWCUwSk3AnpQmu2I']
Travis Barker	iann dior	1	['36uNbyvWCUwSk3AnpQmu2I']
Eminem	Juice WRLD	1	['7FIWs0pqAYbP91WWM0vlTQ']
Eminem	Rihanna	1	['15JINEqzVMv3SvJTAXAKED']
Tems	Wizkid	1	['5FG7Tl93LdH117jEKYl3Cm']
Cher	Meat Loaf	1	['1kUA1UvX6fJn62qd5hg69Z']
Don Toliver	Gunna	1	['7hxHWCCAIIxFLCzvDgnQHX']
Don Toliver	Internet Money	1	['7hxHWCCAIIxFLCzvDgnQHX']
Don Toliver	NAV	1	['7hxHWCCAIIxFLCzvDgnQHX']
Gunna	Internet Money	1	['7hxHWCCAIIxFLCzvDgnQHX']
Gunna	NAV	1	['7hxHWCCAIIxFLCzvDgnQHX']
Internet Money	NAV	1	['7hxHWCCAIIxFLCzvDgnQHX']
Post Malone	The Weeknd	1	['00Blm7zeNqgYLPtW6zg8cj']
6LACK	Lil Tjay	1	['3J8EOeKLTLXORtWPpOU5bE']
Ajet 2F	BL@CKBOX	1	['3enuE51ckAHePg9ZvohAZo']
Ajet 2F	DC3	1	['3enuE51ckAHePg9ZvohAZo']
Ajet 2F	Hzino	1	['3enuE51ckAHePg9ZvohAZo']
Ajet 2F	Nerdz	1	['3enuE51ckAHePg9ZvohAZo']
BL@CKBOX	DC3	1	['3enuE51ckAHePg9ZvohAZo']
BL@CKBOX	Hzino	1	['3enuE51ckAHePg9ZvohAZo']
BL@CKBOX	Nerdz	1	['3enuE51ckAHePg9ZvohAZo']
DC3	Hzino	1	['3enuE51ckAHePg9ZvohAZo']
DC3	Nerdz	1	['3enuE51ckAHePg9ZvohAZo']
Hzino	Nerdz	1	['3enuE51ckAHePg9ZvohAZo']
Dave	MoStack	1	['4USHZ3omhEBGjHLD9BIJYs']
THE ANXIETY	Tyler Cole	1	['07MDkzWARZaLEdKxo6yArG']
THE ANXIETY	WILLOW	1	['07MDkzWARZaLEdKxo6yArG']
Tyler Cole	WILLOW	1	['07MDkzWARZaLEdKxo6yArG']
Bru-C	Wilkinson	1	['0yqU5tPByI1uLX5vIB7XO7']
Benny The Butcher	J. Cole	1	['6AshXllQhobwSXsdpgp41w']
Lil Uzi Vert	Mura Masa	1	['22PnPdB20lq7wElHkk17oP']
Lil Uzi Vert	PinkPantheress	1	['22PnPdB20lq7wElHkk17oP']
Lil Uzi Vert	Shygirl	1	['22PnPdB20lq7wElHkk17oP']
Mura Masa	PinkPantheress	1	['22PnPdB20lq7wElHkk17oP']
Mura Masa	Shygirl	1	['22PnPdB20lq7wElHkk17oP']
PinkPantheress	Shygirl	1	['22PnPdB20lq7wElHkk17oP']
