artist_1	artist_2	count	song_ids
City Center	RICTA	10	['1gGIw749eBETqQPpOzTTWM', '7nnwjqTNg6fgczyWk3Mt2f', '6zFIf7W0pKa9HO50dw5E8u', '51L94UR0GFEdnLBN08kbYA', '3JHmF0uVA4tYjIY1veinzK', '3zpX9ccXEHY4TPJk6eZzaO', '23QiG2QFsriAivFabPDHh5', '0T35xQKGuStztFLtCwSKUg', '5JOQUe7ZBglsgXqxvbFSs9', '77Y9aDAakeuPNVE4VOFsLL']
Ethismos	GoldenChild	9	['11pHaB9c5V4nqxLGzejdk1', '53VPahkLdnHiosHBKcaDZ6', '2uKFLI80dpZWqU4AoFp4iC', '3nOrMuwWKGa0JWzfQHHRM2', '40qQR2ELY3IcPyRwBj2YLE', '6PmZ8uiBhvwMr0tfLdcpH2', '2BQaCQnElkeHAIt9V8BH8T', '6nBq8Vn8w3snU2qQtI4e4Q', '1qHMnNp2pfSthLyTNSPBEZ']
Light	Mad Clip	6	['4lRQP4PC7ZHQnkPuq8N52N', '4aUhkdni2GhFwn8LHP0sqF', '2njluUoYPPPzZFglKkRBlR', '0v0XN0d4xUiP6r5DhiulRx', '0Az2D1ByNU09je0ZtzDcHm', '6W11qt0cfGVx7ZOEYNrSYX']
Hawk	Light	6	['7AZ8APzmxt0McQXnEXBq44', '2GOnF9OwX7CSCHzinCr3VY', '0Vo6x7xCIqQlnm2XbLZ6mF', '6tGl1mj5CyoB1hUtOKyhkQ', '0Az2D1ByNU09je0ZtzDcHm', '4iWDvVZZgRVgVnTtHOkHXp']
FLY LO	Mike G	6	['5PxGyzDQPmd04WzZTyp4nW', '5aFybnjLrxe6E88i63IyK4', '0iP2NME41Inz2Hb2tS6sKJ', '7bI9UbDmWHZmNl6JxAg6So', '30K8l6FPIUB9iH1txpmWtD', '4Bzee1IYWlqVHKdksLjGeo']
Mad Clip	Strat	5	['0omM3mkVfjt8MhDKinkhcn', '3zCUHfPi1kl8EUUamLxaJ0', '0iP2NME41Inz2Hb2tS6sKJ', '1Y2eEPxS1R8mZmMzjETpwy', '3xESR3mhjnxZETiVKbdXhI']
Dani Gambino	Dj The Boy	4	['1VYv1xH7yUl0b43UVR6yA9', '1gK70fcr4UnSDmP7KXtH0F', '1IPktlKE1ozrXfM017xpbZ', '7aodZPQpAaQrVA6cv9JXru']
BeTaf Beats	Ivan Greko	3	['1H9MJEIskPTwwvVJD7hIwO', '1FaERnz6U0LZ2AHI5JZytO', '66yGk627843tRtbjWQnQoL']
Beyond	Saske	3	['6lcgBbZKhYBnOxOS5rNlYb', '4MDYkMJVCRRDGzQXUkkG5U', '2Jr5Z8VTNa3bPAlbBk6n6k']
Bloody Hawk	Trouf	3	['0E7Y1ZxWaEH3FvHiIsIjTW', '1W2jHYkpp7XAH1gzdJgL88', '4CF59Qd9KirYixirlc6IaB']
