artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	5	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	5	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	5	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Arcane	League of Legends	5	['5EIkdrmuu2xkoQWOWjoeFY', '5f2zZawBtGBEw24ABweErz', '1r9xUipOqoNwggBpENDsvJ', '5UlnuulVAVmmesw4VzqHdG', '2ZuDGsKSJpQdJmpknJ7ypF']
Moss Kena	Purple Disco Machine	4	['1kTlT3phtU2yqTJYT1x6hb', '3Hj0zUiYaWm5qIUaTx6b4X', '4hdzNRErhJx0hPmF8xh2ht', '5Iv4HuT9pKPi5WuE2ii3vs']
Moss Kena	The Knocks	4	['1kTlT3phtU2yqTJYT1x6hb', '3Hj0zUiYaWm5qIUaTx6b4X', '4hdzNRErhJx0hPmF8xh2ht', '5Iv4HuT9pKPi5WuE2ii3vs']
Purple Disco Machine	The Knocks	4	['1kTlT3phtU2yqTJYT1x6hb', '3Hj0zUiYaWm5qIUaTx6b4X', '4hdzNRErhJx0hPmF8xh2ht', '5Iv4HuT9pKPi5WuE2ii3vs']
DMNDS	Dance Fruits Music	4	['2K7r0SujVkBGOj0JaOAZvg', '6Htqsoq5u7Z4a8hqWfMRXY', '6FATmkWp2Y6neyi2VVBUuu', '3M89zvwwb1jtDUDKYNsdiA']
Nemazalány	Sofi	4	['2Fr1Rt5AAiunaALXSWlrCh', '78Jj0xPR2y4KMAtYuWpRly', '65zLNOQR3i99UNx46cXt2q', '3JEYn4Ewai3sGkJl01v9Of']
Drake	Young Thug	3	['4KDNRh9Oor80z3XIxdWlui', '0k1WUmIRnG3xU6fvvDVfRG', '6rTInqW3YECMkQsBEHw4sd']
