artist_1	artist_2	count	song_ids
Travis Scott	Young Thug	5	['56AMYGJzxBO6p8v0wEe9de', '4ea9w8c4ROqiZpJVhfBA3m', '6gi6y1xwmVszDWkUqab1qw', '7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Post Malone	Swae Lee	5	['5VuxWXbt7XENQCtE9TzpTv', '4VqTRBvYg0z8C4nsl4Hupy', '0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '7dbka99KTWke5o9hRp0JoB']
Post Malone	Travis Scott	5	['4Yq3XUNfWrAPWuB94qkC09', '5DiuFfnqqyWKat40eY8r8y', '0b6UoVjUzFyZNpHI0aAhKt', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
J Balvin	Tyga	4	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1jlnBQGP2DtSEhMgQaz7a7', '1f38Gx6xQz6r4H1jGVNBJo']
Diplo	LSD	4	['3Y7a0typ6ik1KscmebXd6D', '4lJNen4SMTIJMahALc3DcB', '2c7GlMNmF7pbohjykutmLP', '6Dma0t0hOe6Bd6u5YRKF3n']
Diplo	Labrinth	4	['3Y7a0typ6ik1KscmebXd6D', '4lJNen4SMTIJMahALc3DcB', '2c7GlMNmF7pbohjykutmLP', '6Dma0t0hOe6Bd6u5YRKF3n']
Diplo	Sia	4	['3Y7a0typ6ik1KscmebXd6D', '4lJNen4SMTIJMahALc3DcB', '2c7GlMNmF7pbohjykutmLP', '6Dma0t0hOe6Bd6u5YRKF3n']
LSD	Labrinth	4	['3Y7a0typ6ik1KscmebXd6D', '4lJNen4SMTIJMahALc3DcB', '2c7GlMNmF7pbohjykutmLP', '6Dma0t0hOe6Bd6u5YRKF3n']
LSD	Sia	4	['3Y7a0typ6ik1KscmebXd6D', '4lJNen4SMTIJMahALc3DcB', '2c7GlMNmF7pbohjykutmLP', '6Dma0t0hOe6Bd6u5YRKF3n']
Labrinth	Sia	4	['3Y7a0typ6ik1KscmebXd6D', '4lJNen4SMTIJMahALc3DcB', '2c7GlMNmF7pbohjykutmLP', '6Dma0t0hOe6Bd6u5YRKF3n']
5 Seconds of Summer	The Chainsmokers	4	['11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN', '5rAtoPMDrOFN5wLdM6YmRx']
Avicii	Vargas & Lagola	4	['4XZxalvnG4Yo8YZLuiT1kV', '6ZEYvUSgON3J5Qe1RYi3Jo', '0uxDHazXSSu9bSZ28LsnAN', '1yfyIdEw5U2bD5I6gxQCxW']
Billy Ray Cyrus	Lil Nas X	4	['6jmZlyf9DxcIoRrjw02YXm', '6u7jPi22kF8CTQ3rb9DHE7', '4O4HtthxTvVL1Z1PuDb7GX', '2YpeDb67231RjR0MgVLzsG']
Ed Sheeran	Stormzy	4	['4QPEwDdOMhY7rNS05mTyMR', '07s9NNOT0sZQp7TyolLLgu', '1AI7UPw3fgwAFkvAlZWhE0', '2nyTaLu3TTrSS6CAxR3z0b']
Hozier	Mavis Staples	4	['2QsquiKBcjvDUlO6QyvMEs', '7wR5r0KYGXBpyWXCdyYs3F', '722bzdoolGa7pLuBsRw4Ye', '4rcSvYi807urIIqfeX3tBo']
Offset	Tyga	3	['5IaHrVsrferBYDm0bDyABy', '2toVe5hfuIi97ytDPDbQFt', '0jAfdqv18goRTUxm3ilRjb']
Goodboys	MEDUZA	3	['5p1ex0pXv6jSPJ6QbumQpD', '7CHi4DtfK4heMlQaudCuHK', '1DFD5Fotzgn6yYXkYsKiGs']
Europa	Jax Jones	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Europa	Madison Beer	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Europa	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Jax Jones	Madison Beer	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Jax Jones	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Madison Beer	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Dreamville	J. Cole	3	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE', '6MF4tRr5lU8qok8IKaFOBE']
Jax Jones	Years & Years	3	['29R1IMTTbDDA3VNlk6UEW5', '6tgzMDY2f0Qo6sYel0Mil3', '6iOnVcumBZ3ZbiZU1O9zLT']
