artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Noga Erez	ROUSSO	4	['1OiFZHE8gPfZFlrz4s1Pye', '5xlKyUU727MRZycNqeGWVr', '5xwDiBAzbxHxMGqd1RffnW', '31JsYFuBH4rGqW4YAObyMl']
Drake	Young Thug	3	['4KDNRh9Oor80z3XIxdWlui', '0k1WUmIRnG3xU6fvvDVfRG', '6rTInqW3YECMkQsBEHw4sd']
Drake	Future	3	['1K5KBOgreBi5fkEHvg5ap3', '34D6FJysnQioVingDKufuf', '0k1WUmIRnG3xU6fvvDVfRG']
Jimbo J	Ravid Plotnik	3	['1aeLER8xrHwua1TU5mbTyW', '7IGkkk83NInOaTmLALMP7L', '6jFzK1JUzC4Mr7kU12rTbQ']
Bas	J. Cole	3	['0GAyuCo975IHGxxiLKDufB', '4n6NDfYake476trCjJRNl0', '5BwQjRasNcdRPuVWKcHto2']
Amir Ve Ben	Jane Bordeaux	3	['6ssR8XxeSyPytTMkSaJn9e', '1miFtZ1QgGhVpVxbL76Y9g', '406GxF9gnDjRwsy5wqLpOh']
Static & Ben El	ליאור נרקיס	3	['5ZaUBNWlKA0OINhaymh5Lz', '7v0VSCjykfoquXKK91Pt7s', '6NzCGR1aXkl3z4tjUph4zH']
Baby Keem	Kendrick Lamar	3	['7Bpx2vsWfQFBACRz4h3IqH', '0UTyLmkQgPOEIz95OVAJTR', '3QFInJAm9eyaho5vBzxInN']
הכוכב הבא	תמיר גרינברג	3	['6UhMe1C9SIwTj6g5CNoDF4', '0118cyu05EWceI5iDt4RpM', '2fvZ8gLt85pXg1PAnq0VCP']
Dalia Amihud	Kids Choir	3	['5SwAqyLNQggJ8ZsH7kDonT', '4f9jxyLziRO4xfy4nOP7Wd', '7fT1m5zBUXcQhrQ8GY6zxH']
Drake	Travis Scott	2	['4KDNRh9Oor80z3XIxdWlui', '40iJIUlhi6renaREYGeIDS']
Travis Scott	Young Thug	2	['4KDNRh9Oor80z3XIxdWlui', '7uZqvqXzzYMKrexKxdcGmd']
Eden Ben Zaken	Eden Hason	2	['4F5i9rkN4DBMysvhzzEHoh', '7v0VSCjykfoquXKK91Pt7s']
Justin Bieber	benny blanco	2	['4y4spB9m0Q6026KfkAvy9Q', '3S8jK1mGzQi24ilFb45DAZ']
