artist_1	artist_2	count	song_ids
Arijit Singh	Pritam	18	['1MNrCAqCFLX31C3jD8DXZR', '1m4cCGL9TcJYYEHIZKwpZl', '3oM90C4SZLYzVZJEZD5EQk', '018eOid2aGaPdxon7T6GsC', '068HSvCf5MbQfhV4qqaelg', '4e9dIemIXO8Tzg0k4aWujk', '0batCl3oepmbTVooSxedEt', '0hFUtSsV2itYEUTZGj6w5H', '33m7jeZJqPuuV2YZoF5yEs', '0MLZAgKQKHbPsJ12qHS860', '5O932cZmzOZGOGZz9RHx20', '3jxNbVmugKWFFc3YAVl0sD', '1smFN2CLqGROu0J0UyvDfL', '6hVq4MGBhPIniEmpGbJIWR', '0H2iJVgorRR0ZFgRqGUjUM', '2X72RoxsswQEfzOWYDSBWD', '1UWacd8x8tPPwmrPB1MoBI', '0l6g8Z8mqGbGXFOjigYetD']
Neha Kakkar	Tony Kakkar	9	['4XeiaqgffFCVCnRykaTuPg', '1NotXKiDGHZdOXaFQc7kle', '5EVOYSyqFG7Bk76VFBftDA', '4obyqyCX0Vx839PTsz1OGf', '2hOlxSH3Zck6a2ki4xtKGV', '7ofWUKeNCUw1P64ArIwG9b', '4bKkdGBttnK4SYjT4zPC1U', '1MhHomaXgrPMBroXkpWSSa', '4OPlDG7JilNzoNfkH2ZRWy']
Lauv	Troye Sivan	5	['6uiz2UTi8yaPVd9A1OxxTW', '58GV8DCjojFSplLejcHIYu', '6H568VnZWTitazwFTwVSd8', '2iwS33Jfev1QBiuhWVWZHY', '4vjpLMyL3ZO6aphdYr8XYw']
Garry Sandhu	Jasmine Sandlas	5	['5fXslGZPI5Cco6PKHzlSL3', '7Jo4yv6Iiwxla5z10lE1L9', '11IAzj9706fIKBVCJyMNNt', '3Oe3VdPn6rAueriQvFhCBA', '7CY0CmCpSglfUKCBOOiRfw']
Badshah	Neha Kakkar	5	['6q9XTgfWilsnyiFofvYrIF', '3fPgIknlkDWXs1l2noKZbp', '75blgc6LjSNv4MQyJkPka7', '1MhHomaXgrPMBroXkpWSSa', '6oloWgrErtc8dG2WiV55gn']
Imanbek	SAINt JHN	4	['0zLCBJZSiELJf02ucPP9wb', '24Yi9hE78yPEbZ4kxyoXAI', '5f5tMrP3ZZbNtiLIHKOQLS', '2Wo6QQD1KMDWeFkkjLqwx5']
Sachet Tandon	Sachet-Parampara	4	['4FcZBCb6dANhvsEnFlgJwG', '2IoZMG3RqiTmsy7Li3zGFg', '0p83RJy9EZ0hlg82xcXH7f', '1feANd8EfcDP5UqSvbheM3']
Gurlez Akhtar	Karan Aujla	4	['7mUuarQfB0E0Xs80Vzd2gw', '4TXnkn7PPvC1MaoqQFVqXE', '3XQUm9KbQxla0ZtXh0cdGv', '5GZ85mz2Xp6aWuly0RXVTM']
Neha Kakkar	Tanishk Bagchi	4	['4XeiaqgffFCVCnRykaTuPg', '6oDHAjaJJjwwgoAuMIeY9K', '0TkquWzzuxcrwbCWlTrKYF', '7ofWUKeNCUw1P64ArIwG9b']
Mika Singh	Neha Kakkar	4	['75blgc6LjSNv4MQyJkPka7', '6oloWgrErtc8dG2WiV55gn', '3ZJVZdanfRHeXruvlJpv8Q', '790uNrqzKWCvj8rR1QXNpU']
Anne-Marie	Lauv	4	['09PGubKAMryhOWv1LHpCYz', '1DEkGXICCGLjDF7C65KBFw', '3Hig6FDiszzWDPIKSP9swE', '4wopYJ5wpYOM6ogm2Jugnw']
Dhee	G. V. Prakash	4	['0VnEZ9XMrhMu8OCDnRBoEL', '2b4nWymybHj38A6XtQijiA', '3umai3byVVIwSfEZEUY7PJ', '1HobaVS51OdBZqNmqt1TX7']
Prem Dhillon	Sidhu Moose Wala	4	['7oyKNHWzmk8XH5aEVOuGGP', '1pZbjOj49hg04l9VBO97hp', '4V9rQZOGILc4YfBnCDXgTz', '2D6UIhlg5MpcdFJPuuhozg']
Dhvani Bhanushali	Tanishk Bagchi	4	['68iBMrMRc1rg4eAxJbvxch', '3ZjMdVOWxQ53FKrmkgCv95', '5u1B3XG0RtFHCaTON42z4W', '0mJTAdmY8olbGQjopDYff3']
Guru Randhawa	Sachin-Jigar	3	['1MhHomaXgrPMBroXkpWSSa', '5I2wbDvSI98HLVB42YO9sU', '7yy3HgKJEcwArL5k0v5rhF']
Arijit Singh	Mithoon	3	['6p2o4ep90wpkh0qzUmyFuO', '2Fv2injs4qAm8mJBGaxVKU', '2U0BLmYoSESYOdwMxW2yA9']
Dino James	Kaprila	3	['1rav6gpyMEfZQrMdaVs1sx', '39m83gjG1lNr7Un0dJndFw', '4nKc9yiwXWlEByq1oMfHU6']
DIVINE	MC Altaf	3	['5KkCsYIgMK5H7Ih31Dnd2Q', '7zKzD5wM18bQSiJTAxTpwH', '3l84vjvLnKIfqLLdZXKq2B']
Guru Randhawa	Tulsi Kumar	3	['31d3tVd82tx2sjA2VQ3PMZ', '5I2wbDvSI98HLVB42YO9sU', '5ZQnQnbUVtBO0pl3ShqVHG']
Jubin Nautiyal	Sachin-Jigar	3	['3boJs8tx10SQr2nUUm3FAr', '1MhHomaXgrPMBroXkpWSSa', '1WzOH0E1W1z5jcLluumQGE']
A.R. Rahman	Mohit Chauhan	3	['1wbxjQnN7MTk8MKt3SumyY', '7F8RNvTQlvbeBLeenycvN6', '0LtuveFgRP4lkksywmCtxV']
A.R. Rahman	Arijit Singh	3	['6bdpj89aYEBjhpsenXAsmO', '0OauAkcHNZZrFL5DYFti9C', '1XFZMenJ30FfGOsj8X5sqf']
Parampara Tandon	Sachet Tandon	3	['4FcZBCb6dANhvsEnFlgJwG', '2IoZMG3RqiTmsy7Li3zGFg', '0p83RJy9EZ0hlg82xcXH7f']
Parampara Tandon	Sachet-Parampara	3	['4FcZBCb6dANhvsEnFlgJwG', '2IoZMG3RqiTmsy7Li3zGFg', '0p83RJy9EZ0hlg82xcXH7f']
Shooter Kahlon	Sidhu Moose Wala	3	['0TNB0RJsCi4WmeYtRqyAdt', '4kcizSK2OZVgRSqr4qmEcs', '12j9XLGbDrJw7S4flHVIMj']
SHAED	ZAYN	3	['1iQDltZqI7BXnHrFy4Qo1k', '4HBvwhhYo7YiYXkUDrOHzS', '2ez6qvOTHKeI3ss80NGqnI']
Gunna	NAV	3	['2DQNYMRjisN3KAPj1bEwOI', '0lSZh5W0wDeurkGzLYY6hf', '7hxHWCCAIIxFLCzvDgnQHX']
