artist_1	artist_2	count	song_ids
JóiPé	Króli	34	['5Mb8tSc33qkWgGq55ZLxFT', '3DS6XYAFjPdojYZKuQRG8w', '0OoWLsE7q7sjy7tE6LSSr8', '1FxgtZlhPfnxLniT14KTTn', '2nhWiRTIwfiN0INbjxkiYZ', '1JaO8feOJtSAaRRdwTAg5y', '23lh5om35ZxKyzg5fM934B', '0YvK56iC9rz1cW1FC3DepD', '1jgN7Uraxy2UgwAsGm5yo0', '57v2KMkM0VfnMyADro93xA', '7gFDpAsvOi9Hc1ccLuOR7t', '63OFsS8z8obuDvLRzoG0ax', '4ranVZMGU28qHZS6DBBdHc', '0sDA7MLd4BBI9EKD5aEqgb', '7xfGrGqvFAeeQ6giNSXaAA', '08agE02iwa4yfCkhjGy6WA', '7tp89E9Daxb7xoLggXzWU7', '6uP2DBITa982EzgIWSrlDY', '4HsHNO0j9RG4UqeYJRtiB7', '791QG7zjamCLm572jfVVBk', '5bDNVH97o90rdq6BMJW6XW', '3Zug6kNKgJ73L252vOnou5', '4wBY9TNUoxtKiRh4JjAS7x', '2xy8jwiHxVrzQL0pBmgaN8', '4QQQy4piBADsklMVcueNAH', '4nMlbJLNC8tBfkuYUW6qmF', '19CXlWSSQNtPAJP310krkV', '2PndhnjwL5DFVfIKXf6GfJ', '6Qv6Rmw62a6QUCnRLolnDK', '5KiFEqX0hbJUjTATV4yUZF', '47PJ3vdaE9nRa84VSUW5D4', '23mSS5VRynhYRs5TKOkoe5', '010Wcwm7AFPRfToQWdmk3l', '5o5izNl9qmSdORVLep9ihZ']
Memfismafían	Sigurður Guðmundsson	11	['4OHcOwKv38RiGhWuTwPXIE', '0c1IZJa1ReeVZ5ZvOJwjih', '2CQuKjJXK2LgUEuXdWl06p', '1YkDrjiFW8SBmCzaqnSi6k', '2dDXqeSNoWfccBFVFT8ZPU', '6NWRYtT2LCX3MrtCbCp0TP', '4w4kNY6C4x2H7q5MXoHkbW', '2pMCNai7OshHyqb0wwQnO8', '3flmfwj5DuZ1lJJr4bzQpu', '5Ym7C0ryw3Nl1RoamrOZaO', '0ghHbIcvnkUlMP6V1gH9pf']
Bradley Cooper	Lady Gaga	9	['1EWKuMkjiVrHRoqAquXVfL', '3PPeqAc0fCfFdh8cUYShn6', '3iYYUkgkIgZy20xUVaOyLU', '0eUwuRuPBzxhU9ApFIcDl2', '2VxeLyX666F8uXCJ0dZF8B', '5lK18Pt33xNudq4qYDxIm8', '3DKpA54hrFIdPN6AtL9HXa', '5IXk9TVBuxG87sFrwclBJw', '4Z2s8VRI8WEZyU0xeqnlJD']
GDRN	Ra:tio	8	['2ImXoBtL5KT5PZmxC7hsUU', '0UqLIAUbBRxbvIntsIbb2P', '1IWCWQUUcT1r5zfFEycpDF', '6GVwwH5cC7JcqIW8GC6t9h', '5etSWkNYdVTYL0WiKsXKHO', '0bnCxmktCsoiwb1Witnnrd', '2KYb2d7YH7cVuzKmmI3uBS', '28DyWqjLpgSaEIUtzk29Vs']
Gunna	Lil Baby	8	['4F6yN5FsFW10Ucx7cLCzBh', '1BxkZE73h9BN3qwuA15TA3', '4T7cJdrTRqOBESPYfvfj2x', '6PoKfDY78ih5OveWirggRX', '7roKDmJDOzkpfGpUQJ5EnL', '78QR3Wp35dqAhFEc2qAGjE', '6wWaVoUOzLQJHd3bWAUpdZ', '1yQvL8SzbF5JCroRKk9F07']
Future	Juice WRLD	7	['1hHe7cirScEJWgAS0JFqTL', '3fFBZvG777xoKyvcrBq7lc', '6gzIcEUuswJQGfJNPYMjjv', '5274I4mUMnYczyeXkGDWZN', '2vs5ubqg8QUbfyWZpMfvWe', '2NRGaA1GyCmTYfm2GRPkUe', '2OsDoAzo5SGq10qwmKSQBv']
Rae Sremmurd	Slim Jxmmi	7	['6nI74KsH94IN0J2vp5shdT', '3qKCDFZp192KBEEtFj7fDa', '4669wTPqp7Xwz2H7v4QKi1', '6sTDhYVVXU3HSDuG7mBLRU', '1oUudyBYVGMIC8JXeIsFzq', '1BuZAIO8WZpavWVbbq3Lci', '2yUbCEiaolfSMluDo9RMmG']
Rae Sremmurd	Swae Lee	7	['6nI74KsH94IN0J2vp5shdT', '3qKCDFZp192KBEEtFj7fDa', '4669wTPqp7Xwz2H7v4QKi1', '6sTDhYVVXU3HSDuG7mBLRU', '1oUudyBYVGMIC8JXeIsFzq', '1BuZAIO8WZpavWVbbq3Lci', '2yUbCEiaolfSMluDo9RMmG']
Slim Jxmmi	Swae Lee	7	['6nI74KsH94IN0J2vp5shdT', '3qKCDFZp192KBEEtFj7fDa', '4669wTPqp7Xwz2H7v4QKi1', '6sTDhYVVXU3HSDuG7mBLRU', '1oUudyBYVGMIC8JXeIsFzq', '1BuZAIO8WZpavWVbbq3Lci', '2yUbCEiaolfSMluDo9RMmG']
24/7	Yung Nigo Drippin'	7	['6caSWFhjX94VsWXt8zDcmq', '1LQJLzBuynPAYSTMrhWnXs', '7lkk1x9EtwjEV4zElQ4mGw', '2UMN0kYjvV3TFJmPlPmWYZ', '17JxeSUAz5LPnsdgm0LA62', '1dl7xHW3Am2kbFDeMJB09n', '1K05xtco4shJX7nnQNFujo']
21 Savage	Metro Boomin	6	['0AluA5RNsa4Cx6XRhf2hWZ', '1HLL8X0LH20F6Z9SLXLIjr', '1m6lqaLvUTxPjOo98fJH8U', '5u6vkDnOyaf8LsteDAj2ub', '2Grb4G6t9VIqo6moKUloom', '43lYaovU2FoeuBMNusVVVW']
