artist_1	artist_2	count	song_ids
3D	Nayt	17	['3uRsF8kteU4tahegykQL73', '6DuaLPP9WpaRObuVdZ8Kcs', '7lrePdRkp4pplxEzeM3csB', '50j7FW29sjQ2ALr6RkGjh6', '0tKOZoVkaV3ZSYyp8dyaCe', '5Jny3m9XarSYHvxCldiYdE', '3yAUQr74hB0UP37lm2p62V', '2Nznbe2EjwZk8Q4fwU7QD4', '3WQJd5uYQ40Qlol1Q8pIpe', '6tgQxjeSlrP4J6jjYfjb7R', '6B65Mll1oQmmTrpgK1DKM0', '0ECpJkYeMeV22bvmFIdVNN', '0eczHniJguffShMNltOqMo', '3kGbiAg6k5xX81EqvEIRWH', '5pL8J6weoydzXglhsoJ6Vw', '0EWC93nihVzMw5HI6Crf5V', '4YcSCFDuhcrQ9mhX2glRy2']
Gemitaiz	MadMan	15	['3fV9z98dnQLSIPIMMJXCm7', '4Is80c3yzO9NzVWMDAnnTR', '5IiE6zhjY9rsXRLhIOyX5h', '75UNZ7tjYzsoTMgmpWdzw6', '0Rsfm3UqHkNzKsb6L0Yz3Y', '7GfXjqXD9aBvDoBdZ7EwPH', '0zlAKx6NDKKGWjWJE1AX1S', '0P39aeceSQtCBO7IlffkbD', '00hy8cpfdBAXPcgWpsCtyk', '2jkIbZ43eH3rM1yro2Ojzh', '34UHhwlly3SHryWuVfMOJm', '3bj6F2PY4PWMNrAuywX5cR', '0RwiRXkfB9URjKRW3G24Cs', '2OtQyoZSL78nBC4mUUKMav', '4dBCrgiAh3KJSJdt3XpLfm']
Achille Lauro	Boss Doms	13	['0xXt39nrPLKPdLma3Ce1Vk', '3dddy63aCHTWE9e5x4EvkP', '68IBz8C8oFUIVC4Xgf0f0g', '728DBCO2w0weO0gGVwGUex', '5fpddhtBYcQsRu2d4vJf1Q', '2l9XbXBbKoEfc1JdCvSz4n', '0PpB4YTfszDRmQxLirA4pM', '1PmAJ4km896EzKyPLDOTtS', '50RKh8Relx6iWEZLtgtNJ6', '2Gh5VQk2dGHeqRStTrHVqn', '0TOxoAmGiECMQBKMtY9Gx6', '2wXLAFYIclP6NfmmugFAuL', '2NTxalkIR7Yz1nl5iIFWAz']
Crookers	Massimo Pericolo	13	['67vjEOTkBppbVLUUq5mEJz', '7aVX95NjONZszSeb8vJZF3', '4wjJAbrMPIUOafFK7VaZdC', '19dpoXTHgYOunJMfohMMEp', '2dRp9MdWDaobzUCefxBZxk', '2hua6kYP0M8MC3NQeMqr6f', '7IodmRmNI9m1Scoyar9xsP', '27fFRNQqNGX8FsALElIKAk', '3E5t5XDzJj3iSVBUq79rjb', '1Wbc0N0X1zkFqnKGcj8Quh', '6Fg6zCGxZ61JL9bc5sV7Ex', '5i3KnygQIfHlI8i2K8eRd8', '10OOf16lljBQV1cEeX7ZOM']
Mecna	Sick Luke	11	['6bHkj74AJuXkjkG9EFOebu', '6iCxOvptqg68pRfeMaR4dI', '0StxpuoKBB6kq8VzDuUABL', '09CK4uTHaApLn80HCS9cd0', '6DAq883B9cip8V5RXC5rKU', '5pMOVW1tYXXXvY2BxKezJ1', '2NxsVcomzKQqUdZg7xyKHk', '3u4g4IUm1CyoQllNmsh1aR', '7g0dmj4mrpVxa6rkm8gqYl', '3ZiRcBkPpxPrfqfjpvI8mm', '30TWvUkIFCbKAPF5FTrbGg']
Crookers	Nic Sarno	11	['67vjEOTkBppbVLUUq5mEJz', '7aVX95NjONZszSeb8vJZF3', '4wjJAbrMPIUOafFK7VaZdC', '2dRp9MdWDaobzUCefxBZxk', '2hua6kYP0M8MC3NQeMqr6f', '7IodmRmNI9m1Scoyar9xsP', '3E5t5XDzJj3iSVBUq79rjb', '1Wbc0N0X1zkFqnKGcj8Quh', '6Fg6zCGxZ61JL9bc5sV7Ex', '5i3KnygQIfHlI8i2K8eRd8', '10OOf16lljBQV1cEeX7ZOM']
Massimo Pericolo	Nic Sarno	11	['67vjEOTkBppbVLUUq5mEJz', '7aVX95NjONZszSeb8vJZF3', '4wjJAbrMPIUOafFK7VaZdC', '2dRp9MdWDaobzUCefxBZxk', '2hua6kYP0M8MC3NQeMqr6f', '7IodmRmNI9m1Scoyar9xsP', '3E5t5XDzJj3iSVBUq79rjb', '1Wbc0N0X1zkFqnKGcj8Quh', '6Fg6zCGxZ61JL9bc5sV7Ex', '5i3KnygQIfHlI8i2K8eRd8', '10OOf16lljBQV1cEeX7ZOM']
Alfa	Yanomi	10	['208GsvgqNqRSaJP4ru5pVG', '4q6Cq4aLWeg3fr6ywhJ9dC', '0n84KQcjfidLn70aI15niR', '5XGRcuFaRKIGd7ruTiJCUj', '0YQhL2lcgdzO0NN4gny7z9', '0EThQdS5hqhByp2CLttKin', '7kzTNbYGnZoZnuXeYsW3Mu', '1jJMhPp0Rm6lAi077PXeEQ', '3a1ysVvXPrh0byxO6HHWBN', '4GoLVIAplQyplhitHFabfy']
MACHETE	Salmo	9	['5nFX29WZIulql4m4ic0KRw', '28fRkU3vhqAJdl9i9458pQ', '2zVawCwOXmkr5pFw5O6MoB', '7ie4FrP174mREuo5uhlzmP', '0lAu8T3mmYcflgA8nSCc3m', '1ZCzbEj3F8SqqtKSupWaBo', '0nFCpnM7nistUWXRZpzOWM', '5yD4Ji9FAZrthZNKsRqaA2', '46HYFOcfvg2W8a8FccaRvO']
Dani Faiv	MACHETE	6	['7ie4FrP174mREuo5uhlzmP', '0lAu8T3mmYcflgA8nSCc3m', '0JlZqiWJ3zjIUA75MTpiWK', '3Hh0ZcGIqIkSiJVZGLcVLx', '0VU34EBWTAlHVIZE3aWlZA', '76OIEsiXVKhoaVLQZifKjF']
