artist_1	artist_2	count	song_ids
Avicii	Vargas & Lagola	5	['6ZEYvUSgON3J5Qe1RYi3Jo', '1yfyIdEw5U2bD5I6gxQCxW', '4XZxalvnG4Yo8YZLuiT1kV', '0uxDHazXSSu9bSZ28LsnAN', '5dVUSdsePmEKkq4ryfrobU']
5 Seconds of Summer	The Chainsmokers	4	['11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN', '5rAtoPMDrOFN5wLdM6YmRx']
Post Malone	Swae Lee	4	['0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy', '7dbka99KTWke5o9hRp0JoB']
Agnes	Avicii	3	['4XZxalvnG4Yo8YZLuiT1kV', '1yfyIdEw5U2bD5I6gxQCxW', '0uxDHazXSSu9bSZ28LsnAN']
Agnes	Vargas & Lagola	3	['4XZxalvnG4Yo8YZLuiT1kV', '1yfyIdEw5U2bD5I6gxQCxW', '0uxDHazXSSu9bSZ28LsnAN']
Billy Ray Cyrus	Lil Nas X	3	['6u7jPi22kF8CTQ3rb9DHE7', '4O4HtthxTvVL1Z1PuDb7GX', '2YpeDb67231RjR0MgVLzsG']
Aloe Blacc	Avicii	3	['6nDKrPlXdpomGBgAlO7UdP', '2x0RZdkZcD8QRI53XT4GI5', '0n2nEtLP3OzDdi12ziIekx']
Brendon Urie	Taylor Swift	3	['4Sib57MmYGJzSvkW84jTwh', '2Rk4JlNc2TPmZe2af99d45', '4MsUsFfWseB9M2plGJyuIw']
Camila Cabello	Mark Ronson	2	['5Uw7Dut2lZfexn3Y09swpf', '1HpzOCZbNWzxvvXfSGtSrX']
Ed Sheeran	Yebba	2	['5ug4vqGZ3eisGhY1IsziNX', '0VsGaRXR5WAzpu51unJTis']
Disclosure	Khalid	2	['6TqXcAFInzjp0bODyvrWEq', '0rTV5WefWd1J3OwIheTzxM']
Ed Sheeran	Khalid	2	['70eFcWOvlMObDhURTqT4Fv', '4evmHXcjt3bTUHD1cvny97']
Avicii	Joe Janiak	2	['0HZgYFimoJG9Ijy8InUWcV', '7zGEU6BXl2c4TxpzIAr7BI']
Gen Hoshino	PUNPEE	2	['0LXJ38MncJmqqVdeUhDIZv', '1HU8n15qhw1py9JjLoHCaE']
Hikaru Utada	Skrillex	2	['7nHeBk3OsoBCLlQNpSxEgn', '0CALOqrkXAE7WB2nyIATLk']
Gen Hoshino	Superorganism	2	['0NZNtJar3qon6oVIR6XjIA', '3deGeTEWAMMPDMzKUFP39q']
Eminem	Logic	2	['0Lw6aQcBFWTQ9m4MSwwwes', '2MuMD298IpYqKF367wegUd']
Ariana Grande	Nicki Minaj	2	['44ONERBHALxftQNWq6dmyd', '7vJS1DPc3FzBtqBs8n3mW5']
Alan Walker	Farruko	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Alan Walker	Sabrina Carpenter	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Farruko	Sabrina Carpenter	2	['7KhHA3mzt7A3LFlOJEAKpI', '4n7jnSxVLd8QioibtTDBDq']
Fall Out Boy	Macklemore	2	['7Feaw9WAEREY0DUOSXJLOM', '40OMBMYRk5IQL6xCzGM0JA']
Fall Out Boy	Martin Garrix	2	['7Feaw9WAEREY0DUOSXJLOM', '40OMBMYRk5IQL6xCzGM0JA']
Macklemore	Martin Garrix	2	['7Feaw9WAEREY0DUOSXJLOM', '40OMBMYRk5IQL6xCzGM0JA']
Hiroji Miyamoto	Sheena Ringo	2	['1b8tkaZy5pnsrKj5ettPPf', '3UJIq4L2TI6vdKyW0ed0e4']
Ed Sheeran & Justin Bieber	Justin Bieber	2	['3HVWdVOQ0ZA45FuZGSfvns', '0hVXuCcriWRGvwMV1r5Yn9']
ILLENIUM	Lennon Stella	2	['63VyEdzMM3w4ZQ1WtARa2S', '6wo37KVqFJhtuxPTpLCcfe']
ILLENIUM	The Chainsmokers	2	['63VyEdzMM3w4ZQ1WtARa2S', '6wo37KVqFJhtuxPTpLCcfe']
Lennon Stella	The Chainsmokers	2	['63VyEdzMM3w4ZQ1WtARa2S', '6wo37KVqFJhtuxPTpLCcfe']
DJ Snake	J Balvin	2	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo']
DJ Snake	Tyga	2	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo']
J Balvin	Tyga	2	['6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo']
AFROJACK	J SOUL BROTHERS III	2	['6tcmYE9F8i2EHJEPDzu8s4', '7H5eSKwROILSMytfL05Nnr']
Avicii	Bonn	2	['6NVjujGb9fnl25fjzm5dTy', '3MhNgzZwFtUF6jSr6pRSkW']
Kehlani	Ty Dolla $ign	2	['6ZRuF2n1CQxyxxAAWsKJOy', '7e4KQkp5ZR1gXCAalRjX6B']
Jack & Jack	Jonas Blue	2	['3KLygy1YWhmrQx0GRs7IOx', '5ZSl6gDoV6bPPxzmLeneV9']
Camila Cabello	Shawn Mendes	2	['6v3KW9xbzN5yKLt9YKDYA2', '0TK2YIli7K1leLovkQiNik']
AURORA	Takako Matsu	2	['4QE3csw0rsqxoIQNoMUgsU', '2BMSr5Jk4U09LAZkDt1qXJ']
Chance the Rapper	DJ Khaled	2	['03nPEoQOYMuDe7KmGljpmd', '5WvAo7DNuPRmk4APhdPzi8']
Chance the Rapper	Justin Bieber	2	['03nPEoQOYMuDe7KmGljpmd', '5WvAo7DNuPRmk4APhdPzi8']
Chance the Rapper	Quavo	2	['03nPEoQOYMuDe7KmGljpmd', '5WvAo7DNuPRmk4APhdPzi8']
DJ Khaled	Justin Bieber	2	['03nPEoQOYMuDe7KmGljpmd', '5WvAo7DNuPRmk4APhdPzi8']
