artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
BTS	Coldplay	6	['6BeOJPXMstvXolxKbL09kR', '6nhc3daOpKaZBRj2ZFWfc7', '6Lgbf4b6c9fwz24eFEWONX', '3FeVmId7tL5YN8B7R3imoM', '46HNZY1i7O6jwTA7Slo2PI', '2sp32rIevQhpbo0Z4aQzoe']
KOONTA	YUMDDA	4	['4XI5Kdm1zdSFxdIGd9xUVT', '1qHYc2IqPbfu3tjm2qYpcq', '29bQQUKqMG4vTqUFxlaZCk', '1F5MRky5joGXiNlsfUdaXa']
GIRIBOY	lIlBOI	4	['2lHmx4nJOTGHx2PkEFMADF', '2fDv60k440Zif7SzI6jXUw', '07jOogwG0xr8UjtsxqdhPH', '7K31QxS2DmTBxdYldd8yqf']
Gaeko	Gwangil Jo	4	['4iMaBhUaR1xfkobeLEEQyx', '0lSEBny2a7deD0Yd8DNtVY', '2ERZ0YZSFysdePb3G7t0p4', '3ijq6sRH7PgRabMb83VvQO']
DPR IAN	DPR LIVE	4	['314oBdIvnoTPDwSP4zOP8p', '4lpvCG7eNzHAXwvMxWUNjz', '7xgHy510SVkSgV1ZpzElW1', '0sGuE1QPupKA3D0LyZbTaN']
TOIL	YUMDDA	3	['4igpk4uJAtzCyhhwOGRzTr', '6MVhgdbH0AKZlEef2dgJ92', '1F5MRky5joGXiNlsfUdaXa']
Drake	Young Thug	3	['4KDNRh9Oor80z3XIxdWlui', '0k1WUmIRnG3xU6fvvDVfRG', '6rTInqW3YECMkQsBEHw4sd']
Gunna	Young Stoner Life	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Gunna	Young Thug	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Young Stoner Life	Young Thug	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Bas	J. Cole	3	['0GAyuCo975IHGxxiLKDufB', '4n6NDfYake476trCjJRNl0', '5BwQjRasNcdRPuVWKcHto2']
BTS	Steve Aoki	3	['75scDPqGs75FotglJSoOI2', '48XfojJC87VKLlUotYV0Gm', '2J0X46UkpfLlWbuCXFgDLr']
