artist_1	artist_2	count	song_ids
J Balvin	Tyga	4	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1jlnBQGP2DtSEhMgQaz7a7', '1f38Gx6xQz6r4H1jGVNBJo']
Travis Scott	Young Thug	4	['7DcvwMAiqKJQD1rrdfxSDx', '6gi6y1xwmVszDWkUqab1qw', '3s4mrPrEFFPF0LmAfutW0n', '56AMYGJzxBO6p8v0wEe9de']
Post Malone	Swae Lee	4	['0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy', '7dbka99KTWke5o9hRp0JoB']
Billy Ray Cyrus	Lil Nas X	4	['6jmZlyf9DxcIoRrjw02YXm', '6u7jPi22kF8CTQ3rb9DHE7', '4O4HtthxTvVL1Z1PuDb7GX', '2YpeDb67231RjR0MgVLzsG']
Diplo	LSD	4	['3Y7a0typ6ik1KscmebXd6D', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n']
Diplo	Labrinth	4	['3Y7a0typ6ik1KscmebXd6D', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n']
Diplo	Sia	4	['3Y7a0typ6ik1KscmebXd6D', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n']
LSD	Labrinth	4	['3Y7a0typ6ik1KscmebXd6D', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n']
LSD	Sia	4	['3Y7a0typ6ik1KscmebXd6D', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n']
Labrinth	Sia	4	['3Y7a0typ6ik1KscmebXd6D', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n']
Post Malone	Travis Scott	4	['4Yq3XUNfWrAPWuB94qkC09', '5DiuFfnqqyWKat40eY8r8y', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Furytto	OG Version	3	['5v4WNxsrq1l48g1s3qpaVj', '23zICrdK2wvQZuEXpK3xlf', '5cSJHZ2IglZ5w0tmc8YplZ']
Goodboys	MEDUZA	3	['5p1ex0pXv6jSPJ6QbumQpD', '7CHi4DtfK4heMlQaudCuHK', '1DFD5Fotzgn6yYXkYsKiGs']
Europa	Jax Jones	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Europa	Madison Beer	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Europa	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Jax Jones	Madison Beer	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Jax Jones	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Madison Beer	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
JACKBOYS	Travis Scott	3	['4AO1XhrgJczQ9bNVxdfKQe', '6gi6y1xwmVszDWkUqab1qw', '40mjsnRjCpycdUw3xhS20g']
5 Seconds of Summer	The Chainsmokers	3	['11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN']
ILLENIUM	Lennon Stella	3	['63VyEdzMM3w4ZQ1WtARa2S', '3g0mEQx3NTanacLseoP0Gw', '6wo37KVqFJhtuxPTpLCcfe']
ILLENIUM	The Chainsmokers	3	['63VyEdzMM3w4ZQ1WtARa2S', '3g0mEQx3NTanacLseoP0Gw', '6wo37KVqFJhtuxPTpLCcfe']
Lennon Stella	The Chainsmokers	3	['63VyEdzMM3w4ZQ1WtARa2S', '3g0mEQx3NTanacLseoP0Gw', '6wo37KVqFJhtuxPTpLCcfe']
DJ Snake	J Balvin	3	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1f38Gx6xQz6r4H1jGVNBJo']
DJ Snake	Tyga	3	['6osaMSJh9NguagEDQcZaKx', '1fBXSMOusjaj7GjzErHmUI', '1f38Gx6xQz6r4H1jGVNBJo']
Travis Barker	YUNGBLUD	3	['4mGdjNMo0RonTlOEb7cYg4', '2gTdDMpNxIRFSiu7HutMCg', '6bWBLZLBRQEJ5KsLicouNB']
Aloe Blacc	Avicii	3	['6nDKrPlXdpomGBgAlO7UdP', '2x0RZdkZcD8QRI53XT4GI5', '0n2nEtLP3OzDdi12ziIekx']
Ozzy Osbourne	Post Malone	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Ozzy Osbourne	Travis Scott	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Ed Sheeran	Stormzy	3	['4QPEwDdOMhY7rNS05mTyMR', '07s9NNOT0sZQp7TyolLLgu', '1AI7UPw3fgwAFkvAlZWhE0']
Edmofo	FILV	3	['20YykEmSOky9e6SZAAuc1N', '4NdRZ1Okloij0LS7CIQLtu', '5x5jtuR4qWJzC6cDTgysez']
David Guetta	RAYE	2	['5dS2dvXVPe7AR6UwBpnomW', '4YhN72dRYL2Z3MsaKyT7rS']
Dynoro	Ina Wroldsen	2	['7p4tetW3qNwSCz92PLGJg5', '4rTZbEQtDtlZZW1Ag9Umbk']
Lil Baby	Meek Mill	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Lil Baby	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Meek Mill	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Chris Brown	Tyga	2	['4Q8aDd3H6LF8t4eY7So9O8', '1jlnBQGP2DtSEhMgQaz7a7']
Imanbek	SAINt JHN	2	['24Yi9hE78yPEbZ4kxyoXAI', '7mS2ZgalsI18LW6EnqFA0v']
Camila Cabello	Mark Ronson	2	['5Uw7Dut2lZfexn3Y09swpf', '1HpzOCZbNWzxvvXfSGtSrX']
Ed Sheeran	Yebba	2	['5ug4vqGZ3eisGhY1IsziNX', '0VsGaRXR5WAzpu51unJTis']
OG Version	Remis Retro	2	['5v4WNxsrq1l48g1s3qpaVj', '78N0MOtWDgGZGr3cgY8678']
J. Cole	Travis Scott	2	['7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
J. Cole	Young Thug	2	['7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Disclosure	Khalid	2	['6TqXcAFInzjp0bODyvrWEq', '0rTV5WefWd1J3OwIheTzxM']
Ed Sheeran	Khalid	2	['70eFcWOvlMObDhURTqT4Fv', '4evmHXcjt3bTUHD1cvny97']
Gunna	Lil Mosey	2	['5hDAT527wXWNBnJlujhuUs', '7iHHxY2NLlJRAmlAmC4ahQ']
Bas	Dreamville	2	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE']
Bas	JID	2	['5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE']
