artist_1	artist_2	count	song_ids
Big Baby Tape	kizaru	15	['6h2f5GrfpXo6eZCxUdzvF2', '2A6bj4o6EMJdCdXzcjMl72', '16AzcbKli3UQsxj491hJLQ', '5Pjmv35PxL2ByHadh1oRxN', '7vbXtUsr3lSZtBzwL6lpVg', '5Wr1F6BoB9BQ4wtlefGpK3', '0r9fpWPI6z3V3YZXIiVaNC', '4vvkdSOfuve7DBxsrVzVDP', '0h3jDrGXvkETn0xJRcZOJ9', '3U8JCs5aH9wLpQR08BuPJA', '4umjgYILQbHyV41ZmaemQm', '66jiJ5DX54pWNBL2Vt2859', '0VVa11kcXBGm99NgSiF8Rx', '53iGzPusAzNm0NaNrlWv8h', '5shMiLCYjeNGe1WKikPg6T']
Anderson .Paak	Bruno Mars	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '21afd9hCjpQ6lE5DPbcPHP', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Nora Bumbiere	Viktors Lapčenoks	6	['57AY0BRPvotDEmH1Kwt5IS', '5v6iZZfshtun3duyFIC1ov', '4IIwEJPzz7bJOTnvhvBFnf', '0wm9Ohli3sldaDRIRuzvTu', '25rLn2wBOb5pni0PeTh75o', '4qckh0OAI09cpMhgHC1XYi']
Nora Bumbiere	Raimonds Pauls	5	['57AY0BRPvotDEmH1Kwt5IS', '5v6iZZfshtun3duyFIC1ov', '4IIwEJPzz7bJOTnvhvBFnf', '0wm9Ohli3sldaDRIRuzvTu', '4qckh0OAI09cpMhgHC1XYi']
Raimonds Pauls	Viktors Lapčenoks	5	['57AY0BRPvotDEmH1Kwt5IS', '5v6iZZfshtun3duyFIC1ov', '4IIwEJPzz7bJOTnvhvBFnf', '0wm9Ohli3sldaDRIRuzvTu', '4qckh0OAI09cpMhgHC1XYi']
Young Stoner Life	Young Thug	4	['16eZmQoeajKH8G2nPe2chk', '6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Drake	Young Thug	3	['4KDNRh9Oor80z3XIxdWlui', '0k1WUmIRnG3xU6fvvDVfRG', '6rTInqW3YECMkQsBEHw4sd']
Gunna	Young Stoner Life	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
