artist_1	artist_2	count	song_ids
21 Savage	Metro Boomin	13	['3CDVMejYHnB1SkEEx0T1N4', '6pcywuOeGGWeOQzdUyti6k', '2y3mrzWEWaAFqb2jf5fED8', '3ruoIF2UnoXdzK8mR61ebq', '5SWnsxjhdcEDc7LJjq9UHk', '3WaDoMDQRqDdgtCDLxanpN', '7FtZFla3ZH6PqsAJ9MvVCM', '5UpXJ75CXod4PCoBQP6MAP', '50I7FNN2rl2rWiNwGxS146', '4Q34FP1AT7GEl9oLgNtiWj', '7fxSLnklnayJNBIKntXedZ', '4V9ynsDPwHtdItksqjuRu0', '42Tohunwlh34o0mgxYx5iq']
13 Organisé	Jul	7	['1JSSZf4TDUfVbXK8CQxRAB', '27TFzldNvbEHjUGhmPtwB3', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '717QGTmZdkemDaCo1vQHG0', '4664mS3Oui4LszStyITQm8', '6SI92k6CZQAgVf7fq1rSpx']
Jul	SCH	7	['6PqRRt5BCxO6tay5Nry0dj', '6atYbfU3m7CYTDe4LzQlUI', '27TFzldNvbEHjUGhmPtwB3', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '717QGTmZdkemDaCo1vQHG0', '4664mS3Oui4LszStyITQm8']
Gunna	NAV	5	['02kDW379Yfd5PzW5A6vuGt', '0bMyxvtbPa7HFemLjzw0xX', '7hxHWCCAIIxFLCzvDgnQHX', '0lSZh5W0wDeurkGzLYY6hf', '2DQNYMRjisN3KAPj1bEwOI']
Dadju	Soolking	5	['17BvA0r0bNPv4N1eddGyuJ', '0BD9boQC7jUTWkAoib4Z0d', '1p3pNSpRB88Dn6w0DQGQXr', '0RyGkLUzlkmu6EZadbOgZa', '3I7MRe6fdlZX3GQxSNT88k']
13 Organisé	SCH	5	['27TFzldNvbEHjUGhmPtwB3', '6YzQOngfcV0W9F8UOTnEEK', '205HNJ73cgpC0LAOnuQiWT', '717QGTmZdkemDaCo1vQHG0', '4664mS3Oui4LszStyITQm8']
Drake	Future	4	['1K5KBOgreBi5fkEHvg5ap3', '5fHrHoJKfCgBd35zwIBmUK', '7eYAHC0RbBF9eaqWzT34Aq', '5yY9lUy8nbvjM1Uyo1Uqoc']
Future	Lil Uzi Vert	4	['6lt8iodSkYWEV0ifKCSlfg', '0Tcw8w9pvPrZoORgxsNASW', '0k7wmahjkn389wAZdz19Cv', '021lWIHJrURZrmvYQ1xcM8']
Imanbek	SAINt JHN	4	['0zLCBJZSiELJf02ucPP9wb', '24Yi9hE78yPEbZ4kxyoXAI', '5f5tMrP3ZZbNtiLIHKOQLS', '2Wo6QQD1KMDWeFkkjLqwx5']
Black Eyed Peas	J. Rey Soul	4	['14wf185UxfNbSy8dwt4r4q', '04YutdH0j1INpsva3gOipt', '2g1ukx0VolwI31t8z5vprw', '24IgCW19L8lXKyFZwzFtD3']
Black Eyed Peas	Ozuna	4	['14wf185UxfNbSy8dwt4r4q', '04YutdH0j1INpsva3gOipt', '2g1ukx0VolwI31t8z5vprw', '24IgCW19L8lXKyFZwzFtD3']
J. Rey Soul	Ozuna	4	['14wf185UxfNbSy8dwt4r4q', '04YutdH0j1INpsva3gOipt', '2g1ukx0VolwI31t8z5vprw', '24IgCW19L8lXKyFZwzFtD3']
Ghali	Soolking	4	['1lCYu4NdsSIlGHTXNwIVLm', '0vweNYeRPON18eHikCdtkz', '5D9JF4DdfiW7k8RQ4hjGzN', '2npk3wuI2lrWk1tNSvRqW3']
