artist_1	artist_2	count	song_ids
Alfonso Herrera	Anahí	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Alfonso Herrera	Christian Chávez	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Alfonso Herrera	Christopher von Uckermann	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Alfonso Herrera	Dulce María	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Alfonso Herrera	Maite Perroni	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Alfonso Herrera	RBD	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Anahí	Christian Chávez	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Anahí	Christopher von Uckermann	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Anahí	Dulce María	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
Anahí	Maite Perroni	17	['3eo3Dw5OGSWCzJDVHLKE3v', '3hbTkJ0yFzHbawnKyhvTQj', '5Ya2WSoqPdAkmohiRZgZGl', '4ewlDzSnh67tWEFx24JXsI', '5sgvzXoYFCr5F5tUZdAA20', '3YxD0wSTC9vw2EXsSOmUsp', '3VlS9yWZ9WkzaePi8oobTj', '7FJThvbD5d8OIIbU9eNLGB', '56tOMi4N980gmsdUoyaLb3', '7F7qwp7VZRVwZsNoddRRgX', '1AO5MeGsWdPLejY47pnYYy', '48VQWZdgyvZPrrtKAtdJ9x', '0bMVCO35RJiUhAfvFsLjIF', '1tJ7QglWwgMg3XDG82ZMsF', '2RJ1fg4qf2vgZKifTa4HgA', '64mK5Yd0rdGeXVkMFspEyt', '6fqpsCQ7jF7OgQolXgYovX']
