artist_1	artist_2	count	song_ids
Architrackz	Bryan Mg	5	['1OUb1FFLPYSpquJHkb5SuP', '2mKxJJqMgnwqrCZCFPzJjg', '1kBg2zpHm5pM23sYbxmXWs', '0Y0z8dMyI3jlVI2UC4FRTE', '0r8hYvq4XVDzo7n1VcN8In']
Mula B	Trobi	4	['1kUX1zVg5apMvokHIaMJSz', '2H1Hw1WHpoaliGdCACb6Eh', '1JIBI7cFTKZM0CcIVqA3Nl', '2irOTITUdhJghCm8uDnCpJ']
Chavanté	Kleine John	3	['5IiaqXiJILzA4CWqVJFNcZ', '3mboQoSujndpLUz0eHdKgb', '0OSL7r6DK20SuN2jisulPE']
3robi	SRNO	3	['2OI3V0RB3XKibQugtUqsir', '67Uas8KwdCQ7IQmtxTfgGp', '32aVJVWHPTjwtn2adAxuUK']
Bizzey	Kraantje Pappie	3	['1wxQq2r5Pq5KYuhPJuQeMP', '26rVJH5zUQ7Yihz6c850Sn', '68qTD5PAoqFgrkw5W2DHL5']
Adje	Reverse	3	['3UstRmxcStzT34NEFsOWBn', '29J2GAoYSsLI8UXv6p3946', '044ugY4sHWY0WHBRTbdCgW']
Purple Disco Machine	Sophie and the Giants	3	['75UUG6x5zQe0gCVOiQpa6X', '5LibBRN1juZ7RiUR0e2Hax', '2FtRDJWPF7maGOzXSGZLev']
Henkie T	Yssi SB	3	['7ooHsw8tCsUZ3czfsVfOxJ', '5d1qKukuxjuPLZnpe3qzn2', '1RwzHr1ViMmmauoz3G2sWn']
Mula B	Qlas & Blacka	3	['1kUX1zVg5apMvokHIaMJSz', '2jZQa8XZrNHga3CDC3pRgU', '6mA1AvcDiLDL8HdoUNmpzN']
Labrinth	Zendaya	3	['76YSWx6L6FNsuaP6GWBb8P', '10hMM5nsZQf66ldBlgWBfG', '6LtHYDgYHRCHoKK3snfr2w']
Anderson .Paak	Bruno Mars	3	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Anderson .Paak	Silk Sonic	3	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Bruno Mars	Silk Sonic	3	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Kevin	Yade Lauren	3	['3WPORcLSNGsSUsIJejEFpJ', '275765DrtmWP29V5kVzU9g', '7ycHvwOPAwRd0aKQRFGhBy']
Colin Hay	Luude	3	['7AVyve7cFYTd51ha5i9kE2', '3Oww84xrmgjyr5J1ilOmAf', '53O5nAlq04RKmSBqW0SFvG']
Dopebwoy	SRNO	2	['43ZTCU7w4d9JUOCT7JSdm4', '67Uas8KwdCQ7IQmtxTfgGp']
Brysa	Cristian D	2	['5jHfomwwBzN6rD2ByERafC', '1YR7VB3xx85Iad2n3soyMb']
Encanto - Cast	Stephanie Beatriz	2	['4b1yxSdlumA8N4fEk4UOZp', '52xJxFP6TqMuO4Yt0eOkMz']
Future	Gunna	2	['3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Future	Young Thug	2	['3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Gunna	Young Thug	2	['3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Armin van Buuren	Davina Michelle	2	['4ppG3XawSqo2b0qpq4E3vb', '5cYOVkA2cnjKid9yigaMwq']
Ronnie Flex	Trobi	2	['47AUY6Kl6iiuSzZbOgwGF9', '7GCvBgDjYWtOIo2Yg2GfKs']
3robi	Ashafar	2	['112TLNXpIAMnBRUXHNtgsE', '7wMOBVvkbUB5qVTOF2r5cZ']
Ashafar	Mula B	2	['112TLNXpIAMnBRUXHNtgsE', '2VSE28jVbaBMhoEVg89Ti9']
Lil Kleine	Yssi SB	2	['6tDA5289CCJ4S4wiZPMLuN', '7kxUp5JrJKWg0bgxvunnI9']
Opgeblazen	Wilbert Pigmans	2	['0NKBmPjar0pPKi9sGMNS0b', '263LTQQjp6gLjxP2O7MFBD']
Ed Sheeran	Elton John	2	['3bH2Eu9A9ymI4UnGHRmoXg', '0aoUM0zcu0kCX7Cv7O939I']
JoeyAK	Lil Kleine	2	['52MVSHsKwzelfcrY4UOFXa', '50xUHMCmsbBOp6aaihNYyg']
Frenna	Kevin	2	['5JEE1m3eVgMz5EDauj9Iar', '5F469F5Dk2Zzm6BpP0OhVq']
Antoon	Big2	2	['3KC0g7hlWlTtEMPxJnWCbp', '2z43Tcnc82QqrOCHv5GG9J']
Idaly	Kevin	2	['5JEE1m3eVgMz5EDauj9Iar', '7ycHvwOPAwRd0aKQRFGhBy']
Jonna Fraser	Mula B	2	['4SL8IVMR0CdnUgZpceGb3m', '6vlft6G1G0TIOPBlLbv0L6']
Dr. Dre	Snoop Dogg	2	['503OTo2dSqe7qk76rgsbep', '4LwU4Vp6od3Sb08CsP99GC']
Donnie	Mart Hoogkamer	2	['5V2cXsvFE3VIQp5mYAi3Mn', '0RRTQ89tQcyQG2hf54N8fz']
Ed Sheeran	Fireboy DML	2	['79Q7nMKeJDtV8OlLEt16wy', '4hJhHbkhZFnxmWbAkZRoe0']
Lil Kleine	Ronnie Flex	2	['6tDA5289CCJ4S4wiZPMLuN', '7s7g2Ti4kXH6MsfskWxHKc']
Jack	MRD	2	['5hO0n4h0hM6A4j7lYd5eG8', '5yTBha7PYjWklIYL1u8zQl']
Arcane	Imagine Dragons	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
JID	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Adje	Crooks	2	['4V0W5q0LIfx4uSTJGbPXXZ', '6NjT38Rj4agFEaQuspRsUn']
Adje	Hef	2	['4V0W5q0LIfx4uSTJGbPXXZ', '6NjT38Rj4agFEaQuspRsUn']
Crooks	Hef	2	['4V0W5q0LIfx4uSTJGbPXXZ', '6NjT38Rj4agFEaQuspRsUn']
Dopebwoy	Mula B	2	['4jm59QMX5K19nQsPfnbSvL', '1PZoEdDb8tolHKSbR1Vox6']
Dopebwoy	Sevn Alias	2	['4jm59QMX5K19nQsPfnbSvL', '1PZoEdDb8tolHKSbR1Vox6']
Mula B	Sevn Alias	2	['4jm59QMX5K19nQsPfnbSvL', '1PZoEdDb8tolHKSbR1Vox6']
Antoon	Paul Sinha	1	['7b8wtFTtx1iKPpm6aI27Kf']
Rita Ora	Sam Feldt	1	['2Xy1UIVfOlukyye6Fd0wrI']
John Martin	Martin Garrix	1	['5UZA39t4lX42ApegVubl7f']
John Martin	Matisse & Sadko	1	['5UZA39t4lX42ApegVubl7f']
Martin Garrix	Matisse & Sadko	1	['5UZA39t4lX42ApegVubl7f']
3robi	Dopebwoy	1	['67Uas8KwdCQ7IQmtxTfgGp']
GLOWINTHEDARK	Philly Moré	1	['1QQQEsgRzhUirI0vdKDz66']
GLOWINTHEDARK	SFB	1	['1QQQEsgRzhUirI0vdKDz66']
Philly Moré	SFB	1	['1QQQEsgRzhUirI0vdKDz66']
Brysa	Woody	1	['3xfPNkeOD4cHfDV9ljGoYH']
A1 x J1	Tion Wayne	1	['7z5G2LOdV8okZn4yWg3q5g']
$hirak	Ashafar	1	['1YR7VB3xx85Iad2n3soyMb']
$hirak	Brysa	1	['1YR7VB3xx85Iad2n3soyMb']
$hirak	Cristian D	1	['1YR7VB3xx85Iad2n3soyMb']
Ashafar	Brysa	1	['1YR7VB3xx85Iad2n3soyMb']
Ashafar	Cristian D	1	['1YR7VB3xx85Iad2n3soyMb']
Machine Gun Kelly	WILLOW	1	['2AAyBZmMVZSZfgzXRYJOWQ']
Barry Fest	Tim Schalkx	1	['5CQoqXdZsczvoX7anShh1l']
Lil Wayne	The Weeknd	1	['5XbA7TAqsD0fj0dGBrbb0D']
Fred again..	The Blessed Madonna	1	['5Z8Dj3LtbyCMiwE86rhg2f']
Dua Lipa	Elton John	1	['7rglLriMNBPAyuJOMGwi39']
Dua Lipa	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Elton John	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Lil Baby	Nicki Minaj	1	['1PNs0uGru3TcrA94kpyGnc']
BTS	Coldplay	1	['46HNZY1i7O6jwTA7Slo2PI']
Encanto - Cast	Olga Merediz	1	['4b1yxSdlumA8N4fEk4UOZp']
Olga Merediz	Stephanie Beatriz	1	['4b1yxSdlumA8N4fEk4UOZp']
Adje	Cor	1	['044ugY4sHWY0WHBRTbdCgW']
Adje	Giniio	1	['044ugY4sHWY0WHBRTbdCgW']
Cor	Giniio	1	['044ugY4sHWY0WHBRTbdCgW']
Cor	Reverse	1	['044ugY4sHWY0WHBRTbdCgW']
Giniio	Reverse	1	['044ugY4sHWY0WHBRTbdCgW']
Adje	Henkie T	1	['29J2GAoYSsLI8UXv6p3946']
Henkie T	Reverse	1	['29J2GAoYSsLI8UXv6p3946']
DJ Maurice	Feestteam	1	['1q2jnM9hIlnQtqpuvLM02t']
Aya Nakamura	Damso	1	['5cqLFudVQryezmVFmmyRJN']
Nass	Sevn Alias	1	['57vhBFkl3cq9G0A0FjmslH']
Billie Eilish	Khalid	1	['0u2P5u6lvoDfwTYjAADbn4']
Camila Cabello	Ed Sheeran	1	['0QBzMgT7NIeoCYy3sJCof1']
Donnie	Rene Froger	1	['5fWyEc2ER2kselpeWQ6Yc7']
Bizzey	Kris Kross Amsterdam	1	['6716bTJI7qiHJFFSR0Ethe']
Bizzey	Maan	1	['6716bTJI7qiHJFFSR0Ethe']
Bizzey	Tabitha	1	['6716bTJI7qiHJFFSR0Ethe']
