artist_1	artist_2	count	song_ids
Kurt Nilsen	The Norwegian Radio Orchestra	14	['7cN3fDOvBnZMUlWmJvAEE3', '44PlwWxz3q10i2WrznihX4', '74yQRKUunP1sRjnnMks4SG', '0zCU35nRISaqZqlUXNEL5Z', '5Nsnr6aTiNzECvns3OFcFx', '514a6jNU8B1KS7QV387ZUU', '2ifg75WFpqvJouvoVaD354', '0WFyQgDzbQCfJuxcHW4Zrt', '4XDOmQvj2lPwDL3JsKQVR1', '3xc0iWshHea154QVHGPeie', '7o9vEeQTc1UEnizHDvkluA', '5WEFnS38UuTJzEPsGiYGMS', '3RRkd1ShkedrtLq8F5XqbT', '2KKXOhM6ZvffZIUJaI8UXB']
Rae Sremmurd	Slim Jxmmi	7	['3qKCDFZp192KBEEtFj7fDa', '6sTDhYVVXU3HSDuG7mBLRU', '1oUudyBYVGMIC8JXeIsFzq', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '20NeQXq8WWCG89ul5nH4BP', '2yUbCEiaolfSMluDo9RMmG']
Rae Sremmurd	Swae Lee	7	['3qKCDFZp192KBEEtFj7fDa', '6sTDhYVVXU3HSDuG7mBLRU', '1oUudyBYVGMIC8JXeIsFzq', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '20NeQXq8WWCG89ul5nH4BP', '2yUbCEiaolfSMluDo9RMmG']
Slim Jxmmi	Swae Lee	7	['3qKCDFZp192KBEEtFj7fDa', '6sTDhYVVXU3HSDuG7mBLRU', '1oUudyBYVGMIC8JXeIsFzq', '0TCnOEVeLQMXOUrpPlM7uY', '1BuZAIO8WZpavWVbbq3Lci', '20NeQXq8WWCG89ul5nH4BP', '2yUbCEiaolfSMluDo9RMmG']
TIX	The Pøssy Project	6	['594Id4J7VH4nVIfI1FwhP9', '3ehVhqVi2j9KmhangvyXhB', '35lahxVWAM1ai1rdbVqNZ4', '11Dlt6sDHcasE0o0oZWRkH', '0LOum2JR3gvhN9zljcGVWO', '53KAs4kkiOWu5Ac5xdo43T']
Diplo	LSD	5	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Labrinth	5	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Sia	5	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Labrinth	5	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Sia	5	['7boPPE857KEqCIHNwFkDop', '2c7GlMNmF7pbohjykutmLP', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
