artist_1	artist_2	count	song_ids
Post Malone	Travis Scott	5	['4Yq3XUNfWrAPWuB94qkC09', '5DiuFfnqqyWKat40eY8r8y', '0b6UoVjUzFyZNpHI0aAhKt', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Travis Scott	Young Thug	4	['7DcvwMAiqKJQD1rrdfxSDx', '6gi6y1xwmVszDWkUqab1qw', '3s4mrPrEFFPF0LmAfutW0n', '56AMYGJzxBO6p8v0wEe9de']
Drax Project	SIX60	4	['02VHspkXhhH1QCInRWWIfr', '2sO1WqZKUE1Hg207pQhkp2', '0gCNs3jCCDhObAK0MRghtv', '1XjGTjNFFQQUn1rUHHBGRm']
Dreamville	JID	4	['2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d', '36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
5 Seconds of Summer	The Chainsmokers	4	['11cDEev79fPKi6uJCjUhu8', '7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN', '5rAtoPMDrOFN5wLdM6YmRx']
Post Malone	Swae Lee	4	['0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy', '7dbka99KTWke5o9hRp0JoB']
Billy Ray Cyrus	Lil Nas X	4	['6jmZlyf9DxcIoRrjw02YXm', '6u7jPi22kF8CTQ3rb9DHE7', '4O4HtthxTvVL1Z1PuDb7GX', '2YpeDb67231RjR0MgVLzsG']
Offset	Tyga	3	['5IaHrVsrferBYDm0bDyABy', '2toVe5hfuIi97ytDPDbQFt', '0jAfdqv18goRTUxm3ilRjb']
Chris Brown	Tyga	3	['1rYC34UUszS0QzzECNRhYb', '4Q8aDd3H6LF8t4eY7So9O8', '1jlnBQGP2DtSEhMgQaz7a7']
J Balvin	Tyga	3	['1rYC34UUszS0QzzECNRhYb', '6osaMSJh9NguagEDQcZaKx', '1jlnBQGP2DtSEhMgQaz7a7']
Goodboys	MEDUZA	3	['5p1ex0pXv6jSPJ6QbumQpD', '7CHi4DtfK4heMlQaudCuHK', '1DFD5Fotzgn6yYXkYsKiGs']
Bas	Dreamville	3	['5WnfnSpuNEGXyEt78PBA6d', '36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Bas	JID	3	['5WnfnSpuNEGXyEt78PBA6d', '36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Dreamville	EARTHGANG	3	['2gtFMLjQpCTGekMi4oXZxN', '36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Dreamville	J. Cole	3	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE', '6MF4tRr5lU8qok8IKaFOBE']
EARTHGANG	JID	3	['2gtFMLjQpCTGekMi4oXZxN', '36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Drax Project	Hailee Steinfeld	3	['4oPWkP9zQ5ANBbfdHGOvKF', '3k8YdriWQss396m6Q6rTzV', '3qLBz3j26AHO2jBYUQWLA6']
Eminem	Logic	3	['0Lw6aQcBFWTQ9m4MSwwwes', '7M2tXmeS15NAzEn7ABFeBg', '2MuMD298IpYqKF367wegUd']
JACKBOYS	Travis Scott	3	['4AO1XhrgJczQ9bNVxdfKQe', '6gi6y1xwmVszDWkUqab1qw', '40mjsnRjCpycdUw3xhS20g']
Travis Barker	YUNGBLUD	3	['4mGdjNMo0RonTlOEb7cYg4', '2gTdDMpNxIRFSiu7HutMCg', '6bWBLZLBRQEJ5KsLicouNB']
Juice WRLD	Lil Tecca	3	['2WsuSYJNXGKXVYkHPnq2yp', '0DZJACISivjWjscIp5Kg1q', '5DSfqrLkUHLZ9bW0SS3rVy']
Bebe Rexha	The Chainsmokers	3	['6IJTc8xo6XasOU8fpxMU57', '05CwHjIk71RXVU40boRMnR', '1SNiXDwSilLujcYdvfqVpT']
Aloe Blacc	Avicii	3	['6nDKrPlXdpomGBgAlO7UdP', '2x0RZdkZcD8QRI53XT4GI5', '0n2nEtLP3OzDdi12ziIekx']
Trippie Redd	XXXTENTACION	3	['03eJ2DclFWXYU8GWgANdmZ', '69dXVFCMiz3SL1L7M24NdX', '7AQim7LbvFVZJE3O8TYgf2']
Ozzy Osbourne	Post Malone	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Ozzy Osbourne	Travis Scott	3	['4Yq3XUNfWrAPWuB94qkC09', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Ed Sheeran	Stormzy	3	['4QPEwDdOMhY7rNS05mTyMR', '07s9NNOT0sZQp7TyolLLgu', '1AI7UPw3fgwAFkvAlZWhE0']
Brendon Urie	Taylor Swift	3	['4Sib57MmYGJzSvkW84jTwh', '2Rk4JlNc2TPmZe2af99d45', '4MsUsFfWseB9M2plGJyuIw']
Lil Baby	Meek Mill	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Lil Baby	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Meek Mill	Post Malone	2	['0hGH0S74Eoyv6mXZcOKtdQ', '12Fkyg9lpmaz2zmKOfw2Y2']
Chris Brown	J Balvin	2	['1rYC34UUszS0QzzECNRhYb', '1jlnBQGP2DtSEhMgQaz7a7']
Camila Cabello	Mark Ronson	2	['5Uw7Dut2lZfexn3Y09swpf', '1HpzOCZbNWzxvvXfSGtSrX']
Ed Sheeran	Yebba	2	['5ug4vqGZ3eisGhY1IsziNX', '0VsGaRXR5WAzpu51unJTis']
J. Cole	Travis Scott	2	['7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
J. Cole	Young Thug	2	['7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Doja Cat	Tyga	2	['7f5trao56t7sB7f14QDTmp', '7qvsl2pYzrsYgPeFBN5jxp']
Disclosure	Khalid	2	['6TqXcAFInzjp0bODyvrWEq', '0rTV5WefWd1J3OwIheTzxM']
Ed Sheeran	Khalid	2	['70eFcWOvlMObDhURTqT4Fv', '4evmHXcjt3bTUHD1cvny97']
Gunna	Lil Mosey	2	['5hDAT527wXWNBnJlujhuUs', '7iHHxY2NLlJRAmlAmC4ahQ']
Bas	EARTHGANG	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Bas	J. Cole	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Bas	Young Nudy	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Dreamville	Young Nudy	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
EARTHGANG	J. Cole	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
EARTHGANG	Young Nudy	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
J. Cole	JID	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
J. Cole	Young Nudy	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
JID	Young Nudy	2	['36J0iaPDGbYGsHvYpaYs3k', '4eqrNsKy9Mvg1fvfsTVIAE']
Ed Sheeran	Eminem	2	['0AtP8EkGPn6SwxKDaUuXec', '1cS0TgbR263ey9jn0MwD2s']
Buddy	Dreamville	2	['2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d']
Buddy	Guapdad 4000	2	['2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d']
Buddy	JID	2	['2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d']
Dreamville	Guapdad 4000	2	['2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d']
Guapdad 4000	JID	2	['2gtFMLjQpCTGekMi4oXZxN', '5WnfnSpuNEGXyEt78PBA6d']
