artist_1	artist_2	count	song_ids
Dalex	Sech	22	['0GrGfs8ldZRWOrksG5uraH', '224EVTFiLsdQignUFLvDeH', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '4D20alJpwRnEN4XO6h3nDo', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '0RDgqtvOHLwcI6yz9bjsZV', '1kJMKvx1vAK7xt8vjO7Kym', '3DJHqEPwg9F8DUOvc3iRAi', '34ZngZgo8xicbt1EE8Ob8Z', '6ycsFSUUgyOSZiz3P2o1pT', '0wMs7DPFOnToNAoecvAFQc', '29ShXDWDedEwZkYc8Du08N', '7fODjB7BrQTGqh0hogW6XD', '0UfVfRSmy4xMyi67LKH5zZ', '7g8YaUQABMal0zWe7a2ijz', '1csGDtYYiqJmQi2E8ZYl6O', '6KeweE0BlXx3AtjMKhBLaz', '3jUBszAaGpZq2Nw12j6bVR', '3PYvLYdjqxpyDLtsNNvWBY']
Justin Quiles	Sech	20	['0GrGfs8ldZRWOrksG5uraH', '2EH0nzeRDSiYpjqBfHnX9r', '4AjWbAwRpxk2worpjNH5CS', '6XSzJ3PyaVHjyTuFvnCLlE', '5FptA2XD8XJSC7nepL7OL5', '3tRtlS9YUyYqVgqO3iM4bW', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '1ndlOUUT3Eq1SDCSdKJASw', '0RDgqtvOHLwcI6yz9bjsZV', '34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '29ShXDWDedEwZkYc8Du08N', '7fODjB7BrQTGqh0hogW6XD', '0UfVfRSmy4xMyi67LKH5zZ', '1csGDtYYiqJmQi2E8ZYl6O', '5O3cRP4ZHC9vvVIHtET1f0', '6KeweE0BlXx3AtjMKhBLaz', '3jUBszAaGpZq2Nw12j6bVR']
Dalex	Justin Quiles	19	['0GrGfs8ldZRWOrksG5uraH', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '1ndyl3wJCFs872XZ3ztPk6', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '1Xnn1TPyr5h0hpRAT4B4EA', '0RDgqtvOHLwcI6yz9bjsZV', '34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '29ShXDWDedEwZkYc8Du08N', '7fODjB7BrQTGqh0hogW6XD', '5yx43rnqectCMLHDdNgyyB', '0UfVfRSmy4xMyi67LKH5zZ', '1csGDtYYiqJmQi2E8ZYl6O', '3FdkRNFRVrgd9rkFUDni3y', '6KeweE0BlXx3AtjMKhBLaz', '3jUBszAaGpZq2Nw12j6bVR']
Dalex	Lenny Tavárez	18	['34ZngZgo8xicbt1EE8Ob8Z', '6ycsFSUUgyOSZiz3P2o1pT', '7g8YaUQABMal0zWe7a2ijz', '0wMs7DPFOnToNAoecvAFQc', '1k1CJlU1eAEpAbNK0TVeKD', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '1Xnn1TPyr5h0hpRAT4B4EA', '224EVTFiLsdQignUFLvDeH', '5stPVcRqb4qixbafP9e8lt', '1tpbAGsGpZee5jDHMcLrUJ', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '1ndyl3wJCFs872XZ3ztPk6']
Héctor Lavoe	Willie Colón	15	['3w2NXpfIABaenNaEFKkhmW', '59ILWnG12lyWshVrurk6NO', '4LSLKExbKNdmMSmHz4KLRB', '4b6c7ugOlWaVBUmCElgImW', '5O2Id1rWAmR9ff9kGUfikf', '0LdlVrH3R9PCfaVNNVANgl', '0GW8mFpSba1Z1DRzWNyqEg', '2BXbgcJD9EUftFD5ToSe44', '1uohFd173KrmJiDjiOooLw', '1HlO4DFYEesGsU1ozG7jxX', '101Q3ixoTRBwkQqxISFzr8', '4jVvb8z7CZtparNSac4pwC', '79T28RdVifGfHSaU5k4QBP', '3jOl0qRSfT1KkMd4pPLmeS', '0lDcmhE4VMmKdX5kvxoHhv']
Héctor Lavoe	Yomo Toro	15	['3w2NXpfIABaenNaEFKkhmW', '59ILWnG12lyWshVrurk6NO', '4LSLKExbKNdmMSmHz4KLRB', '5O2Id1rWAmR9ff9kGUfikf', '0LdlVrH3R9PCfaVNNVANgl', '0GW8mFpSba1Z1DRzWNyqEg', '5awV8aOKQfEXg8Qoe9ubJ4', '2BXbgcJD9EUftFD5ToSe44', '1uohFd173KrmJiDjiOooLw', '1HlO4DFYEesGsU1ozG7jxX', '101Q3ixoTRBwkQqxISFzr8', '4jVvb8z7CZtparNSac4pwC', '79T28RdVifGfHSaU5k4QBP', '3jOl0qRSfT1KkMd4pPLmeS', '0lDcmhE4VMmKdX5kvxoHhv']
Feid	Sech	14	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '3pAwh9JxSJxWyUy3BUBPb4', '224EVTFiLsdQignUFLvDeH', '7IpRYJ71dk98P0SmgnNLYh', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV', '0UfVfRSmy4xMyi67LKH5zZ']
Lenny Tavárez	Sech	14	['34ZngZgo8xicbt1EE8Ob8Z', '6ycsFSUUgyOSZiz3P2o1pT', '7g8YaUQABMal0zWe7a2ijz', '0wMs7DPFOnToNAoecvAFQc', '1k1CJlU1eAEpAbNK0TVeKD', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '224EVTFiLsdQignUFLvDeH', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD']
Willie Colón	Yomo Toro	14	['3w2NXpfIABaenNaEFKkhmW', '59ILWnG12lyWshVrurk6NO', '4LSLKExbKNdmMSmHz4KLRB', '5O2Id1rWAmR9ff9kGUfikf', '0LdlVrH3R9PCfaVNNVANgl', '0GW8mFpSba1Z1DRzWNyqEg', '2BXbgcJD9EUftFD5ToSe44', '1uohFd173KrmJiDjiOooLw', '1HlO4DFYEesGsU1ozG7jxX', '101Q3ixoTRBwkQqxISFzr8', '4jVvb8z7CZtparNSac4pwC', '79T28RdVifGfHSaU5k4QBP', '3jOl0qRSfT1KkMd4pPLmeS', '0lDcmhE4VMmKdX5kvxoHhv']
Dalex	Feid	13	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '04x4Urpge2kG9uDGdHRsdc', '224EVTFiLsdQignUFLvDeH', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV', '0UfVfRSmy4xMyi67LKH5zZ']
Justin Quiles	Lenny Tavárez	13	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '1Xnn1TPyr5h0hpRAT4B4EA', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV', '7fODjB7BrQTGqh0hogW6XD', '1ndyl3wJCFs872XZ3ztPk6']
Bad Bunny	J Balvin	12	['25ZAibhr3bdlMCLmubZDVt', '7knLcYCOSaURD0d7HUULFM', '0fea68AdmYNygeTGI4RC18', '7rknFhrVDyxzTJkPSf7LoW', '71pEiUWwfDFiRO6RmFpnBf', '7hynhxDoDpgMIV12JuVtNa', '5hcisvFMidkMJlElTO9Qmw', '4R8BJggjosTswLxtkw8V7P', '7alOsNr36sJ8CyOEP4aILq', '58q2HKrzhC3ozto2nDdN4z', '6SYSu569pfYdkDT9A5lZqi', '0uIfrUwwg0Z7KTitul7E3T']
Feid	Lenny Tavárez	12	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '7g8YaUQABMal0zWe7a2ijz', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '224EVTFiLsdQignUFLvDeH', '5MPQfbK3LIOyPT84WJyD7g', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV']
Anuel AA	Ozuna	11	['3jbT1Y5MoPwEIpZndDDwVq', '6NPjHwhEG7eQUQBoPFBrnz', '37zdqI4r1gswIzczSBkRon', '59PYgzOiOjGDzjDT5N5oOX', '7mWFF4gPADjTQjC97CgFVt', '2f237byd0A2w0fLlnVDOV4', '7LeQ55Z5jPBB0ggYJtAiYO', '5P8TXlZCMwru6DaMsIbbO3', '3cg9A9GVyZAT2CPevqWr65', '2ksOAxtIxY8yElEWw8RhgK', '4bTZeO72FwMa6wKOiqoynL']
Feid	Justin Quiles	10	['34ZngZgo8xicbt1EE8Ob8Z', '0wMs7DPFOnToNAoecvAFQc', '5Id5B3dxJZhPcV9GzgYZZe', '7anSoGdgtmJTAPZBzcPhO6', '29ShXDWDedEwZkYc8Du08N', '6KeweE0BlXx3AtjMKhBLaz', '4AjWbAwRpxk2worpjNH5CS', '5FptA2XD8XJSC7nepL7OL5', '0RDgqtvOHLwcI6yz9bjsZV', '0UfVfRSmy4xMyi67LKH5zZ']
Dímelo Flow	Sech	9	['1csGDtYYiqJmQi2E8ZYl6O', '3tRtlS9YUyYqVgqO3iM4bW', '4AjWbAwRpxk2worpjNH5CS', '6XSzJ3PyaVHjyTuFvnCLlE', '7sQKy5vlPQllr0k9IjYJv3', '684EjRHwNsZQ9hCQxL4NYL', '1ndlOUUT3Eq1SDCSdKJASw', '1kJMKvx1vAK7xt8vjO7Kym', '0UfVfRSmy4xMyi67LKH5zZ']
Nicky Jam	Sech	9	['1k1CJlU1eAEpAbNK0TVeKD', '7anSoGdgtmJTAPZBzcPhO6', '3KekO5WUfJsh7kYU9o2w50', '3dWpRjCmaHbroNahuSeX11', '5QXQy0f2q8wJNpPwJtjifx', '684EjRHwNsZQ9hCQxL4NYL', '26Qhn2T88XqVinXQpmSarj', '7fODjB7BrQTGqh0hogW6XD', '4bTZeO72FwMa6wKOiqoynL']
Farruko	Sech	9	['6Bc48Fgqgb6j4K6JdkZTNk', '1k1CJlU1eAEpAbNK0TVeKD', '3dWpRjCmaHbroNahuSeX11', '0tJCo71s7HT9Mu5Z4juuLw', '684EjRHwNsZQ9hCQxL4NYL', '7fODjB7BrQTGqh0hogW6XD', '6QZFwYqa4e2wwFWehnRyC7', '6pNjmMB8FTMEcqGSgs7Mji', '6K5BsR04ijf3FHNzjbaagD']
