artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '4iN16F8JtVxG2UTzp3avGl', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Anderson .Paak	Silk Sonic	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '4iN16F8JtVxG2UTzp3avGl', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Bruno Mars	Silk Sonic	6	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '4iN16F8JtVxG2UTzp3avGl', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
BTS	Coldplay	5	['6BeOJPXMstvXolxKbL09kR', '6nhc3daOpKaZBRj2ZFWfc7', '3FeVmId7tL5YN8B7R3imoM', '46HNZY1i7O6jwTA7Slo2PI', '2sp32rIevQhpbo0Z4aQzoe']
Ariana Grande	Doja Cat	4	['3jjBPF4NDMCU51psU8JPpR', '5GkQIP5mWPi4KZLLXeuFTT', '0FFsgUoFibYISzMxuGS61W', '2sQH02O2HBCPJCztBrCWNa']
Ed Sheeran	Taylor Swift	4	['3Z1kZKYfRC8iRXnYeC5sCJ', '7qEUFOVcxRI19tbT68JcYK', '5uQQcvcXoCwKPK5sYvarzO', '4IQkfUsrwXol38VV3U7t7T']
Ben&Ben	Moira Dela Torre	4	['3HQirj18HMpG93YJBHGBl1', '6D9DwqiHiMKmy2V7HvN6zs', '7n7mTiptQT1iNa7rMhcZS8', '2JEPz4bH3WNCvjz9rmZrpZ']
Justin Bieber	The Kid LAROI	3	['5HCyWlXZPP0y6Gqq8TgA20', '5PjdY0CKGZdEuoNab3yDmX', '137mSruegm1u6x9NvwiagR']
Skusta Clee	Yuridope	3	['7bUvgvAf0tdQIty95lV5wf', '2tzAN1L07SNwnOdgOEeuQr', '34ob61cxp34Sf7KHK6RnSU']
24kGoldn	iann dior	3	['3tjFYV6RSFtuktYl3ZtYcq', '4jPy3l0RUwlUI9T5XHBW2m', '6FuGJB290AQMAHTfjOYVaK']
Anne-Marie	Niall Horan	2	['3fGW43fnu3OHEw6ohTC2Bw', '5zqObw7wjBgL9TDiAymxPn']
Justin Bieber	benny blanco	2	['4y4spB9m0Q6026KfkAvy9Q', '3S8jK1mGzQi24ilFb45DAZ']
Justin Bieber	Khalid	2	['4MmMxyew8yq1OEyJOMaX6M', '6F2r4HgpJnvKDmkN6JEN6J']
