artist_1	artist_2	count	song_ids
Kubi Producent	Szpaku	22	['0iS8bBtu4VbhMVvTsMvTiO', '04VF7AgF5f5LR4TBAvGqB7', '2ziEFRuOLlXxoNGSry8fIj', '3Kppsx7GQ22Hh6SfDLzNO2', '7hGQfDqQlq4pmnyKmL7siL', '0SXsb89peccucuuu4LqKeU', '3WowObQHBMRKyXH2H5ZzMu', '1uRLQ9s79UCeo1rWd7gsnW', '1hIau29cDXz6OV8AR2Kyhu', '3lnTIzkIy9eNqCco54Aq5Y', '4XzaPSKLnPi9EXXIP3IbWs', '2W6iqyl0jSI48ByWAEl1vr', '4zxAXYHUVvD53ngGoi49tJ', '4jCBTqp4F1KVjSo8rHC6pp', '3NKBHNnJaiSVMxsQBV5j6Z', '1VKcBxn9HKaSiZVKiiCvAd', '66K8qooiMtrqctlqMQbyGG', '0KRhlsTXIRCjowX3YAjNJU', '0Oe4V7zwXzMNcSmxGkD9qK', '1ckp9RPOY7dQxOJApAsSfL', '74vewdXo5RotOhKrbGRzDl', '15jdGVFP05yosJLbvUl3rn']
Bedoes 2115	Lanek	21	['3SnV55mMDNkle39jFNN5EM', '0XthAWvbDoOunjDceV6Jq2', '0biUEKHyKAPBDLcrjCUFsu', '1mfazOfZxyvYkOBZuScPB5', '7BF6s1W1W9filnjQkNYasL', '6XiX230Sb81VsZFzGU1Nci', '55sNf76dIok3ddZtFiNaaf', '3YCmIFLTUyWKbaXjV9yplM', '1yCMDljhVOb6izmWrPzsuJ', '5lLRmQKfAnvK5PT9gEulEQ', '1yRJCmwQVNX3z5jsw5mlKy', '3RoCvuEMi9WDhBlFCPovSy', '3qpjYSbwUgWeNzTMBwPNLZ', '2dvxMlIfGY90Wvw8OSgZoF', '6STE4z6PBDVmCsIHejY66L', '5uLxT9Ncm4nVMkjPFzySQl', '62KUEEgtF20ixfewugk7IC', '3kWxHkGNqsToeOpCHZvkwk', '4jqHtI3d5OxwCtdppsAGyn', '12NVUrtVmL9B0gQ59mlOor', '7MofD4vBjGxeBLN3NNAAk0']
Mata	SB Maffija	18	['0vF7lhodVL9PA4DAR1Byxm', '1V4d5picpLwrspSjLrhiNY', '0Lc2G3LWtjnzl4NbKAtBoo', '64is5Z8PjSjDeAgWqYq6Wz', '6FDYlIymLhdkTvoWXNCl2G', '5F5Efj7wLHmc4flAAT5VMQ', '13UorE0BauUBREWFJNmnYR', '2fuA2bAFbVidQUdCiLjuG7', '5WsVUhr7xtH2FxRLwEVwXw', '6ZYdXnVx5CNLja0ikYjVT2', '0zCRgUgbdPY8GReA4mi7T8', '7mPswbVlmhVoLsAligGviA', '0QBeOBoQVQ4oeNsCDo7KlR', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '1EXxPmxmFZyFlY6ogfuj1n', '0GeA2bqyy2bsQLPcZ5nhMh', '7fc5oezEajWhw23owAuW2i']
SB Maffija	White 2115	18	['0vF7lhodVL9PA4DAR1Byxm', '0Lc2G3LWtjnzl4NbKAtBoo', '64is5Z8PjSjDeAgWqYq6Wz', '7a1ea1HPcFe3qcTFrRpSAj', '3Zqp5E6iyeaaTeTkqOXtxZ', '6FDYlIymLhdkTvoWXNCl2G', '6gTYgqBmaMNRvCGsW3tUcY', '2fuA2bAFbVidQUdCiLjuG7', '3RoCvuEMi9WDhBlFCPovSy', '6ZYdXnVx5CNLja0ikYjVT2', '0zCRgUgbdPY8GReA4mi7T8', '7ki8ooqJM5zV39pBe9qlp4', '0QBeOBoQVQ4oeNsCDo7KlR', '68nHGH9APaTN8dFR4LahYY', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '1EXxPmxmFZyFlY6ogfuj1n', '0GeA2bqyy2bsQLPcZ5nhMh']
Białas	Lanek	17	['5Yz8rIkM6nymbUpLh9ubP3', '1Kk6nWI79kY4ToPNgKp8Mq', '6QZQHjiBdF9i48dpJ6luX8', '62KUEEgtF20ixfewugk7IC', '5hkiKf4AAUm2Z64MWA7DYb', '6WJ4ycgaqtflnPYORvpXSW', '4CUbuahYsAibLvZyCRgpAK', '12BEPvDx2UnQpy6Sbsn0E9', '3TpeJmZDDMLBcnMGRQuSA4', '2kYgryHD0pSjhorV2DOdxc', '5dPdfxu1pQNqyoJ0J7do1N', '78baGrCSr1PI6N18I0oFVJ', '7n7QAwwFJG7jOjxgACW1XC', '0GeA2bqyy2bsQLPcZ5nhMh', '1yCMDljhVOb6izmWrPzsuJ', '7FPli8K7a5ejcYlPFHCpXb', '12JG1pEdCHsCl9q8SvDRhg']
Białas	SB Maffija	17	['7a1ea1HPcFe3qcTFrRpSAj', '64is5Z8PjSjDeAgWqYq6Wz', '13UorE0BauUBREWFJNmnYR', '5F5Efj7wLHmc4flAAT5VMQ', '3ivlGbUo7LUuoH0IY6nUjl', '68nHGH9APaTN8dFR4LahYY', '6WJ4ycgaqtflnPYORvpXSW', '0zCRgUgbdPY8GReA4mi7T8', '5bsfEKd1NRYLQlsz5JfIzu', '0G90VIISb0cjnZNjZarMub', '5dPdfxu1pQNqyoJ0J7do1N', '78baGrCSr1PI6N18I0oFVJ', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '0GeA2bqyy2bsQLPcZ5nhMh', '7fc5oezEajWhw23owAuW2i', '7FPli8K7a5ejcYlPFHCpXb']
Adi Nowak	SB Maffija	16	['34uNDbRhzGoktpPyUGkEjY', '0Lc2G3LWtjnzl4NbKAtBoo', '64is5Z8PjSjDeAgWqYq6Wz', '6FDYlIymLhdkTvoWXNCl2G', '0vF7lhodVL9PA4DAR1Byxm', '5F5Efj7wLHmc4flAAT5VMQ', '13UorE0BauUBREWFJNmnYR', '2fuA2bAFbVidQUdCiLjuG7', '6ZYdXnVx5CNLja0ikYjVT2', '0zCRgUgbdPY8GReA4mi7T8', '0QBeOBoQVQ4oeNsCDo7KlR', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '0GeA2bqyy2bsQLPcZ5nhMh', '7fc5oezEajWhw23owAuW2i', '1wjZO48Vz6LPyXtWvAt9Wl']
Janusz Walczuk	SB Maffija	16	['34uNDbRhzGoktpPyUGkEjY', '0Lc2G3LWtjnzl4NbKAtBoo', '64is5Z8PjSjDeAgWqYq6Wz', '6FDYlIymLhdkTvoWXNCl2G', '5F5Efj7wLHmc4flAAT5VMQ', '2fuA2bAFbVidQUdCiLjuG7', '5WsVUhr7xtH2FxRLwEVwXw', '6ZYdXnVx5CNLja0ikYjVT2', '0zCRgUgbdPY8GReA4mi7T8', '0QBeOBoQVQ4oeNsCDo7KlR', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '1EXxPmxmFZyFlY6ogfuj1n', '0vF7lhodVL9PA4DAR1Byxm', '7fc5oezEajWhw23owAuW2i', '1wjZO48Vz6LPyXtWvAt9Wl']
Bedoes 2115	SB Maffija	16	['7a1ea1HPcFe3qcTFrRpSAj', '64is5Z8PjSjDeAgWqYq6Wz', '6FDYlIymLhdkTvoWXNCl2G', '3Zqp5E6iyeaaTeTkqOXtxZ', '3ivlGbUo7LUuoH0IY6nUjl', '6gTYgqBmaMNRvCGsW3tUcY', '3RoCvuEMi9WDhBlFCPovSy', '6ZYdXnVx5CNLja0ikYjVT2', '0zCRgUgbdPY8GReA4mi7T8', '5bsfEKd1NRYLQlsz5JfIzu', '0G90VIISb0cjnZNjZarMub', '0QBeOBoQVQ4oeNsCDo7KlR', '68nHGH9APaTN8dFR4LahYY', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '364Pbl3fi8SW9pamq6dW1N']
Beteo	SB Maffija	15	['0vF7lhodVL9PA4DAR1Byxm', '0Lc2G3LWtjnzl4NbKAtBoo', '64is5Z8PjSjDeAgWqYq6Wz', '13UorE0BauUBREWFJNmnYR', '5F5Efj7wLHmc4flAAT5VMQ', '2fuA2bAFbVidQUdCiLjuG7', '6WJ4ycgaqtflnPYORvpXSW', '0zCRgUgbdPY8GReA4mi7T8', '78baGrCSr1PI6N18I0oFVJ', '4eacJqIi3XMbHWPoWdcSKe', '45usm4EhTn4gf5F9XlGiTo', '1EXxPmxmFZyFlY6ogfuj1n', '0GeA2bqyy2bsQLPcZ5nhMh', '7fc5oezEajWhw23owAuW2i', '7FPli8K7a5ejcYlPFHCpXb']
