artist_1	artist_2	count	song_ids
Maiara & Maraisa	Marília Mendonça	13	['4qsOrxBv09HhNSpsgMRXdC', '6WxpU2F5gwTzwYsAalI6nI', '68GVqB0D4APjNWrvwZuPFI', '4X76i15ANs7rr70xcUn0Ru', '78APwJSo30uWBB5PWROMNw', '053zWWZDziDJd3U94x8RuP', '28m65cMH7QXHzFnZSTtNHY', '64I6t2tuUGnIlaDIzHJ6YI', '3YvE7uo4ffseBoJPh8IhHp', '6YjyT6MEMsMc41NNWk2dYg', '1G0kLIS0hE6uUPlIE9gksp', '13hyExMFjdAQ6ZsgqLdpSS', '2hqRWWmbHT9CTc5a4a9NVe']
Anderson .Paak	Bruno Mars	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Julinho Ksd	Trista	5	['166Lpx4pr5vtIJYInQx4AJ', '6MEZbtP3lg3mHnE9LzZn4S', '6MLQRF8D7LsOvZwkt1UcZP', '2lNBIMKsS5lEyYrp7nytfd', '3GfFnboTlt09WXO5z33ZMe']
Julinho Ksd	Yuran	5	['166Lpx4pr5vtIJYInQx4AJ', '6MEZbtP3lg3mHnE9LzZn4S', '6MLQRF8D7LsOvZwkt1UcZP', '2lNBIMKsS5lEyYrp7nytfd', '3GfFnboTlt09WXO5z33ZMe']
Trista	Yuran	5	['166Lpx4pr5vtIJYInQx4AJ', '6MEZbtP3lg3mHnE9LzZn4S', '6MLQRF8D7LsOvZwkt1UcZP', '2lNBIMKsS5lEyYrp7nytfd', '3GfFnboTlt09WXO5z33ZMe']
Anitta	Luísa Sonza	5	['2bPtwnrpFNEe8N7Q85kLHw', '2ip4hxYupn3CSsHjn4l2a8', '0YqTL3nSL36OFdHwHoqCag', '6Xu9hTNPHWWiz2WRgF4Tvw', '0geJTrae4myS6B6ito9uPS']
Bispo	D'ay	5	['5o7ADccOZmIKqWlNaLBYbm', '3ufbExs0GpZzgUB7qHlUHz', '4M5PKcWpR8Y6AOmPPbYCrw', '1xZAXX6f4odgAXtd1zLvmo', '39tUVxNywW9tBYBlMzaJ2H']
Mainstreet	Mc Poze do Rodo	4	['7IG7laqVpcvIIULrwWP5SA', '7HjZD0NPC1hzFpjUjo45GR', '0wRn3ggAY1fIupTaVigdza', '53BkPZwlaLbW77uV9BnJkl']
Anitta	Pabllo Vittar	4	['2ip4hxYupn3CSsHjn4l2a8', '0geJTrae4myS6B6ito9uPS', '0YqTL3nSL36OFdHwHoqCag', '6Xu9hTNPHWWiz2WRgF4Tvw']
Luísa Sonza	Pabllo Vittar	4	['2ip4hxYupn3CSsHjn4l2a8', '0geJTrae4myS6B6ito9uPS', '0YqTL3nSL36OFdHwHoqCag', '6Xu9hTNPHWWiz2WRgF4Tvw']
Drake	Young Thug	3	['4KDNRh9Oor80z3XIxdWlui', '0k1WUmIRnG3xU6fvvDVfRG', '6rTInqW3YECMkQsBEHw4sd']
Travis Scott	Young Thug	3	['6gi6y1xwmVszDWkUqab1qw', '4KDNRh9Oor80z3XIxdWlui', '7uZqvqXzzYMKrexKxdcGmd']
Instinto 26	Julinho Ksd	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Instinto 26	Kibow	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Instinto 26	Trista	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Instinto 26	Yuran	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Julinho Ksd	Kibow	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Kibow	Trista	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Kibow	Yuran	3	['166Lpx4pr5vtIJYInQx4AJ', '2lNBIMKsS5lEyYrp7nytfd', '6MEZbtP3lg3mHnE9LzZn4S']
Gunna	Young Stoner Life	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Gunna	Young Thug	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Young Stoner Life	Young Thug	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
DJ Ivis	Tarcísio do Acordeon	3	['27X3qzgB0Show6qfw5wNOK', '0e6NlGJxYlHvAN8SKxad7N', '7cgF1aSGBXWlTgNbon3g2p']
Drake	Future	3	['1K5KBOgreBi5fkEHvg5ap3', '34D6FJysnQioVingDKufuf', '0k1WUmIRnG3xU6fvvDVfRG']
Bas	J. Cole	3	['0GAyuCo975IHGxxiLKDufB', '4n6NDfYake476trCjJRNl0', '5BwQjRasNcdRPuVWKcHto2']
Bad Bunny	J Balvin	3	['05bfbizlM5AX6Mf1RRyMho', '66x45Yh9x397PWpxMX0ZDT', '0EhpEsp4L0oRGM0vmeaN5e']
Bad Bunny	Tainy	3	['4gzsuuZypVbxs0Af1LSZyB', '0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT']
Baby Keem	Kendrick Lamar	3	['7Bpx2vsWfQFBACRz4h3IqH', '0UTyLmkQgPOEIz95OVAJTR', '3QFInJAm9eyaho5vBzxInN']
Justin Bieber	The Kid LAROI	3	['5HCyWlXZPP0y6Gqq8TgA20', '5PjdY0CKGZdEuoNab3yDmX', '137mSruegm1u6x9NvwiagR']
Ariana Grande	Doja Cat	3	['3jjBPF4NDMCU51psU8JPpR', '2sQH02O2HBCPJCztBrCWNa', '0FFsgUoFibYISzMxuGS61W']
Playboi Carti	Trippie Redd	3	['5gZYpjakt37G3c58FKcQwJ', '2BITQ360Knh6qNAOqR7Dyq', '6iBlllot0wdy8f7V5t8OnR']
DJ Khaled	Drake	3	['35RJhm1pEovTBwnNR0zWad', '6EDO9iiTtwNv6waLwa1UUq', '1sbEeUY8KsdvgiQi26JBFz']
David Bruno	Mike El Nite	3	['1QYgYMhyilUy3F1utszJ7K', '4IMFXLBc5wok7Oq3HNpS3X', '4KuMeSYajEoh651xXLWD6L']
CRIPTA	LON3R JOHNY	3	['7p3Ch4l8Q2Qa630EPxoS1u', '0v87f3JL64qzTnrkOPrLaL', '64dl1BbXzGzxa5dMdbbXim']
BIN	Mainstreet	3	['6oVNrpMWlzS6UkQuuM8zHU', '3q6ZCGgFDIVCJQ5XG4JTL2', '68cPbG7hJnwDW9nPX1uQcX']
Ajaxx	Mainstreet	3	['7HjZD0NPC1hzFpjUjo45GR', '53BkPZwlaLbW77uV9BnJkl', '68cPbG7hJnwDW9nPX1uQcX']
Drake	Travis Scott	2	['4KDNRh9Oor80z3XIxdWlui', '40iJIUlhi6renaREYGeIDS']
Justin Bieber	benny blanco	2	['4y4spB9m0Q6026KfkAvy9Q', '3S8jK1mGzQi24ilFb45DAZ']
Cristiano Maia	Nininho Vaz Maia	2	['2dY8i8Mirb1YBoJt6aXUvp', '57nPJRwCw60I0dX8ABXitI']
J Balvin	Skrillex	2	['1q0PYXTbDsirp2l74ng6pn', '63aj87TQG6F3RVO5nbG2VQ']
Drake	Lil Baby	2	['37Nqx7iavZpotJSDXZWbJ3', '65OVbaJR5O1RmwOQx0875b']
Plutonio	Richie Campbell	2	['46Pfb5oErr8WVn3frcXybC', '295wfiB7UTuXo4ijuwyCgt']
Mc Kevin	Perera DJ	2	['4DWKtQVURjepn8uzBgmwuv', '2xebCnKCjYWBhJ4Ai8hO5E']
Justin Bieber	Khalid	2	['4MmMxyew8yq1OEyJOMaX6M', '6F2r4HgpJnvKDmkN6JEN6J']
Daft Punk	The Weeknd	2	['5GXAXm5YOmYT0kL5jHvYBt', '7MXVkk9YMctZqd1Srtv4MB']
Juice WRLD	Trippie Redd	2	['4zbr7Cp3UB00FurUovPU03', '5R4Yrc2j4jw1itr4hKcN26']
Polo G	Trippie Redd	2	['5KQxun2WxwDMsV7HCN2ONK', '5R4Yrc2j4jw1itr4hKcN26']
Dua Lipa	Elton John	2	['6zSpb8dQRaw0M1dK8PBwQz', '7rglLriMNBPAyuJOMGwi39']
Dua Lipa	PNAU	2	['6zSpb8dQRaw0M1dK8PBwQz', '7rglLriMNBPAyuJOMGwi39']
Elton John	PNAU	2	['6zSpb8dQRaw0M1dK8PBwQz', '7rglLriMNBPAyuJOMGwi39']
MD Chefe	Offlei Sounds	2	['1jwEnLN5hMOwotwXfchUaf', '0NvVVP3Q0oSbfBUZ48vCHs']
Maiara & Maraisa	Os Barões Da Pisadinha	2	['1hs2hRwPfyFLoYIf6jY1W7', '1oIqP923yBKV45IaXm5s14']
BTS	Coldplay	2	['46HNZY1i7O6jwTA7Slo2PI', '3FeVmId7tL5YN8B7R3imoM']
Julinho Ksd	Richie Campbell	2	['3wvEiKmoYB2JUkgSN1xlJI', '0MrZX4ubbrpfweHuHxXUuk']
Chimbala	Justin Quiles	2	['6b2HYgqcK9mvktt4GxAu72', '6PDlkWmrq2ZKiUuFt2aQsH']
Chimbala	Zion & Lennox	2	['6b2HYgqcK9mvktt4GxAu72', '6PDlkWmrq2ZKiUuFt2aQsH']
Justin Quiles	Zion & Lennox	2	['6b2HYgqcK9mvktt4GxAu72', '6PDlkWmrq2ZKiUuFt2aQsH']
Doja Cat	Saweetie	2	['20BOju91NaEFK5Py4VJ2pp', '2etHQJxIbV0soyPhelVs9Y']
Chico da Tina	eddy0	2	['1CS4HOpdVgifYsup8fcns3', '4Z0xXLlhlRp83fE25sZypj']
Chance the Rapper	Justin Bieber	2	['6Xgq7MvZiet0hVi3KaDSgJ', '5u1n1kITHCxxp8twBcZxWy']
Marcynho Sensação	Tarcísio do Acordeon	2	['25141FAgU1OmwoC9W2i5E3', '50gPsfGHy5OnPauA9455DM']
A7S	Topic	2	['3H7ihDc1dqLriiWXwsc2po', '5YaskwnGDZFDRipaqzbwQx']
Brent Faiyaz	Tyler, The Creator	2	['3EG9FJ0ToLfgnc1IG2Z1wz', '6u3CPnFMKANYgfdiifFOiJ']
Drake	Lil Wayne	2	['50ceCGZ3oD3U5caQV5bP6f', '1TZv3bujNaYz646eezRE91']
Drake	Rick Ross	2	['50ceCGZ3oD3U5caQV5bP6f', '4FRW5Nza1Ym91BGV4nFWXI']
Bad Bunny	Dua Lipa	2	['0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT']
Dua Lipa	J Balvin	2	['0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT']
Dua Lipa	Tainy	2	['0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT']
J Balvin	Tainy	2	['0EhpEsp4L0oRGM0vmeaN5e', '66x45Yh9x397PWpxMX0ZDT']
