artist_1	artist_2	count	song_ids
Deliric	Silent Strike	21	['16OHAKWIUKQthnJ7hwgHDK', '38ZUf8Pqvq3bUI11eg7Qr2', '6m2JQQD6bk23WSbb3u5ctX', '4x5fDuvwqT1zVYLV539wRX', '30mWjbK3HiLd8N4IHBCmzE', '6g9ZfdinytFvcCZYQMyAb7', '6sfV227Cq84U1mxsYB2C6D', '79Nzu4GvmkY0y7nBkExWtj', '72im7eQVEW5oy4o6DlhNbW', '2Z8M01pIrMVKhqCOWA1NOl', '7d02nusGBLNqtLiiRFVOch', '5h4IOYGn64ZmuSP9zrEgCP', '1deEHcrf0gPA93fT6OEBUT', '1Ic5lkDyFaP6nacE84YWfc', '3TrdHDT8kMGshHN8gc0C7b', '2iRQXKMqoqrtW7VwN0NLGm', '1AaF6mhGoG3i85RNws487H', '3Pe8Or5LC3T6bUt6I1KsV1', '1Jqn6ORmXdtSaSiMFxuRyf', '3cF4y95QsUL9ny7j01sb2s', '0H9kpmcgLPE5f1bVB076zF']
Azteca	Ian	10	['0O8KPTW6lbJXPwLfC306td', '0JhsAsIwXrDZjpznfLheAf', '1Tbs9zRNLfn2T1xVCfRCf2', '6MQEA8IsVs7QO47jAvYkHg', '1nGnZ1SNJHg0qmCKZLiCgi', '2JKzoEjgfISozZ4Ygd4pGb', '6BeHf4DZtleoOmThCgJUjQ', '7x0UdBzgDqtFCLfD5jzL34', '0EoMxf417PnGSsdpMGg1hE', '44jdKGY7kswJuydOvUAsbD']
Diplo	LSD	8	['4lJNen4SMTIJMahALc3DcB', '3qGDwGqdyFq3faUU4BmhdY', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n', '6EMsxZwsgTOLgWNdxtCIzQ', '3Y7a0typ6ik1KscmebXd6D', '0yjJ3it84L5Uq6fCCO7C9t']
Diplo	Labrinth	8	['4lJNen4SMTIJMahALc3DcB', '3qGDwGqdyFq3faUU4BmhdY', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n', '6EMsxZwsgTOLgWNdxtCIzQ', '3Y7a0typ6ik1KscmebXd6D', '0yjJ3it84L5Uq6fCCO7C9t']
Diplo	Sia	8	['4lJNen4SMTIJMahALc3DcB', '3qGDwGqdyFq3faUU4BmhdY', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n', '6EMsxZwsgTOLgWNdxtCIzQ', '3Y7a0typ6ik1KscmebXd6D', '0yjJ3it84L5Uq6fCCO7C9t']
LSD	Labrinth	8	['4lJNen4SMTIJMahALc3DcB', '3qGDwGqdyFq3faUU4BmhdY', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n', '6EMsxZwsgTOLgWNdxtCIzQ', '3Y7a0typ6ik1KscmebXd6D', '0yjJ3it84L5Uq6fCCO7C9t']
LSD	Sia	8	['4lJNen4SMTIJMahALc3DcB', '3qGDwGqdyFq3faUU4BmhdY', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n', '6EMsxZwsgTOLgWNdxtCIzQ', '3Y7a0typ6ik1KscmebXd6D', '0yjJ3it84L5Uq6fCCO7C9t']
Labrinth	Sia	8	['4lJNen4SMTIJMahALc3DcB', '3qGDwGqdyFq3faUU4BmhdY', '2c7GlMNmF7pbohjykutmLP', '2VDTgXwf3F6kcpX4HI0BKy', '6Dma0t0hOe6Bd6u5YRKF3n', '6EMsxZwsgTOLgWNdxtCIzQ', '3Y7a0typ6ik1KscmebXd6D', '0yjJ3it84L5Uq6fCCO7C9t']
Amuly	Ian	7	['0JhsAsIwXrDZjpznfLheAf', '5ymFsfuMVDuG43ksIqCohv', '6MQEA8IsVs7QO47jAvYkHg', '6BeHf4DZtleoOmThCgJUjQ', '44jdKGY7kswJuydOvUAsbD', '67R9vcPlnR7A1IWINqb1q5', '4kDldY1mBBXjgzFQ2UQNIl']
NANE	Satra B.E.N.Z.	6	['6MQEA8IsVs7QO47jAvYkHg', '0M428fm915tBsCWkgjE4Xi', '59xxPUpA2BhB4U1SpVZGVp', '44jdKGY7kswJuydOvUAsbD', '43tzQz34TeinCkH0ZeBseN', '6xoaW98w08I2NSFtcTHcHg']
Travis Scott	Young Thug	6	['56AMYGJzxBO6p8v0wEe9de', '3RZftiuTcLOqpsd8ZlwNhr', '4ea9w8c4ROqiZpJVhfBA3m', '6gi6y1xwmVszDWkUqab1qw', '7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
J Balvin	Tyga	5	['1rYC34UUszS0QzzECNRhYb', '1fBXSMOusjaj7GjzErHmUI', '1jlnBQGP2DtSEhMgQaz7a7', '6osaMSJh9NguagEDQcZaKx', '1f38Gx6xQz6r4H1jGVNBJo']
Azteca	NANE	5	['7Arj9OgC0DIIQtG4JLObqi', '5aeEwvvk0NK4m8LqBSG0Fh', '6MQEA8IsVs7QO47jAvYkHg', '7x0UdBzgDqtFCLfD5jzL34', '44jdKGY7kswJuydOvUAsbD']
5 Seconds of Summer	The Chainsmokers	5	['7ql71hBakyMi0Lxiq3Mugs', '5QiNbIilmMiMBXvaAlf7lN', '5rAtoPMDrOFN5wLdM6YmRx', '11cDEev79fPKi6uJCjUhu8', '4FAd2rB28SaWaJWmn30Xuy']
Bonn	Martin Garrix	5	['4aTtHoSBB0CuQGA6vXBNyp', '6FgizSVbAupclpzFX0SMxE', '5PDbPtIrQmmAJS1pmX9q6s', '1ahVFh0ViDZr8LvkEVlq3B', '4ut5G4rgB1ClpMTMfjoIuy']
Gunna	Young Thug	5	['5Z8HZM6iQMhhqyPcCGY5g9', '4bi9YrkOvmg4Eb7h00AW2c', '56AMYGJzxBO6p8v0wEe9de', '4ea9w8c4ROqiZpJVhfBA3m', '6igOR5QCn09zAVF2ikZjsV']
Post Malone	Travis Scott	5	['4Yq3XUNfWrAPWuB94qkC09', '5DiuFfnqqyWKat40eY8r8y', '0b6UoVjUzFyZNpHI0aAhKt', '7CZyCXKG6d5ALeq41sLzbw', '44pxxRrhiDGuHYP5HjadGF']
Killa Fonic	NANE	4	['6ud4ezb4QxR3I2NHgUuZaj', '6DXd4gyH2Z28DwcrOTSC6p', '3ocDcwGUabTYVubHksSVWx', '0eHoaHif9kYQXlHF5J5ti7']
Tyga	YG	4	['3SZqA7rQvROJsCbUu2v0xa', '0EzRnjtN5ER0wu1IudNom8', '51wFQM8W0YfXTmHusXUr5i', '1kK6DwzyXJSp58u5HYWwuD']
Dreamville	J. Cole	4	['3pZO6GoVPeSYDxxsH6vCdj', '4eqrNsKy9Mvg1fvfsTVIAE', '6MF4tRr5lU8qok8IKaFOBE', '36J0iaPDGbYGsHvYpaYs3k']
Amuly	Azteca	4	['6MQEA8IsVs7QO47jAvYkHg', '6BeHf4DZtleoOmThCgJUjQ', '0JhsAsIwXrDZjpznfLheAf', '44jdKGY7kswJuydOvUAsbD']
Post Malone	Swae Lee	4	['0RiRZpuVRbi7oqRdSMwhQY', '3KkXRkHbMCARz0aVfEt68P', '4VqTRBvYg0z8C4nsl4Hupy', '7dbka99KTWke5o9hRp0JoB']
Billy Ray Cyrus	Lil Nas X	4	['6jmZlyf9DxcIoRrjw02YXm', '6u7jPi22kF8CTQ3rb9DHE7', '4O4HtthxTvVL1Z1PuDb7GX', '2YpeDb67231RjR0MgVLzsG']
Bebe Rexha	The Chainsmokers	4	['6IJTc8xo6XasOU8fpxMU57', '05CwHjIk71RXVU40boRMnR', '2oejEp50ZzPuQTQ6v54Evp', '1SNiXDwSilLujcYdvfqVpT']
Offset	Tyga	3	['5IaHrVsrferBYDm0bDyABy', '2toVe5hfuIi97ytDPDbQFt', '0jAfdqv18goRTUxm3ilRjb']
Chris Brown	Tyga	3	['1rYC34UUszS0QzzECNRhYb', '4Q8aDd3H6LF8t4eY7So9O8', '1jlnBQGP2DtSEhMgQaz7a7']
DaBaby	Quality Control	3	['0W1ZfgXpC23RYQPDq7RM5I', '5MPPttjfGap2C6j6eKcO6J', '2nKYHpmwjLaEOXS3o7QMiz']
Goodboys	MEDUZA	3	['5p1ex0pXv6jSPJ6QbumQpD', '7CHi4DtfK4heMlQaudCuHK', '1DFD5Fotzgn6yYXkYsKiGs']
Europa	Jax Jones	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Europa	Madison Beer	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Europa	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Jax Jones	Madison Beer	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
Jax Jones	Martin Solveig	3	['5naYe7rLMZcLfO1DKg48MK', '3O83h4LS797N23DpweeRAa', '11o2y87vqODipLK98a1v34']
