artist_1	artist_2	count	song_ids
Big Baby Tape	kizaru	11	['6h2f5GrfpXo6eZCxUdzvF2', '2A6bj4o6EMJdCdXzcjMl72', '16AzcbKli3UQsxj491hJLQ', '7vbXtUsr3lSZtBzwL6lpVg', '5Wr1F6BoB9BQ4wtlefGpK3', '0r9fpWPI6z3V3YZXIiVaNC', '4vvkdSOfuve7DBxsrVzVDP', '0h3jDrGXvkETn0xJRcZOJ9', '4umjgYILQbHyV41ZmaemQm', '66jiJ5DX54pWNBL2Vt2859', '5shMiLCYjeNGe1WKikPg6T']
MAYOT	OG Buda	4	['5MAQgObkQo8YHICDRqdYcg', '3Qo7FF0WmgEt3JG3B2qngy', '1Kp2TF4fFYjJPqEMf1U0RK', '3MfoVUFEXWX6bxbACLVZEG']
LXNER	quiizzzmeow	3	['67Me2LmeUSJZGGSvVQUqbB', '5jXocrsUwpKwWyI5BZLKFA', '6mv7DTwZseSvGHOJnQh0oy']
163ONMYNECK	Scally Milano	3	['6oi5b59yCSe1gPvDnPyBYp', '0T5ulWVxXfpkq2gI5SHXPe', '3lx2dHPS44NhqKkncoeQ5F']
BUSHIDO ZHO	SEEMEE	2	['58lKse9N3VPEkx7ZNhAoaf', '3MfoVUFEXWX6bxbACLVZEG']
Sqwore	rizza	2	['3yCKABoZU3FVFuyVBc5VlM', '1qNe5rzjYah7emeSt96L6n']
ANIKV	SALUKI	2	['4vFuw6PFe5H4CvvEB8jgGN', '2MdloxY70RQRuhtfXIzdWJ']
ARTEM SHILOVETS	nkeeei	2	['3mcw4dkjfzj5B4Ago9NSmN', '1vLBDj2hhzAVskV5OUQ5d2']
ARTEM SHILOVETS	uniqe	2	['3mcw4dkjfzj5B4Ago9NSmN', '1vLBDj2hhzAVskV5OUQ5d2']
nkeeei	uniqe	2	['3mcw4dkjfzj5B4Ago9NSmN', '1vLBDj2hhzAVskV5OUQ5d2']
MiyaGi & Endspiel	Rem Digga	2	['43wgyQXc2M9KmTDUqVzugM', '4vPOGPHcjxdHZ1caxiHiQh']
163ONMYNECK	FEARMUCH	2	['0T5ulWVxXfpkq2gI5SHXPe', '3lx2dHPS44NhqKkncoeQ5F']
163ONMYNECK	Yanix	2	['0T5ulWVxXfpkq2gI5SHXPe', '3lx2dHPS44NhqKkncoeQ5F']
FEARMUCH	Scally Milano	2	['0T5ulWVxXfpkq2gI5SHXPe', '3lx2dHPS44NhqKkncoeQ5F']
FEARMUCH	Yanix	2	['0T5ulWVxXfpkq2gI5SHXPe', '3lx2dHPS44NhqKkncoeQ5F']
Scally Milano	Yanix	2	['0T5ulWVxXfpkq2gI5SHXPe', '3lx2dHPS44NhqKkncoeQ5F']
163ONMYNECK	OG Buda	2	['6OvSr8rj6ZOCcUJ1hnP7TK', '4Ul7JeHlMeM31f7zJMPRbc']
Labrinth	Zendaya	2	['10hMM5nsZQf66ldBlgWBfG', '6LtHYDgYHRCHoKK3snfr2w']
Arcane	Imagine Dragons	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
JID	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Eldzhey	Poshlaya Molly	2	['5UtiZpBDi7Ikgic4QrhbO5', '0i8YObgqnjZYoYJOQbwLHq']
OG Buda	SODA LUV	2	['5MAQgObkQo8YHICDRqdYcg', '1GTyZID5IGOXOAUoQkVlWo']
OG Buda	blago white	2	['5MAQgObkQo8YHICDRqdYcg', '1GTyZID5IGOXOAUoQkVlWo']
SODA LUV	blago white	2	['5MAQgObkQo8YHICDRqdYcg', '1GTyZID5IGOXOAUoQkVlWo']
$NOT	A$AP Rocky	2	['3zpGLSQ8QbbUnNjweWPLMD', '3YFnfm9z8RmPFIZ7C16u4e']
Egor Kreed	OG Buda	2	['1GTyZID5IGOXOAUoQkVlWo', '4G4Nxu6AtSSEP68n3yUksh']
Boulevard Depo	I61	1	['775lBcj1BssexHJn3SP4eR']
Boulevard Depo	LAUD	1	['775lBcj1BssexHJn3SP4eR']
I61	LAUD	1	['775lBcj1BssexHJn3SP4eR']
КОСМОНАВТОВ НЕТ	дипинс	1	['5JDtUGEFLwq2r26yhHM89E']
Dima Bilan	Mari Kraimbrery	1	['6TymkOrjVLXAwB4vpqlm1I']
3RACHA of Stray Kids	SKY-HI	1	['6PqDYUTmTGXnCfSDhm6AlJ']
Big Baby Tape	Молодой Платон	1	['3bbkkPpf8AdRU6DurnvoC4']
Lil Wayne	The Weeknd	1	['5XbA7TAqsD0fj0dGBrbb0D']
Dua Lipa	Elton John	1	['7rglLriMNBPAyuJOMGwi39']
Dua Lipa	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Elton John	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
BTS	Coldplay	1	['46HNZY1i7O6jwTA7Slo2PI']
LOVV66	Scally Milano	1	['320b8n5Ew9RgzDP67tVIx1']
3TERNITY	OG Buda	1	['1YADTnjt9bhRYc2Qm6ymDn']
