artist_1	artist_2	count	song_ids
Aden	Aden x Asme	13	['2pscBpv2lnWWI7uJ0SCHzu', '0aMxvN814CW8P9jiJXKTdY', '3KrZqso7vno5ad7GkMHYkF', '0uJkV2PIfImwkOxh09C5wK', '0iRPkTr6XPxfrp3fIkZ1JI', '7llI2gidaQmDzWFtxQzWSG', '7jcZtmNm01c2MYUXULFUy4', '2D04k7sqH3eTa7i6sYnclz', '42o6nGFjyIkDjyzmeGkppW', '0ebAtzYzpS77SpjrGAJfte', '59T5OuWSK5IuGHHz7Ul6u1', '3BOEWGFSZWleG63SZPzJJE', '2s6Eih8He9Qs1pg4zZtBiD']
Aden	Asme	13	['2pscBpv2lnWWI7uJ0SCHzu', '0aMxvN814CW8P9jiJXKTdY', '3KrZqso7vno5ad7GkMHYkF', '0uJkV2PIfImwkOxh09C5wK', '0iRPkTr6XPxfrp3fIkZ1JI', '7llI2gidaQmDzWFtxQzWSG', '7jcZtmNm01c2MYUXULFUy4', '2D04k7sqH3eTa7i6sYnclz', '42o6nGFjyIkDjyzmeGkppW', '0ebAtzYzpS77SpjrGAJfte', '59T5OuWSK5IuGHHz7Ul6u1', '3BOEWGFSZWleG63SZPzJJE', '2s6Eih8He9Qs1pg4zZtBiD']
Aden x Asme	Asme	13	['2pscBpv2lnWWI7uJ0SCHzu', '0aMxvN814CW8P9jiJXKTdY', '3KrZqso7vno5ad7GkMHYkF', '0uJkV2PIfImwkOxh09C5wK', '0iRPkTr6XPxfrp3fIkZ1JI', '7llI2gidaQmDzWFtxQzWSG', '7jcZtmNm01c2MYUXULFUy4', '2D04k7sqH3eTa7i6sYnclz', '42o6nGFjyIkDjyzmeGkppW', '0ebAtzYzpS77SpjrGAJfte', '59T5OuWSK5IuGHHz7Ul6u1', '3BOEWGFSZWleG63SZPzJJE', '2s6Eih8He9Qs1pg4zZtBiD']
Anderson .Paak	Bruno Mars	8	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '4iN16F8JtVxG2UTzp3avGl', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Anderson .Paak	Silk Sonic	8	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '4iN16F8JtVxG2UTzp3avGl', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
Bruno Mars	Silk Sonic	8	['7MAibcTli4IisCtbHKrGMh', '7sMBvZCSUl99bJLXZaLa0b', '4iN16F8JtVxG2UTzp3avGl', '21afd9hCjpQ6lE5DPbcPHP', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '2sXf2JdbB2GlNju00kw9WE', '71l8BEtJPXXlWbV6hhTHWK']
HAVAL	Manny Flaco	8	['7x5A8tRuDcw9qoRQ7W0OA3', '0RPMPtrdaLkgW0wfdADt7e', '1pqHv4SgUoIZf8UCW3zwte', '1T43ASu3jRDUOtv80ebNJO', '1zbMjUIbvWgDDka09Wngnp', '1gEC4hNi86y1Vbl7M5RjnW', '37IQEsFfN0vShGeJ6QhZy6', '4ZWq7fQvITB8D3CngAErG2']
Barnens favoriter	Barnmusik	8	['3qBLaVtPVjGjigWjYSPLch', '4LgSVq28Y95fTStkeJ1aze', '09fTyHOez80HCAbCqlGmQa', '1YsPk1azV0qD5VtWhfpZ3M', '0RHP9A8jBPLyAwIsadryDM', '5QrVvheU98nCpUskueiQeu', '1q9eC8uoLeyBG2JZGNnYxB', '44NeQ0tFcUeM91PULr4MyU']
Barnens favoriter	Svenska barnsånger	8	['3qBLaVtPVjGjigWjYSPLch', '4LgSVq28Y95fTStkeJ1aze', '09fTyHOez80HCAbCqlGmQa', '1YsPk1azV0qD5VtWhfpZ3M', '0RHP9A8jBPLyAwIsadryDM', '5QrVvheU98nCpUskueiQeu', '1q9eC8uoLeyBG2JZGNnYxB', '44NeQ0tFcUeM91PULr4MyU']
Barnmusik	Svenska barnsånger	8	['3qBLaVtPVjGjigWjYSPLch', '4LgSVq28Y95fTStkeJ1aze', '09fTyHOez80HCAbCqlGmQa', '1YsPk1azV0qD5VtWhfpZ3M', '0RHP9A8jBPLyAwIsadryDM', '5QrVvheU98nCpUskueiQeu', '1q9eC8uoLeyBG2JZGNnYxB', '44NeQ0tFcUeM91PULr4MyU']
Dani M	Simon Superti	7	['2dQZLeWOxjFUVKsrR5m6Tb', '5eXW1dpkHahnl6OU7arG9S', '6dR9JEZAKwKlCQ4ilCDveT', '7xF989XReMrhQgqJPweWfo', '1DJrxHa3dUBc6g89J5Kc7N', '7kfCddNl6apORk85Pi6uux', '7qf4jGtuQtFeivN26pk0DE']
FRÖKEN SNUSK	Rasmus Gozzi	7	['2rDLtxCVsKU2ed5Nigz7Cn', '2KYEExKO2L1J0uokppYmkj', '0q2BOSWLtxsf0080r5IDYz', '1dODFBTSea9xj8ro4OEQmk', '6f4nWs6e8hsBry1zknbmTx', '4EpxJNfJiNgxfBiNNwii3s', '4zaBIPXaNRPmNeR8lrj6e7']
Dizzy	Manny Flaco	7	['0UaVFAflNQlEIHwszG8nnI', '1BvDwlhLykERbIo3at7Y1s', '4X59uo53JSZcUXEudq3Vvm', '7xGFP1Cy4QlM4yEfvhknFN', '7360iScV4BTruAJfE6TnjO', '43cM4eJO1So9iyNy8nfnpc', '36dsnMrrnD7tDqLdEACgMx']
