artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	3	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Anderson .Paak	Silk Sonic	3	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Bruno Mars	Silk Sonic	3	['1LPSkqVhWVRUkKE03YUkpB', '7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Encanto - Cast	Stephanie Beatriz	2	['4b1yxSdlumA8N4fEk4UOZp', '52xJxFP6TqMuO4Yt0eOkMz']
Future	Gunna	2	['3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Future	Young Thug	2	['3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Gunna	Young Thug	2	['3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Diane Guerrero	Stephanie Beatriz	2	['3XoYqtiWHhsk59frZupImG', '52xJxFP6TqMuO4Yt0eOkMz']
Rex Orange County	Tyler, The Creator	2	['0YpaoMOUSP3jwZ4RgqNESG', '1TDeDFUYHjZKLsO6bzoVg1']
Alex To	David Ling Jr	2	['6dhljXSqZqE6kPA23dcSxC', '0DPz44lDcJUGVHcV7ZSiSR']
Alex To	Sally Yeh	2	['6dhljXSqZqE6kPA23dcSxC', '0DPz44lDcJUGVHcV7ZSiSR']
David Ling Jr	Sally Yeh	2	['6dhljXSqZqE6kPA23dcSxC', '0DPz44lDcJUGVHcV7ZSiSR']
Dr. Dre	Snoop Dogg	2	['503OTo2dSqe7qk76rgsbep', '4LwU4Vp6od3Sb08CsP99GC']
Labrinth	Zendaya	2	['76YSWx6L6FNsuaP6GWBb8P', '6LtHYDgYHRCHoKK3snfr2w']
David Ling Jr	George Lam	2	['3Zm43ZnkG7VOvHncUuBsW1', '6dhljXSqZqE6kPA23dcSxC']
Arcane	Imagine Dragons	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
JID	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Gentle Bones	JJ Lin	2	['3hpR0IWUJMvtlq3aAyKPqz', '5WBv2CT96Fwmk1qk3J48yX']
Doja Cat	The Weeknd	1	['0k4d5YPDr1r7FX77VdqWez']
Dominic Fike	Zendaya	1	['7JIIY2oDPFkURYMCLJuzhe']
Lil Wayne	The Weeknd	1	['5XbA7TAqsD0fj0dGBrbb0D']
Dua Lipa	Elton John	1	['7rglLriMNBPAyuJOMGwi39']
Dua Lipa	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Elton John	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Lil Baby	Nicki Minaj	1	['1PNs0uGru3TcrA94kpyGnc']
BTS	Coldplay	1	['46HNZY1i7O6jwTA7Slo2PI']
Encanto - Cast	Olga Merediz	1	['4b1yxSdlumA8N4fEk4UOZp']
Olga Merediz	Stephanie Beatriz	1	['4b1yxSdlumA8N4fEk4UOZp']
Ed Sheeran	Jessi	1	['1A3T3npKsrElQTjTEcr3LR']
Ed Sheeran	SUNMI	1	['1A3T3npKsrElQTjTEcr3LR']
Jessi	SUNMI	1	['1A3T3npKsrElQTjTEcr3LR']
Billie Eilish	Khalid	1	['0u2P5u6lvoDfwTYjAADbn4']
Camila Cabello	Ed Sheeran	1	['0QBzMgT7NIeoCYy3sJCof1']
Kaka Azraff	SleeQ	1	['53MXKyRZ2wUfuMdqw7wHEX']
Ruth B.	slater	1	['6fhG2KJgwO7CrNflRaRmvp']
Ruth B.	sped up + slowed	1	['6fhG2KJgwO7CrNflRaRmvp']
slater	sped up + slowed	1	['6fhG2KJgwO7CrNflRaRmvp']
GISELLE	HENDERY	1	['7eVu7FI02cTicLEgVtUvwF']
GISELLE	JENO	1	['7eVu7FI02cTicLEgVtUvwF']
GISELLE	TAEYONG	1	['7eVu7FI02cTicLEgVtUvwF']
GISELLE	YANGYANG	1	['7eVu7FI02cTicLEgVtUvwF']
