artist_1	artist_2	count	song_ids
NobodyListen	Yzomandias	38	['1ceOqTGC8ytGm2M3pvKtQd', '01MJQviKuKIiufZHLEq8vT', '1Ftq1ztIsGuf9Fyw4wOXkj', '22b0wvkE2z9lFsOcWSsYoG', '23OAiybX9oRT6OqNd65pLf', '689l9AqAhKYmaGCpWCSvI4', '1IwzEhZxNTV8uK6ppHqAqg', '5N7ETYLyRURS9Cegg5JylU', '6zh89xeO4VPtNQcAR0DEUy', '18Os7G2WUv8dQmqu2VQws8', '1ansO7Ouw1RSuTV4wIGbkV', '7tEXQJHNQ15N7CDYTki7Ui', '4XHr1I65ut5wJsryMgug3v', '1rZdiUXeDRR61NMqqzaFEc', '4gKZTbAiJG3P42gl3JIHg6', '5LiEvTy3hvEHzkuXxrbClV', '4mbzpAcE3raGhwCx3cgyh9', '6PFhj9SrtXNdSYvtOHYkBA', '0KHo3DLFUrP2Etm91ICkiq', '4krayvJGllhBZjFzUL7pMC', '2Y7VedeJpxgt3PpqDpNhWS', '1yNlKHLw0SiUBIfIylHdSQ', '3M05aQkZzOIoFsp5ZT4mW8', '7bUCnqtyo5BwL9lgBvNEzW', '1haG90JoewximxfFsDVVgM', '4HVdz2OVI9jz2psEzjkCX6', '6ceyTZNbbLgIM7xK9ZiLuy', '5vwhd8YaARTiyk29OivAPG', '0ziAnpNDGWJGBeqeJabSs1', '0B66zWbg6YnI6ItZPvAZ7E', '4wNGOOwVViHvO5Pctkho6d', '7EhFFWeTsry4ifShE0pKoG', '1xFqhF4OC3sxYtRkMXJMt7', '0Zzn5SuGsgC1tspcEf3dl7', '6omhLQrBwVvtt5APsw0alB', '27O2Nh0HqiPAzs0VmtBCWQ', '3k4PXXQbwwvCGcMiGNjcVS', '176dhFuPGuqsjHkNKiRzsf']
Nik Tendo	Yzomandias	9	['1ceOqTGC8ytGm2M3pvKtQd', '0E92CGQj3E7REEC9TWqYze', '1Ftq1ztIsGuf9Fyw4wOXkj', '7tEXQJHNQ15N7CDYTki7Ui', '23OAiybX9oRT6OqNd65pLf', '4gKZTbAiJG3P42gl3JIHg6', '6omhLQrBwVvtt5APsw0alB', '1r2ekOnBhxmBHsPZD4LDOM', '4wDjQqWvBXa3419jeYC0xO']
Nik Tendo	NobodyListen	6	['1ceOqTGC8ytGm2M3pvKtQd', '1Ftq1ztIsGuf9Fyw4wOXkj', '7tEXQJHNQ15N7CDYTki7Ui', '23OAiybX9oRT6OqNd65pLf', '4gKZTbAiJG3P42gl3JIHg6', '6omhLQrBwVvtt5APsw0alB']
Hasan	Nik Tendo	5	['23OAiybX9oRT6OqNd65pLf', '3rxHQ7HeJCpiei1d6ANDPW', '4gKZTbAiJG3P42gl3JIHg6', '2687fXBlOk6u6fiwLJ4E1l', '4wDjQqWvBXa3419jeYC0xO']
Calin	Viktor Sheen	4	['2687fXBlOk6u6fiwLJ4E1l', '3rxHQ7HeJCpiei1d6ANDPW', '705U2GkmMiEPrqRWMPmabr', '7E8LK4R9gAkSG4CD1kqvsX']
Hasan	Yzomandias	3	['4gKZTbAiJG3P42gl3JIHg6', '23OAiybX9oRT6OqNd65pLf', '4wDjQqWvBXa3419jeYC0xO']
Jickson	Nik Tendo	3	['4gKZTbAiJG3P42gl3JIHg6', '7tEXQJHNQ15N7CDYTki7Ui', '4wDjQqWvBXa3419jeYC0xO']
Jickson	Yzomandias	3	['4gKZTbAiJG3P42gl3JIHg6', '7tEXQJHNQ15N7CDYTki7Ui', '4wDjQqWvBXa3419jeYC0xO']
Koky	Nik Tendo	3	['4gKZTbAiJG3P42gl3JIHg6', '1ceOqTGC8ytGm2M3pvKtQd', '4wDjQqWvBXa3419jeYC0xO']
Koky	Yzomandias	3	['4gKZTbAiJG3P42gl3JIHg6', '1ceOqTGC8ytGm2M3pvKtQd', '4wDjQqWvBXa3419jeYC0xO']
Gunna	Young Thug	3	['2ZGEjmwyeZ3rpEezkZwqOP', '3LnpBazWpD31QMTn6LgVGv', '3XOalgusokruzA5ZBA2Qcb']
Separ	Yzomandias	3	['6FbRFo9fweIUtLvglbEF0i', '1r2ekOnBhxmBHsPZD4LDOM', '01MJQviKuKIiufZHLEq8vT']
Labrinth	Zendaya	3	['76YSWx6L6FNsuaP6GWBb8P', '10hMM5nsZQf66ldBlgWBfG', '6LtHYDgYHRCHoKK3snfr2w']
Arcane	Imagine Dragons	3	['5UlnuulVAVmmesw4VzqHdG', '1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	League of Legends	3	['5UlnuulVAVmmesw4VzqHdG', '1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	League of Legends	3	['5UlnuulVAVmmesw4VzqHdG', '1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Colin Hay	Luude	3	['7AVyve7cFYTd51ha5i9kE2', '3Oww84xrmgjyr5J1ilOmAf', '53O5nAlq04RKmSBqW0SFvG']
Hasan	Jickson	2	['4gKZTbAiJG3P42gl3JIHg6', '4wDjQqWvBXa3419jeYC0xO']
Hasan	Kamil Hoffmann	2	['4gKZTbAiJG3P42gl3JIHg6', '4wDjQqWvBXa3419jeYC0xO']
Hasan	Karlo	2	['4gKZTbAiJG3P42gl3JIHg6', '4wDjQqWvBXa3419jeYC0xO']
Hasan	Koky	2	['4gKZTbAiJG3P42gl3JIHg6', '4wDjQqWvBXa3419jeYC0xO']
Hasan	NobodyListen	2	['4gKZTbAiJG3P42gl3JIHg6', '23OAiybX9oRT6OqNd65pLf']
Jickson	Kamil Hoffmann	2	['4gKZTbAiJG3P42gl3JIHg6', '4wDjQqWvBXa3419jeYC0xO']
Jickson	Karlo	2	['4gKZTbAiJG3P42gl3JIHg6', '4wDjQqWvBXa3419jeYC0xO']
