artist_1	artist_2	count	song_ids
Ariana Grande	Nicki Minaj	7	['0sdbFOyfgAhAhWq8DpzkaW', '4pLwZjInHj3SimIyN9SnOz', '1ZEm9cJC05rawV2tptNfTS', '0puf9yIluy9W0vpMEUoAnN', '5iZ4hcpCgFVijq5OOjBTKZ', '4ZUfbHQOBeEOyf6EArWXA3', '3L4GsGLgxpHieVQH86H8bv']
BTS	Steve Aoki	5	['75scDPqGs75FotglJSoOI2', '2r1T6xGTVaNAqBoPH4lZEE', '48XfojJC87VKLlUotYV0Gm', '7Ed6BkggCS2KaKY5YlINaF', '2J0X46UkpfLlWbuCXFgDLr']
NCT	NCT U	5	['4SrkrzWiFxEzMBOSOE5qGW', '46JuEtCV69InGm7hONKrgA', '1EYSS9Lp7a9f20C3FaOVgI', '0ErzcmZ2gIwX7X0xSMQPix', '6OyLuTMyY9dOswKPyIT8SO']
Diplo	LSD	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Labrinth	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
Diplo	Sia	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Labrinth	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
LSD	Sia	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
Labrinth	Sia	4	['7boPPE857KEqCIHNwFkDop', '73F87Sqh6jQWucOOvz1WFx', '4gnZPWL9c1ZunZuqc8Asbu', '5a8RPWgKSmcGBGcffmIrUi']
Drew Love	The Chainsmokers	4	['6H0Ai73WGIOFoGm5zmbdx1', '3pWcj8hxj3fsb9TDAcMpEl', '5YjEZzlruyZPh96bOpSVPH', '6mWDwN58PgiPiDXkfSfB4J']
Kelsea Ballerini	The Chainsmokers	4	['4NBTZtAt1F13VvlSKe6KTl', '6LKYeyLt4G4SlZ6OJwFhVS', '4edS9dC0JPBlSS4p4gMOT0', '15kQGEy89K8deJcZVFEn0N']
21 Savage	Post Malone	4	['0e7ipj03S05BNilyu5bRzt', '7wGoVu4Dady5GV0Sv4UIsx', '2U7Hu2RaNQNRi7izoJyZaX', '1OmcAT5Y8eg5bUPv9qJT4R']
Kendrick Lamar	SZA	4	['2Imq77E6CEJR5TPUxlJvTY', '66kQ7wr4d2LwwSjr7HXcyr', '3GCdLUSnKSMJhs4Tj6CV3s', '12SJpYZEdj4kzWZ8FPFg4Y']
Kendrick Lamar	The Weeknd	3	['6ZNo7Vi0TE9ul1fhKd4S1M', '4ofvoCdXq99vpMZO4Cfp8x', '77UjLW8j5UAGAGVGhR5oUK']
Daft Punk	The Weeknd	3	['5aAx2yezTd8zXrkmtKl66Z', '7MXVkk9YMctZqd1Srtv4MB', '5GXAXm5YOmYT0kL5jHvYBt']
FIIXD	YOUNGOHM	3	['7tOf6X2iTpeSXxaqdM7E3W', '5EL4HQ8ld7aQyfI2DhukoW', '7LYyY0pt2kEmghBKgtLWNm']
BANKK CA$H	Da Endorphine	3	['0xpkfml0e404bgSA0C9U2T', '6emPkYr9HS5bfQgoxNub9l', '3e1OV5jSRh4Mcq74BNVm9x']
