artist_1	artist_2	count	song_ids
Ezhel	Murda	14	['1iKntPSPAFah7TXi8pF24B', '3sBpwxytToWyrKhVCCB2gu', '4ywdchqXzNiX5S8YqKzGtA', '4Rgg8Go1YSmz2o00ZiZiP7', '5SYkeNpjhJPFUMOP5TK8iw', '7iXjN6AmhRzJPvl4lh2FV3', '7xWhtWJQ0G5uwmZVusAz88', '4IJEw3fDvS6XF4sDc3bvjK', '1nBs5dJg0JvIt3wUNjxZn0', '51ki923zENBmF9EnT3nMon', '2Oafgpg3zODVawujkYVz5n', '3W4seDHEWHR35WuKZOP1Yq', '7BjmOMyfT4PBKbZuSCwWPc', '3PCj4JTif25lRpQOXxP62p']
Ezhel	Ufo361	10	['22TdLvsEeioBza7NcsKfQO', '0J5E8px1CfHdSKknB0EATx', '1wuNXk0wBthm7TkqEXpndz', '2KlbLTnQ5Wch2oOelW0Y2k', '3VFPLa8XZ4yOs2WlO7kaXw', '5WF93UGY4ruzqO5wlu6EGT', '7sQbCBojrgRh2V6mKqVm12', '4tT9mBO8n3pEuCeUDnzE4s', '5AZTndqPsymlA5Rt5Nrwbg', '1BzTI6CkluzAJsXFRkXTaR']
Ati242	Patron	8	['6VQhReHwzAqaTLBTkVOg3u', '7arrDSUI4hP3kHq8BurZ9u', '1WpCEWPYlON5l1Rln413Hu', '0un4ktXgjjRMILOhL0evuN', '1wd6GGS2nLHnfwIirBeU3Z', '0SJasiH1Bhr4vIldNeBuTM', '2CVyFEOZUBXPpOoMnaJaMp', '1oXuH8alEusTGy80bS6Z0K']
Hidra	Şehinşah	5	['77heifHtFRJgA53I7G3D5T', '0xsLcMD77KKlXeEFpSyTeO', '3qgZBj5nDqjtmInvI9k2RT', '5eVRSJVN6zAm0KqkFqNRF0', '0iucWrJt6mKbD9RlERi2Lc']
Sokrat St	Şanışer	5	['75xvfdh6w1BsDwDN70Vqow', '1aHKVxoYHAWvedbVUTP9SF', '4qQK0w3w3qFePFwtuciqio', '2pekbsFWSt0kWj4oLqz0Tz', '117xYLhoYsi0NKldrpFQao']
Go-Khan	Sagopa Kajmer	4	['5w6IGhrh2MDmWEkMa31ZLf', '2zk0xKmfnaPgOmqFfQoOpD', '0512MvEEERp0A2PS0ERVjA', '5MgXOXabK15K0KRiPnT4Jg']
Imanbek	SAINt JHN	4	['0zLCBJZSiELJf02ucPP9wb', '24Yi9hE78yPEbZ4kxyoXAI', '5f5tMrP3ZZbNtiLIHKOQLS', '2Wo6QQD1KMDWeFkkjLqwx5']
Anıl Piyancı	Massaka	4	['63iW8lA2sI5dHz6pQg1qH1', '5GicfAM9t20Wo8UIA2IkVt', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Defkhan	Hayki	4	['63iW8lA2sI5dHz6pQg1qH1', '1aHKVxoYHAWvedbVUTP9SF', '2AZgUbBjSGzvdZO1725fvp', '4qQK0w3w3qFePFwtuciqio']
Defkhan	Şanışer	4	['63iW8lA2sI5dHz6pQg1qH1', '1aHKVxoYHAWvedbVUTP9SF', '2AZgUbBjSGzvdZO1725fvp', '4qQK0w3w3qFePFwtuciqio']
Hayki	Şanışer	4	['63iW8lA2sI5dHz6pQg1qH1', '1aHKVxoYHAWvedbVUTP9SF', '2AZgUbBjSGzvdZO1725fvp', '4qQK0w3w3qFePFwtuciqio']
Diablo 63	Massaka	3	['63iW8lA2sI5dHz6pQg1qH1', '49hlPTEKsrxCg7aHwCY28t', '5u5jZ1mRKktkdWjfyxtMl7']
Anıl Piyancı	Sansar Salvo	3	['63iW8lA2sI5dHz6pQg1qH1', '6J2QItxGax9VTzF9b8TMgY', '2AZgUbBjSGzvdZO1725fvp']
Deniz Tekin	Kamufle	3	['4TjdOJTNUc32AxzQUnsN1n', '1aHKVxoYHAWvedbVUTP9SF', '4qQK0w3w3qFePFwtuciqio']
Aspova	Motive	3	['4aTeuAKgIdCsISMAwGiEkT', '1w8DcdIihF1gkU7x3TBavn', '2zhttCT008CWBEbQ6fuU7k']
Anıl Piyancı	Canbay	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Anıl Piyancı	Tekmill	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Anıl Piyancı	Wolker	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Anıl Piyancı	Yener Çevik	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Canbay	Massaka	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Canbay	Tekmill	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Canbay	Wolker	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Canbay	Yener Çevik	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Massaka	Tekmill	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Massaka	Wolker	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Massaka	Yener Çevik	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Tekmill	Wolker	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Tekmill	Yener Çevik	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Wolker	Yener Çevik	3	['63iW8lA2sI5dHz6pQg1qH1', '2AZgUbBjSGzvdZO1725fvp', '5u5jZ1mRKktkdWjfyxtMl7']
Heijan	Muti	3	['2D1MsqMup2kuC2l1gSGJPJ', '27f2patMaYEt7WJckpNvKB', '0Y0VJ43gCiZJZmdaKslhpo']
Ozbi	Sokrat St	3	['1aHKVxoYHAWvedbVUTP9SF', '7eTnGaiy8fYE4tTJ2nh5ZG', '4qQK0w3w3qFePFwtuciqio']
6iant	Velet	3	['5TU2PR43olsRm8RGq1iQwm', '3huaUD2EiY0gd5Urdqx1eZ', '6PZcfftqKYPm8AhBEtOFfQ']
Khontkar	Killa Hakan	3	['6TYJlzSMRz8AJdEbQBUQhO', '5GicfAM9t20Wo8UIA2IkVt', '7rzDcDygk9NmLCnmEcF7oT']
Khontkar	Young Bego	3	['1lpPtxObdACtmcsA2FvEA0', '3rv2LAdSYfO3Azh9OUjqaQ', '19o3yH5Mc7vJs34SKC5adF']
Ados	Sokrat St	3	['1aHKVxoYHAWvedbVUTP9SF', '4qQK0w3w3qFePFwtuciqio', '117xYLhoYsi0NKldrpFQao']
Ados	Şanışer	3	['1aHKVxoYHAWvedbVUTP9SF', '4qQK0w3w3qFePFwtuciqio', '117xYLhoYsi0NKldrpFQao']
Defkhan	Massaka	3	['63iW8lA2sI5dHz6pQg1qH1', '5aRKnEWSoygm9wGxxaqVtd', '2AZgUbBjSGzvdZO1725fvp']
Defkhan	Rota	3	['63iW8lA2sI5dHz6pQg1qH1', '3P9SRVuGWJgltAoxnY1Mzd', '2AZgUbBjSGzvdZO1725fvp']
Defkhan	Sansar Salvo	3	['63iW8lA2sI5dHz6pQg1qH1', '5aRKnEWSoygm9wGxxaqVtd', '2AZgUbBjSGzvdZO1725fvp']
Massaka	Sansar Salvo	3	['63iW8lA2sI5dHz6pQg1qH1', '5aRKnEWSoygm9wGxxaqVtd', '2AZgUbBjSGzvdZO1725fvp']
Travis Scott	Young Thug	3	['6gi6y1xwmVszDWkUqab1qw', '6ZelF5APDN5r6XnFqcnvWR', '4jVBIpuOiMj1crqd8LoCrJ']
Aspova	Şanışer	3	['1aHKVxoYHAWvedbVUTP9SF', '4qQK0w3w3qFePFwtuciqio', '47Ean8ZLIyDCSMz9wS0Za7']
FRO	Patron	3	['0SJasiH1Bhr4vIldNeBuTM', '6zTeRbPjHoCpig1gEaKg8b', '44SL8gbaYHhIEp4CVUxdPz']
Anıl Piyancı	Zeynep Bastık	3	['5pdsGdTeqH6MHqJeKkpwX3', '1zPaYQuwGXyQQbxbLzmIFf', '3DZ2ivlwnX8KDyRTmxLGfi']
Anıl Piyancı	Ezhel	2	['7fUGWMgLzsVdID1eKoPm3b', '6J2QItxGax9VTzF9b8TMgY']
Beta	Kamufle	2	['1aHKVxoYHAWvedbVUTP9SF', '6J2QItxGax9VTzF9b8TMgY']
Ezhel	Kamufle	2	['3sNphVcpbzlw7g7peUtT2U', '6J2QItxGax9VTzF9b8TMgY']
Ceg	Khontkar	2	['11ShjP4moSAqYDRwS3Soya', '37JOtIWgKtaIKMSfe8psZX']
Khontkar	Metth	2	['1lpPtxObdACtmcsA2FvEA0', '37JOtIWgKtaIKMSfe8psZX']
EDIS	Gülşen	2	['7msHf1EMPuB73Pq8zQV4Gw', '5lfKZEyQDVRhiO1O10Rshy']
Tepki	Vio	2	['1YB89znSaRUUd5u7Z6PZ1F', '79ex7gAH0pwA3Uj1oRu1rg']
Mert Kıyak	Çağrı Kaymak	2	['7Kg6WEcA6Xp5V5ahFxlmwU', '7r36IPB6w0rPWMBDVJPshI']
Alican Özbuğutu	Özkan Meydan	2	['0Kp4kccWSTLdCQEHS83NaZ', '6XYStek7ec5KhqEsfybdnT']
Anıl Piyancı	Diablo 63	2	['63iW8lA2sI5dHz6pQg1qH1', '5u5jZ1mRKktkdWjfyxtMl7']
Anıl Piyancı	Killa Hakan	2	['5GicfAM9t20Wo8UIA2IkVt', '5u5jZ1mRKktkdWjfyxtMl7']
Canbay	Diablo 63	2	['63iW8lA2sI5dHz6pQg1qH1', '5u5jZ1mRKktkdWjfyxtMl7']
Diablo 63	Tekmill	2	['63iW8lA2sI5dHz6pQg1qH1', '5u5jZ1mRKktkdWjfyxtMl7']
Diablo 63	Wolker	2	['63iW8lA2sI5dHz6pQg1qH1', '5u5jZ1mRKktkdWjfyxtMl7']
Diablo 63	Yener Çevik	2	['63iW8lA2sI5dHz6pQg1qH1', '5u5jZ1mRKktkdWjfyxtMl7']
Joe Young	Massaka	2	['4xZRn506Urko4isM6MtFmc', '5u5jZ1mRKktkdWjfyxtMl7']
Killa Hakan	Massaka	2	['5GicfAM9t20Wo8UIA2IkVt', '5u5jZ1mRKktkdWjfyxtMl7']
Artz	Vio	2	['37ErvFxsIWfcRE5qwfMDzR', '45z4S3lqfXV66lUQAH5bfn']
Bedo	Patron	2	['1wd6GGS2nLHnfwIirBeU3Z', '5jtqm1ZWbtyaUfhX9zc0ls']
Didomido	Eglo G	2	['3917xM4PvycBOYacEeJfXt', '16FD3mxCwYNXBqIytshvNb']
Cem Adrian	Şanışer	2	['07tr2L4QuhCCZvwNoFDlTo', '6NL9wPcXdrsR602Bcr2sKJ']
Gunna	NAV	2	['0lSZh5W0wDeurkGzLYY6hf', '7hxHWCCAIIxFLCzvDgnQHX']
Ezhel	Vio	2	['6AVMZi93U6EPmzySBDacvg', '7dTScSKBqRCt06djvafaTG']
Aspova	Tepki	2	['5eOglt5cAeLWm0r6LVetuy', '1w8DcdIihF1gkU7x3TBavn']
Jason Derulo	Jawsh 685	2	['4TgxFMOn5yoESW6zCidCXL', '1xQ6trAsedVPCdbtDAmk0c']
Kst	Saian	2	['5nKN6ZIu3KLHVU04knT4XC', '3cr4HgKCWQoebjHo5zv2RP']
Anıl Piyancı	Ceg	2	['1Xwis3OHT6xr799vbT72bX', '2JWcIs25p03SYHWTez6pwc']
