artist_1	artist_2	count	song_ids
Anderson .Paak	Bruno Mars	2	['7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Anderson .Paak	Silk Sonic	2	['7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Bruno Mars	Silk Sonic	2	['7sMBvZCSUl99bJLXZaLa0b', '60gTdTwaNtGAzIxKfeGVfJ']
Arcane	Imagine Dragons	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Arcane	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	JID	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Imagine Dragons	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
JID	League of Legends	2	['1HhNoOuqm1a5MXYEgAFl8o', '1r9xUipOqoNwggBpENDsvJ']
Avril Lavigne	Machine Gun Kelly	1	['14td7C4K7BX8jsSYtgtQqy']
HowZ	瘦子E.SO	1	['4mWSrqAC50WAL7wSVD9FV6']
Lil Wayne	The Weeknd	1	['5XbA7TAqsD0fj0dGBrbb0D']
Dua Lipa	Elton John	1	['7rglLriMNBPAyuJOMGwi39']
Dua Lipa	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Elton John	PNAU	1	['7rglLriMNBPAyuJOMGwi39']
Lil Baby	Nicki Minaj	1	['1PNs0uGru3TcrA94kpyGnc']
BTS	Coldplay	1	['46HNZY1i7O6jwTA7Slo2PI']
Camila Cabello	Ed Sheeran	1	['0QBzMgT7NIeoCYy3sJCof1']
Ella Chen	玖壹壹	1	['2ek6tL3UTd89rWtSv3gHje']
A-Mei Chang	Ronghao Li	1	['4PMakIBWXujbe2MIsuZtOc']
Ella Chen	Sodagreen	1	['7ovUSP7jWkzWR2SHptYJfd']
Nine Chen	婁峻碩	1	['0Y3bpqcxiRromZVi53U3VY']
Halsey	The Chainsmokers	1	['7BKLCZ1jbUBVqRi2FVlTVw']
Post Malone	The Weeknd	1	['00Blm7zeNqgYLPtW6zg8cj']
Julia Wu	瘦子E.SO	1	['0ksFEsKtqtLPxIHC1wCAXi']
Future	Gunna	1	['3XOalgusokruzA5ZBA2Qcb']
Future	Young Thug	1	['3XOalgusokruzA5ZBA2Qcb']
Gunna	Young Thug	1	['3XOalgusokruzA5ZBA2Qcb']
Ryan.B	effie	1	['7uwJwSKpmzZH7p7imm4f1P']
831	NICKTHEREAL	1	['32yAOppXfc414PVgRRouNL']
Doja Cat	Tyga	1	['3vySEUpD0tc801F2WZDLYw']
BE'O	Beenzino	1	['4MokmgyM83qhJ6IAaChom5']
Dan + Shay	Justin Bieber	1	['4j5ffIFh7bFT7GZciP1TCy']
Gordi	Troye Sivan	1	['70iazIU8mYvhSouvV7LZir']
Daniel Caesar	Giveon	1	['4iJyoBOLtHqaGxP12qzhQI']
Daniel Caesar	Justin Bieber	1	['4iJyoBOLtHqaGxP12qzhQI']
Giveon	Justin Bieber	1	['4iJyoBOLtHqaGxP12qzhQI']
