artist_1	artist_2	count	song_ids
Big Baby Tape	kizaru	15	['6h2f5GrfpXo6eZCxUdzvF2', '2A6bj4o6EMJdCdXzcjMl72', '16AzcbKli3UQsxj491hJLQ', '5Pjmv35PxL2ByHadh1oRxN', '7vbXtUsr3lSZtBzwL6lpVg', '5Wr1F6BoB9BQ4wtlefGpK3', '0r9fpWPI6z3V3YZXIiVaNC', '4vvkdSOfuve7DBxsrVzVDP', '0h3jDrGXvkETn0xJRcZOJ9', '3U8JCs5aH9wLpQR08BuPJA', '4umjgYILQbHyV41ZmaemQm', '66jiJ5DX54pWNBL2Vt2859', '0VVa11kcXBGm99NgSiF8Rx', '53iGzPusAzNm0NaNrlWv8h', '5shMiLCYjeNGe1WKikPg6T']
MAYOT	OG Buda	11	['3kiD5yMRoRLIgFY63MJlgQ', '5HY0z72QCGBec8MvF4syjD', '5VdgZ6rHgXeT7jwfO48yvp', '3Qo7FF0WmgEt3JG3B2qngy', '0cQVcZdnUwyQOpUCEyWFim', '4LMDURDB7ZcfDZKhLKyG5D', '5MAQgObkQo8YHICDRqdYcg', '76xW6sHoZsrdLVl5W0ti2c', '1Kp2TF4fFYjJPqEMf1U0RK', '1FDMf01sTi7wkZ5RqUndTN', '3MfoVUFEXWX6bxbACLVZEG']
Boulevard Depo	SP4K	8	['6bqT9F2wP82zkBqMpIz0G5', '1yTRmXkoPZj6V727woqLMt', '6A8cvHoKATSpYCKdncvWLv', '7fGt54RjdVW8tgnQ3EmQiM', '5ByxpTTH6KSqkSlBvQhJXn', '7haLtqfsBtFBAT4AzVoo0c', '4J1ZzuXzhOX7otxtNKY6Nh', '2m2tgoN8HQ6nn9DqONyHoJ']
KALUSH	SKOFKA	7	['7kKTYTHULdERuHGCkVyLVD', '4RwN5abaM8W3uQczqiDGF1', '1f7JkrpZsaaOilfuBHAfrK', '0qXD9wRPGXY9WBPmcd9Hn9', '0pqPu0m8qE45yJWqXEmpWe', '3EkGH0yreaWUFAXBil8rmH', '3ICTmbm0RyjP8qQjUYHxB1']
Boulevard Depo	JEEMBO	7	['7DQojpv1OKySvRHa4OpaVi', '1z7lSqY74fBAqA4XXHwByc', '5Y5iS2vfoPwLZGOrbpScXS', '7AmLOuu3TCyuG0uydOJDKo', '0tLjdCOy0kfeYCdZPtGue0', '594CAk1uH9aDnj9CJOAGV4', '2GRGTdy9Qbwm8q5Ajtxjj4']
MAYOT	SEEMEE	6	['4krudkCElDUrbnq2sSKeHl', '6JL8b9uh91g7buYeXR6Nba', '3T24uF4zo7ISTUQnGC9JMT', '7wgbL9jtSVoN1Gxe2o1MgR', '1KYh38VBz1Mkmap5L4Ilxv', '3MfoVUFEXWX6bxbACLVZEG']
104	SALUKI	6	['5qPLmpREX80m9IF9uzR8wT', '5SIWet1hcYBuPd6l36NlZG', '5VdgZ6rHgXeT7jwfO48yvp', '5N71p85mXybmOZ8kUHfist', '1IIS404ewYHAljHbGQn5Tx', '4B35L6jk3VHtVM6bC28fgN']
Skryptonite	qurt	6	['4m5olwfzFs9DYa5CZwFJwz', '3MfQ6mJkUloZpUSMhJhw0n', '09ZNdFeWhlTFMTbFhF2J8k', '1GuuqIIyMwFNKfvqUGl2Xe', '71wYo0CCAx6o42ruwfeJ1M', '02ALbwDGDZYstTA7ewEkeG']
Skryptonite	Индаблэк	6	['4m5olwfzFs9DYa5CZwFJwz', '3MfQ6mJkUloZpUSMhJhw0n', '1GuuqIIyMwFNKfvqUGl2Xe', '71wYo0CCAx6o42ruwfeJ1M', '02ALbwDGDZYstTA7ewEkeG', '6IPaOxjrvNq6CjWGyv4yTP']
qurt	Индаблэк	6	['4m5olwfzFs9DYa5CZwFJwz', '3MfQ6mJkUloZpUSMhJhw0n', '1GuuqIIyMwFNKfvqUGl2Xe', '71wYo0CCAx6o42ruwfeJ1M', '1UztjkIqggRZRBT46mBY20', '02ALbwDGDZYstTA7ewEkeG']
OG Buda	SODA LUV	6	['4psimdmSobgECgzUVgWsia', '5MAQgObkQo8YHICDRqdYcg', '4LMDURDB7ZcfDZKhLKyG5D', '1GTyZID5IGOXOAUoQkVlWo', '0gxHZ2Lg5kzWfDk9uWcBxn', '5Mwaig6frhgSuJkJXLQaba']
163ONMYNECK	OG Buda	5	['2TMaGRtDrXIeLS8Nmwr8Ih', '4N9OqVvhMroM1c9ZiDtlte', '2f0HWtNb5uBa9GqeLXN9tx', '3Tv3pSjBEJKQvUKA18MCII', '0VSezTJzAxWsj5ttwompwU']
LILDRUGHILL	ROCKET	4	['5pDs6L02QkbwRLkDbOAzPt', '7gAYusb9mtQIP16OC7zx44', '0OGIKKEA3s342QnF41bnkS', '2yHBHuecrQ1uhrqn7NlVaB']
OG Buda	blago white	4	['1GTyZID5IGOXOAUoQkVlWo', '5MAQgObkQo8YHICDRqdYcg', '2TMaGRtDrXIeLS8Nmwr8Ih', '3Hn9fQkOSSuq4YFa6QK6ot']
104	Skryptonite	4	['7MIa5i5Q7kQrrfYKvwnWZ0', '1KuT6HbB5WKlesMuWWNeCv', '5rUVxBANEvn1VWhniyQLxo', '2z8QxqQ6Kesq4NFfi7A638']
Egor Kreed	OG Buda	4	['1GTyZID5IGOXOAUoQkVlWo', '4LMDURDB7ZcfDZKhLKyG5D', '5BfJXirR4xGajr0vqLpRbn', '4G4Nxu6AtSSEP68n3yUksh']
Egor Kreed	SODA LUV	4	['5WV2aZDWuzj01cRKS0qTq9', '2tUHhci9HT6GofKZly8u10', '4LMDURDB7ZcfDZKhLKyG5D', '1GTyZID5IGOXOAUoQkVlWo']
MAYOT	YUNGWAY	4	['38UIvCjLm4DnYqYRgzeuY9', '4KtfJV3whzYbIx29o91gJp', '3MfoVUFEXWX6bxbACLVZEG', '32B4TUUWIQEhiPQe9fGkPk']
OG Buda	Платина	3	['3Qo7FF0WmgEt3JG3B2qngy', '4bf7qkQuP1TPn5mzWEIgyY', '0WtaVxcn5mDsGpHNaqHCfw']
MUKKA	Три дня дождя	3	['5CQiQFD9ww43uBhi0l56t2', '5a1qwsMxTGWNSvz6joN9fy', '0IzTsc4SI3HddgxTDV5auQ']
Gunna	Young Stoner Life	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Gunna	Young Thug	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
Young Stoner Life	Young Thug	3	['6755DFiZ7CWe2WMdTGW5C1', '7uZqvqXzzYMKrexKxdcGmd', '6rTInqW3YECMkQsBEHw4sd']
163ONMYNECK	Scally Milano	3	['5jryefNsWX0TvFZBAIGlJs', '6Mpk2amwYH8hcDwrWmHx6G', '4MEKP2blIBZSZt8KVAr3PB']
Drake	Future	3	['1K5KBOgreBi5fkEHvg5ap3', '34D6FJysnQioVingDKufuf', '0k1WUmIRnG3xU6fvvDVfRG']
BUSHIDO ZHO	SEEMEE	3	['0hNJQ6rHLHa9YM8ZWogTEk', '3MfoVUFEXWX6bxbACLVZEG', '7wgbL9jtSVoN1Gxe2o1MgR']
163ONMYNECK	SEEMEE	3	['1KYh38VBz1Mkmap5L4Ilxv', '0lWIythF5ili7DcJHkZaZh', '4MEKP2blIBZSZt8KVAr3PB']
MORGENSHTERN	YUNG TRAPPA	3	['67vQ3ivVbQzuTYLsSuGzbV', '2AxEUdsrmwEklnwAbZ53QE', '3HHVtWGKwhMwjUfsQGztzt']
Playboi Carti	Trippie Redd	3	['5gZYpjakt37G3c58FKcQwJ', '2BITQ360Knh6qNAOqR7Dyq', '6iBlllot0wdy8f7V5t8OnR']
