artist_1	artist_2	count	song_ids
Bad Bunny	J Balvin	10	['25ZAibhr3bdlMCLmubZDVt', '7knLcYCOSaURD0d7HUULFM', '0fea68AdmYNygeTGI4RC18', '71pEiUWwfDFiRO6RmFpnBf', '7hynhxDoDpgMIV12JuVtNa', '4R8BJggjosTswLxtkw8V7P', '7alOsNr36sJ8CyOEP4aILq', '58q2HKrzhC3ozto2nDdN4z', '6SYSu569pfYdkDT9A5lZqi', '0uIfrUwwg0Z7KTitul7E3T']
Dreamville	J. Cole	8	['2DjLLLV2r88a8TO0hVTVrS', '7wxDKfgFtRTbupcG4xDhtj', '7wTA0NKIm6T7nP2kaymU2a', '6MF4tRr5lU8qok8IKaFOBE', '3pZO6GoVPeSYDxxsH6vCdj', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Dreamville	JID	8	['2DjLLLV2r88a8TO0hVTVrS', '3QBnJDkME3teXvf52Sfslk', '2gtFMLjQpCTGekMi4oXZxN', '1MJYFJ2igOWZpTo2kDcolx', '5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Gunna	Young Thug	8	['4bi9YrkOvmg4Eb7h00AW2c', '5Z8HZM6iQMhhqyPcCGY5g9', '56AMYGJzxBO6p8v0wEe9de', '2OaKHGvIxoOzIYjyMsxcT8', '2HIjQZsmscClqRGbfzwAgK', '4ea9w8c4ROqiZpJVhfBA3m', '2U3LJfQB0ALLxC7Yy0QW7l', '6igOR5QCn09zAVF2ikZjsV']
Travis Scott	Young Thug	6	['56AMYGJzxBO6p8v0wEe9de', '3RZftiuTcLOqpsd8ZlwNhr', '4ea9w8c4ROqiZpJVhfBA3m', '6gi6y1xwmVszDWkUqab1qw', '7DcvwMAiqKJQD1rrdfxSDx', '3s4mrPrEFFPF0LmAfutW0n']
Bas	Dreamville	6	['4ChD9wq9iakg5UdeSzmgPE', '1MJYFJ2igOWZpTo2kDcolx', '7dnSXaCjLdFiWZa8s5wP1n', '5WnfnSpuNEGXyEt78PBA6d', '4eqrNsKy9Mvg1fvfsTVIAE', '36J0iaPDGbYGsHvYpaYs3k']
Dreamville	EARTHGANG	6	['7wTA0NKIm6T7nP2kaymU2a', '2gtFMLjQpCTGekMi4oXZxN', '4eqrNsKy9Mvg1fvfsTVIAE', '03XfngWwNfhEjrnEga73Rg', '36J0iaPDGbYGsHvYpaYs3k', '1KbCc89SxYma4BnBChkJBs']
Lil Baby	Meek Mill	5	['0hGH0S74Eoyv6mXZcOKtdQ', '6xVhqLT40s5sVhepe9Mckc', '2yrdwMzK9HL3O7dGd79yoC', '12Fkyg9lpmaz2zmKOfw2Y2', '4U6ubKsTd8RBDP5tPPhh7I']
Tyga	YG	5	['3SZqA7rQvROJsCbUu2v0xa', '0EzRnjtN5ER0wu1IudNom8', '1kK6DwzyXJSp58u5HYWwuD', '51wFQM8W0YfXTmHusXUr5i', '3O7lxdQoe1aNWs93VSHsJg']
Buddy	Dreamville	5	['2gtFMLjQpCTGekMi4oXZxN', '4ChD9wq9iakg5UdeSzmgPE', '1MJYFJ2igOWZpTo2kDcolx', '5WnfnSpuNEGXyEt78PBA6d', '1KbCc89SxYma4BnBChkJBs']
