artist_1	artist_2	count	song_ids
DJ Maphorisa	Kabza De Small	26	['2IALIByKLOlp8mcmQhR0IQ', '2dTQe0W5KXs6TNVV7yi2oS', '1VAl1RERtE6sFrgOoh48su', '5hLn749cgx60y104vpn1eP', '4isL1legQBijSpG0ApgFfy', '7m4idt9DsjSA0vcLxfsROE', '2qxgejJTaZIHNSHDD22Uhl', '1juCUMeUqFP7oId0SR2Yfg', '3am2BKue6ewiBUxjkPEAQd', '4tYw8LJySmSEopvN1AknXv', '11lpRETXFQtb66cqUeboRA', '1M4AackaaNVrVHMmAeIEUz', '7ckWQdFniRR7CNsIA1VIML', '6KMsiShDJrospawhS74nzw', '6F70m9aMK4PSJKBfp1H8DZ', '1u265BbMdFyQqapUaxOfpL', '0nx8uE4jpVqMF2kIRWW98W', '11FWK7T4u83yVbypsXLxPr', '3rj4UYvUttaCsXNEuEqAyy', '4tCz4tuI9nqMxERNktPP1b', '3GFSDvZNZPz0B7odw89yHN', '3HqTbenzCpNfL4SWO1QyHH', '22Vev0MNVBHpxgKEF1BT0E', '2YXf32CaC2PzXIgmRb2GK2', '0BQ7v33K5TDbawJXUVyaR4', '62PbbIDGf6AqbpAdNVOIOS']
A-Reece	Jay Jody	15	['3cKL8b1cvJguVg2nvyV6qQ', '4607H11d3SMFfITEICAFZe', '3GVkwKnXddB7g6bAPAVtCl', '6UPZoLHQJpM5GfuCWG1VRV', '2LLbHSB9sZDUl9LPW8DG3w', '69oPVISiqchmjWAdDYsShj', '4f43XL6PM171B9M0xmGlcz', '26ILWM4x1sWMloKyca64Qa', '08X0Fe9QQNo8Z5YvBuAyZG', '0lj4HxiVSyKz193rtmTTOw', '10Wlvjc1fljm8nKm0jRl5y', '6kqnQTNha8gRHzhHtmfgoK', '417jF9tfHQmlA8H1mjpno3', '5rA4DrDz8Dc4JtGBNMntjD', '1eGJ1UlpNwBnc7OhFNAYnx']
Reece Madlisa	Zuma	15	['1aaqdyhF0ibwMb7oWg1HQc', '3l2PBU35wTd0OKht2poI8K', '1J8DxuY0GsQmuAfuYzY0Zi', '10sQHZ1h3LYoNGGMDSDx49', '3xUxyWVG35EwlIlf7Z4yJe', '1tRK9gkWkgKRb0zqM2qhMv', '5JoLSKwjNl6u9lbNslUm07', '0v76oX3eYZTq8D96V9FfG0', '2EzfSuh3u3VlDJct0849Qj', '0mOoPsb9xZTzFqKLLqvkjL', '2H1hYPeKgIQAp439cx7GsX', '1EI3kxTD1xp8afUUnWc6tS', '4SAp2pX61ihBLK9TRLvFqU', '7DsqUINZuae9IbmMAQgx6y', '2jLwKWTyxexSxvyDKjXxVk']
Lil Baby	Lil Durk	14	['3J4VKkUpLvomXJbn9ZAypO', '1EJIcDYXwSqipW5dFe4uJz', '2L6lh2RmMs1yz4FQzdbwOn', '5cAN3P7jWVf78gev1eF7TJ', '4lUmnwRybYH7mMzf16xB0y', '3T9BKc4kB7ukeNQrCqv6ZV', '3vJKLsUYcC7mARUTOMUPaJ', '62nb5YUYUqtYJhVPwRhCke', '4nNw167LUp6j2VvuJdbtv8', '5BCzsnN4U4OvOegjErHTUF', '7eO7rOwH5qVD3UWpO97qTI', '1huoY7hw3hGVGfuPPe9y8P', '2ELp0EL65yitpfJYwc5983', '3E3pb3qH11iny6TFDJvsg5']
Busta 929	Zuma	13	['1aaqdyhF0ibwMb7oWg1HQc', '10sQHZ1h3LYoNGGMDSDx49', '3xUxyWVG35EwlIlf7Z4yJe', '1tRK9gkWkgKRb0zqM2qhMv', '5JoLSKwjNl6u9lbNslUm07', '1lE1Dj3AeMsdu28WnbDfkO', '2b6nCxxqSXvv6z1VFYrvw5', '2H1hYPeKgIQAp439cx7GsX', '1EI3kxTD1xp8afUUnWc6tS', '0XBI9nJMi8lC6BZN3mhLo6', '4SAp2pX61ihBLK9TRLvFqU', '7DsqUINZuae9IbmMAQgx6y', '2jLwKWTyxexSxvyDKjXxVk']
Anderson .Paak	Bruno Mars	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Anderson .Paak	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
Bruno Mars	Silk Sonic	12	['7MAibcTli4IisCtbHKrGMh', '71l8BEtJPXXlWbV6hhTHWK', '7sMBvZCSUl99bJLXZaLa0b', '7ozvuHnA1zWzuTvReLChVL', '5U4laaEEChW8FOtZXCu8C7', '21afd9hCjpQ6lE5DPbcPHP', '4zm8xZiV5FxJu62EHEvZaT', '7HEWQj82REyDOKMAAlB9pc', '1LPSkqVhWVRUkKE03YUkpB', '5joiME4fAdb6FqrsXOs3u9', '2sXf2JdbB2GlNju00kw9WE', '4iN16F8JtVxG2UTzp3avGl']
A-Reece	BLUE TAPE	12	['3cKL8b1cvJguVg2nvyV6qQ', '6UPZoLHQJpM5GfuCWG1VRV', '2LLbHSB9sZDUl9LPW8DG3w', '69oPVISiqchmjWAdDYsShj', '4f43XL6PM171B9M0xmGlcz', '26ILWM4x1sWMloKyca64Qa', '08X0Fe9QQNo8Z5YvBuAyZG', '0lj4HxiVSyKz193rtmTTOw', '10Wlvjc1fljm8nKm0jRl5y', '6kqnQTNha8gRHzhHtmfgoK', '5rA4DrDz8Dc4JtGBNMntjD', '1eGJ1UlpNwBnc7OhFNAYnx']
BLUE TAPE	Jay Jody	12	['3cKL8b1cvJguVg2nvyV6qQ', '6UPZoLHQJpM5GfuCWG1VRV', '2LLbHSB9sZDUl9LPW8DG3w', '69oPVISiqchmjWAdDYsShj', '4f43XL6PM171B9M0xmGlcz', '26ILWM4x1sWMloKyca64Qa', '08X0Fe9QQNo8Z5YvBuAyZG', '0lj4HxiVSyKz193rtmTTOw', '10Wlvjc1fljm8nKm0jRl5y', '6kqnQTNha8gRHzhHtmfgoK', '5rA4DrDz8Dc4JtGBNMntjD', '1eGJ1UlpNwBnc7OhFNAYnx']
Busta 929	Mr JazziQ	12	['7I9PH74yPxXh7mv18A1Qe1', '10sQHZ1h3LYoNGGMDSDx49', '3xUxyWVG35EwlIlf7Z4yJe', '1tRK9gkWkgKRb0zqM2qhMv', '5JoLSKwjNl6u9lbNslUm07', '2H1hYPeKgIQAp439cx7GsX', '0SZtkfDkXwoZshG9hv98WR', '4ax0OTlepDcmOd87itytWX', '45pqQTTSRYTqHT8hZddAsq', '7DsqUINZuae9IbmMAQgx6y', '1uTj9xpEtnBjvVdwg34crN', '2jLwKWTyxexSxvyDKjXxVk']
Da Muziqal Chef	De Mthuda	11	['7uPH5816x60ayewXOIm4i3', '6V4cXOqj8TBjhyH9M5cqG0', '3wbr62bpX7B3Mw5ullGD8Z', '1FqZwb1ZJraBGxneYxRtc0', '1fQ6PokNcOELGBcbuXoGgt', '0W69tpGHdcTjg72v0z00UA', '7jJhZesrKHW9ZADIDloRJp', '4nLJnkaFq9VNYVz1SxJsXi', '5hMRPijl4hm6jOnDhT5EbY', '7iUEGVJWIvWP98odIfuQ2p', '0B5yLnSohxpCCyXUwLVHyL']
Young Stoner Life	Young Thug	11	['6755DFiZ7CWe2WMdTGW5C1', '6rTInqW3YECMkQsBEHw4sd', '7uZqvqXzzYMKrexKxdcGmd', '5hTVyxGfOKyBYhY8fgIIzT', '2RnpmGmVsvCBCb0d74O2N6', '2LRYaXXxkMrvSFyaSZHMPs', '16eZmQoeajKH8G2nPe2chk', '0ky8syPEVEfD7qCxMTW49X', '0GqaZ1L5KAXMNngAZbGvLf', '3kv3JzZg7Jq7vHmnMSYQ0r', '3GkEnNf2RWmdwkA2FfjQ3g']
Busta 929	Reece Madlisa	11	['1aaqdyhF0ibwMb7oWg1HQc', '10sQHZ1h3LYoNGGMDSDx49', '3xUxyWVG35EwlIlf7Z4yJe', '1tRK9gkWkgKRb0zqM2qhMv', '5JoLSKwjNl6u9lbNslUm07', '7GHKr2Fg86xWObxTnz26vK', '2H1hYPeKgIQAp439cx7GsX', '1EI3kxTD1xp8afUUnWc6tS', '4SAp2pX61ihBLK9TRLvFqU', '7DsqUINZuae9IbmMAQgx6y', '2jLwKWTyxexSxvyDKjXxVk']
Mr JazziQ	Zuma	11	['10sQHZ1h3LYoNGGMDSDx49', '3xUxyWVG35EwlIlf7Z4yJe', '1tRK9gkWkgKRb0zqM2qhMv', '5JoLSKwjNl6u9lbNslUm07', '0v76oX3eYZTq8D96V9FfG0', '4KHNX2uuE1USVfokLMjlry', '0mOoPsb9xZTzFqKLLqvkjL', '52j3P6Wla1UVgG2aMCn6Sv', '2H1hYPeKgIQAp439cx7GsX', '7DsqUINZuae9IbmMAQgx6y', '2jLwKWTyxexSxvyDKjXxVk']
Gunna	Young Thug	10	['6755DFiZ7CWe2WMdTGW5C1', '6rTInqW3YECMkQsBEHw4sd', '7uZqvqXzzYMKrexKxdcGmd', '26PSkNzsEBx1BRRB4vY4n5', '4pUxYUHVKXWsgGhEhOu7R9', '4ZkQ2t966y0fmTW6TWNwR2', '2LRYaXXxkMrvSFyaSZHMPs', '0ky8syPEVEfD7qCxMTW49X', '0GqaZ1L5KAXMNngAZbGvLf', '2wSWcyp4Z8ObUaqlNMGd5h']
Abidoza	Cassper Nyovest	9	['0iKBvizuv12IbTAQ8S50M1', '62qP5xYqo0FWDifQyNPEDP', '3WF2ToOE7IsAiCQzkwE8nH', '1CsizXzWjMpyliwIaB9RzA', '4XTi1U1io1dDbkKOFY3RMx', '1NaxpfTsKPGG3Dpw6Fnv35', '0iMJOECk5cofH1XMg5KgK5', '0YGrIVL3Qf3nZByv5VA4BG', '0ARlaesCvV6xDG0u8sa946']
Mr JazziQ	Reece Madlisa	9	['10sQHZ1h3LYoNGGMDSDx49', '3xUxyWVG35EwlIlf7Z4yJe', '1tRK9gkWkgKRb0zqM2qhMv', '5JoLSKwjNl6u9lbNslUm07', '0v76oX3eYZTq8D96V9FfG0', '0mOoPsb9xZTzFqKLLqvkjL', '2H1hYPeKgIQAp439cx7GsX', '7DsqUINZuae9IbmMAQgx6y', '2jLwKWTyxexSxvyDKjXxVk']
AKA	Costa Titch	8	['3AkItgS1KeG9k3RHBqUBp4', '1KwwLLc8NYY7zIeXtEFOyq', '66sUJfHz8E8JBYswjdiEI7', '36bFECFdXHQRNeCHTew40b', '5OytfdA10cXexQmOprnmBe', '6rpJIRXtezPulwlrjov2er', '5PbQKeSihe6TxGEXbmPWOA', '38IvmPcfp8XJjI4sMr5FK5']
Kabza De Small	MDU aka TRP	8	['7J1zesAhvLYYEeD5LpRviC', '5A41EMznk0fW7kWDkGeJ4A', '7xYLmM1Xn7A0LViesq4U0e', '5hLn749cgx60y104vpn1eP', '1adEJxJr10tJPjfvno6vC6', '2t2RhuBxMfhjzeLPsBfPAy', '60n9qdYKZd91YaiwJsvzz8', '62PbbIDGf6AqbpAdNVOIOS']
Kabza De Small	Young Stunna	8	['6aIgC5PHOtRTa8EN4gz3cy', '4tYw8LJySmSEopvN1AknXv', '2dTQe0W5KXs6TNVV7yi2oS', '44xS3ZWr8xsop2SD0m20r8', '37wQgJeV9v7abA5KJjP69D', '15fTZXEIVx3iMpGKfhia2m', '4DK51wqdDW6cg950qnZzYe', '0yOBUasztNyYo071UfGezR']
Mpura	Mr JazziQ	8	['3xUxyWVG35EwlIlf7Z4yJe', '4KHNX2uuE1USVfokLMjlry', '7f3fIjvdCcTVLTWOaQmNCZ', '52j3P6Wla1UVgG2aMCn6Sv', '2H1hYPeKgIQAp439cx7GsX', '1Atp6aKAyCYjM8zPFUULak', '45pqQTTSRYTqHT8hZddAsq', '2jLwKWTyxexSxvyDKjXxVk']
Gunna	Young Stoner Life	7	['6755DFiZ7CWe2WMdTGW5C1', '6rTInqW3YECMkQsBEHw4sd', '7uZqvqXzzYMKrexKxdcGmd', '0DVIjaENXsZIVNVJGbUIGt', '2LRYaXXxkMrvSFyaSZHMPs', '0ky8syPEVEfD7qCxMTW49X', '0GqaZ1L5KAXMNngAZbGvLf']
Aymos	Mas Musiq	7	['1M4AackaaNVrVHMmAeIEUz', '1juCUMeUqFP7oId0SR2Yfg', '3GFSDvZNZPz0B7odw89yHN', '4sX5V0tlkreNy3OYVaMfA1', '1VSqIYu2mCrGgurfE6mdXc', '2YXf32CaC2PzXIgmRb2GK2', '6PnYWo5AZb3q8hj7twOkKt']
Busta 929	Mpura	7	['3xUxyWVG35EwlIlf7Z4yJe', '1lE1Dj3AeMsdu28WnbDfkO', '7jlGgGhaQjn6yrMdiNzIRu', '6fXqwzSkTbzqU1ifFdbP56', '2H1hYPeKgIQAp439cx7GsX', '45pqQTTSRYTqHT8hZddAsq', '2jLwKWTyxexSxvyDKjXxVk']
Mellow & Sleazy	Mr JazziQ	7	['3YcT1AIbx30am7J6H1BAu4', '5RwZncIwjaMcc3mw1BTsFA', '0ZzEK2zm3IKiH0kSb1Zzvy', '6lRXHDXfR3xwm89tNSEVat', '3ZDWlHNxPkVcjhRWJUvPz0', '2P22nuGMf26qeoX7P0oOuT', '21pRTkAdSPCP3tAn7ECYzs']
Tee Jay	ThackzinDJ	7	['4ZAowZS0evxfR6LK1fopaQ', '5tzr7dA5DY5PenztmRpdt2', '4bPLqAcGo9w6dqOy86FmeL', '6RXF8afghRd2Ha6npUg8jk', '0B2mXxwRJh5CTednLnXpsM', '48Z0yx4fvr4tRpm9xtXkmJ', '3s9jBEwEJNJD7Ynzoh8K5I']
