artist_id	name	genres	num_hits	num_collab_hits
1bAftSH8umNcGZ0uyV7LMg	Duki	['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']	24	21
4q3ewBCX7sLwd24euuV69X	Bad Bunny	['reggaeton', 'trap latino', 'urbano latino']	21	11
1DxLCyH42yaHKGK3cl5bvG	Maria Becerra	['pop argentino']	21	16
716NhGYqD1jl2wI1Qkgq36	Bizarrap	['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']	17	17
5Y3MV9DZ0d87NnVm56qSY1	Tiago PZK	['trap argentino', 'trap latino', 'urbano latino']	16	15
5U5wYVqrbD6J8SK4kNhau4	Kaleb Di Masi	['cumbia 420', 'rkt']	16	16
0dUyjgCyjfj5eMx6bX2TWf	FMK	['trap argentino', 'trap triste']	15	13
1mcTU81TzQhprhouKaTkpq	Rauw Alejandro	['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']	12	9
1vqR17Iv8VFdzure1TAXEq	LIT killah	['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']	12	11
3ghRXw2nUEH2THaL82hw8R	La K'onga	['cuarteto']	12	1
2UZIAOlrnyZmyzt1nuXr9y	Nicki Nicole	['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino', 'urbano latino']	11	10
2Htm0q72SjGSmsy8EOIhRG	Los Palmeras	['cumbia santafesina']	11	3
4YYxffPVDFe9XoqqbRW6Bq	L-Gante	['cumbia 420']	10	10
07YUOmWljBTXwIseAUd9TW	Sebastian Yatra	['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']	10	5
3Apb2lGmGJaBmr0TTBJvIZ	Rusherking	['trap argentino', 'trap triste']	9	9
14zUHaJZo1mnYtn6IBRaRP	Justin Quiles	['reggaeton', 'trap latino', 'urbano latino']	9	8
7vXDAI8JwjW531ouMGbfcp	TINI	['latin pop', 'pop argentino']	9	9
5xIOUIBQhGFX7HIj8lhdyU	Omar Varela	['gaming dubstep']	7	7
5CA5IqbsFr4hpNLdjgO0BU	DJ Tao	['cumbia 420']	7	7
6nVcHLIgY5pE2YCl8ubca1	Jhayco	['reggaeton', 'trap latino', 'urbano latino']	7	7
7iK8PXO48WeuP03g8YR51W	Myke Towers	['reggaeton', 'trap latino', 'urbano latino']	7	5
