artist_id	name	genres	num_hits	num_collab_hits
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	75	51
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	65	40
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	46	23
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	44	35
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	43	21
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	41	29
5wyWp867LWGjFmYZXVSFnZ	MERO	['german hip hop']	37	10
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	36	36
3ZuBEj9ppJe8GSdKaMTfMN	Nimo	['german hip hop', 'swedish hip hop']	34	31
39KEQQAG9JhIt71g9NEVhh	Azet	['albanian hip hop', 'german hip hop']	30	23
4lDiJcOJ2GLCK6p9q5BgfK	Kontra K	['christlicher rap', 'german hip hop']	29	14
3drqpTL4sQOckmAfF9i1wg	Summer Cem	['german hip hop']	29	21
0b62itBWBdLgiecXjXCqKC	Maxwell	['german hip hop']	28	28
18ISxWwWjV6rPLoVCXf1dz	RIN	['german cloud rap', 'german hip hop']	27	8
3GBBxBdoolb0B5YizZq9bF	Eno	['german drill', 'german hip hop']	26	14
4Yttlv9ndGjCDCVLqM7ACq	Sido	['german hip hop', 'german pop']	26	17
10XY9PZCJKzUFzZOdtlQLU	LX	['german hip hop', 'hamburg hip hop']	25	25
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	25	7
5j21TGkrNEAJe3gG9VlS34	Shindy	['german hip hop']	24	3
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	24	3
4PvnP3yCzrT289cX3wCdOx	Yung Hurn	['cloud rap', 'german cloud rap', 'german hip hop', 'phonk']	23	6
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	23	20
5p7mWeX4RlvqBCxylfiXdE	KC Rebell	['german drill', 'german hip hop']	23	12
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	22	19
2Im8m4STDBosjfmb5hmP80	Loredana	['frauenrap', 'german hip hop', 'kosovan pop', 'romanian pop']	22	10
5y9wg9qkGBl0n9v9RzaPKu	Capo	['german hip hop']	21	16
0JBdTCGs111JKKYfLqOEBa	Shirin David	['frauenrap', 'german hip hop', 'german pop']	20	6
2otUckChxWf2cp6UP2cD6e	Zuna	['albanian hip hop', 'german hip hop']	20	20
6gto7HVNhu4ARE3P3g8Y5Y	Kollegah	['german hip hop']	20	7
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	20	6
5tHiL8SKSaZGMBUPIiSmX4	KitschKrieg	['german hip hop', 'hamburg hip hop']	19	19
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	19	18
13bDjug9N0pyv3ZUINjkDV	Bausa	['german hip hop']	19	10
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	19	4
6QzzeKV0VcnT2vJMYDPuL4	Trettmann	['german cloud rap', 'german hip hop', 'hamburg hip hop']	18	18
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	18	16
1qQLhymHXFPtP5U8KNKsm6	Apache 207	['german hip hop']	17	1
5oWFxbBrbk2Mw86PLUg3OZ	18 Karat	['german hip hop']	17	8
6wWVKhxIU2cEi0K81v7HvP	Rammstein	['german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']	16	1
2JwyRtuXf2l6sTnSnGVIa1	Farid Bang	['german hip hop']	16	11
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	16	13
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	16	11
3pjq2pDV9RR6VY55wBjVnp	Dardan	['albanian hip hop', 'german hip hop']	16	9
5LHRHt1k9lMyONurDHEdrp	Tyga	['hip hop', 'pop rap', 'rap', 'trap']	15	14
5Sjj30aHCmKcM9SdVX7PBK	GRiNGO	['german hip hop']	15	14
2ErWLckuGFl84nGmg5fwyG	Bilderbuch	['austrian indie', 'austrian pop', 'austropop']	15	1
3c96G4d2lUOxhomM2mby5S	Bushido	['german hip hop']	14	13
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	14	0
4VuARVJiWGsH2msKTdsKdQ	Veysel	['albanian hip hop', 'german drill', 'german hip hop']	14	10
75ctWsRuGXmxMxnFPkuEwA	Fler	['german hip hop', 'german trap']	13	8
2Z9KL8Zmqx5Sg3cd7Fldhl	Olexesh	['german drill', 'german hip hop']	13	10
1yIifIA91WgmfzBcjbQB8i	Kurdo	['german hip hop', 'kurdish hip hop']	13	1
4sg4no0TXdsrM1s4SVUwNF	Juju	['frauenrap', 'german hip hop']	13	4
6LnJKrtFnTEGdbWQ2riWCL	Ezhel	['turkish hip hop', 'turkish trap']	12	12
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	12	12
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	12	6
4A7HeXSd4HtQuf6IR5XZ1b	Fero47	['german hip hop']	12	4
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	12	8
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	12	6
4sVieJlKgpZ2k9ESNS5IdN	Jamule	['german hip hop']	12	7
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	12	6
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	11	11
53EHeXzGs4HheTCTnwfPEr	SFR	[]	11	11
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	11	2
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	11	9
08ao8gzTHBtNf5Laf9jjwR	King Khalil	['german hip hop']	11	9
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	10	4
6C1X5Uh3DPIkC2gaVq00BL	Jala Brat	['balkan hip hop', 'turbo folk']	10	6
5fMUXHkw8R8eOP2RNVYEZX	Diplo	['edm', 'electro house', 'moombahton', 'pop dance']	10	10
64KEffDW9EtZ1y2vBYgq8T	Marshmello	['brostep', 'edm', 'pop', 'progressive electro house']	10	9
4Mt1ci7cKg2DpDS5kJ5mHS	Animus	['german hip hop']	10	10
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	10	7
1pkDzgHvVqC17qYGKfLPpb	Mozzik	['albanian hip hop', 'albanian pop', 'german hip hop', 'kosovan pop']	9	8
