artist_id	name	genres	num_hits	num_collab_hits
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	45	5
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	45	21
2tIP7SsRs7vjIcLrU85W8J	The Kid LAROI	['australian hip hop']	32	15
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	30	19
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	30	17
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	30	12
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	29	10
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	27	7
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	26	15
4r63FhuTkUYltbVAg5TQnk	DaBaby	['hip hop', 'north carolina hip hop', 'rap', 'trap']	24	17
5JZ7CnR6gTvEMKX4g70Amv	Lauv	['pop']	23	16
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	23	11
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	22	8
1GxkXlMwML1oSg5eLPiAz3	Michael Bublé	['adult standards', 'canadian pop', 'jazz pop', 'lounge']	21	7
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	21	2
1HY2Jd0NmPuamShAr6KMms	Lady Gaga	['art pop', 'dance pop', 'pop']	21	7
1nzgtKYFckznkcVMR3Gg4z	KSI	['uk hip hop']	19	14
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	19	13
6kQfGeicc9EiQMzAYX0f9U	ONEFOUR	['aussie drill', 'australian hip hop', 'australian trap']	17	7
4AK6F7OLvEQ5QYCBNiQWHq	One Direction	['boy band', 'pop', 'post-teen pop', 'talent show']	17	0
3MZsBdqDrRTJihTHQrO6Dq	Joji	['viral pop']	17	4
5INjqkS1o8h1imAzPqGZBb	Tame Impala	['australian psych', 'modern rock', 'neo-psychedelic', 'rock']	16	0
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	15	4
26VFTg2z8YR0cCuwLzESi2	Halsey	['electropop', 'etherpop', 'indie poptimism', 'pop']	15	7
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	15	10
5TUXXyB6ZKCdd0vQx6yR2J	Chillinit	['aussie drill', 'australian trap']	15	3
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	14	2
