artist_id	name	genres	num_hits	num_collab_hits
3AlRiyjMywTVNzTcHbf9QT	Lil Kleine	['dutch hip hop', 'dutch rap pop']	44	17
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	42	12
7DUTsWY3RBd64vh8UtgtYA	Lacrim	['arabic hip hop', 'french hip hop', 'pop urbaine', 'rap francais']	37	12
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	37	17
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	33	17
0Jsk5iYMr5aNjHury7blm1	Boef	['dutch hip hop']	33	21
0HDMwoCS316xhKCZlJPBnc	Sevn Alias	['antilliaanse rap', 'dutch hip hop']	27	15
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	25	5
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	24	1
6XyY86QOPPrYVGvF9ch6wz	Linkin Park	['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']	23	3
2UwqpfQtNuhBwviIC0f2ie	Damso	['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']	22	8
6INEFmHKLhMIJAQzHUBAMd	Lijpe	['dutch hip hop']	22	7
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	21	9
58wXmynHaAWI5hwlPZP3qL	Booba	['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']	21	7
7CUFPNi1TU8RowpnFRSsZV	Niska	['french hip hop', 'pop urbaine', 'r&b francais']	20	5
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	18	12
5eir5zFJpES4j7gsymbVyl	Ronnie Flex	['dutch hip hop', 'dutch rap pop']	18	16
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	18	7
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	16	16
