artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	152	77
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	[2017, 2018, 2019, 2020, 2021, 2022]	151	70
6INEFmHKLhMIJAQzHUBAMd	Lijpe	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	115	41
3AlRiyjMywTVNzTcHbf9QT	Lil Kleine	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	105	43
2UwqpfQtNuhBwviIC0f2ie	Damso	['belgian hip hop', 'french hip hop', 'pop urbaine', 'r&b francais', 'rap belge', 'rap conscient']	[2017, 2018, 2019, 2020, 2021, 2022]	100	37
0Jsk5iYMr5aNjHury7blm1	Boef	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	99	59
2kXKa3aAFngGz2P4GjG5w2	SCH	['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']	[2017, 2018, 2019, 2020, 2021, 2022]	96	39
1wFoE1RwBMWoWkXcFrCgsx	Josylvio	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	94	60
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	93	14
1q7T9rFQ2a2ukA1PU51fo3	Koba LaD	['french hip hop', 'pop urbaine', 'rap francais']	[2018, 2019, 2020, 2021, 2022]	91	36
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	91	41
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	87	38
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	87	36
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	85	34
7DUTsWY3RBd64vh8UtgtYA	Lacrim	['arabic hip hop', 'french hip hop', 'pop urbaine', 'rap francais']	[2017, 2018, 2019, 2020, 2021]	84	35
3CnCGFxXbOA8bAK54jR8js	Vald	['french hip hop', 'pop urbaine', 'rap conscient']	[2017, 2018, 2019, 2020, 2021, 2022]	83	30
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	83	52
3IW7ScrzXmPvZhB27hmfgy	Jul	['french hip hop', 'pop urbaine', 'rap marseille']	[2017, 2018, 2019, 2020, 2021, 2022]	83	47
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	82	44
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021]	82	59
7CUFPNi1TU8RowpnFRSsZV	Niska	['french hip hop', 'pop urbaine', 'r&b francais']	[2017, 2018, 2019, 2020, 2021]	82	39
0HDMwoCS316xhKCZlJPBnc	Sevn Alias	['antilliaanse rap', 'dutch hip hop']	[2017, 2018, 2019, 2020, 2021]	78	41
4LXBc13z5EWsc5N32bLxfH	Nekfeu	['french hip hop', 'pop urbaine', 'rap conscient']	[2017, 2018, 2019, 2020, 2021, 2022]	77	33
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	76	37
5gs4Sm2WQUkcGeikMcVHbh	Hamza	['belgian hip hop', 'cloud rap francais', 'french hip hop', 'pop urbaine', 'rap belge', 'rap francais']	[2017, 2018, 2019, 2020, 2021, 2022]	72	28
58wXmynHaAWI5hwlPZP3qL	Booba	['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']	[2017, 2018, 2019, 2020, 2021]	69	31
3DCWeG2J1fZeu0Oe6i5Q6m	PLK	['french hip hop', 'pop urbaine', 'rap conscient', 'rap francais']	[2018, 2019, 2020, 2021, 2022]	67	27
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	62	17
6m1LYS5NQonxjOcQFPQOb5	Frenna	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021]	61	49
1ntQKIMIgESKpKoNXVBvQg	Kaaris	['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'trap antillais']	[2017, 2018, 2019, 2020, 2021, 2022]	61	24
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	60	22
6L34dW6SKMSDaGIfYDU19j	Maes	['french hip hop', 'pop urbaine', 'rap francais']	[2018, 2019, 2020, 2021]	59	31
4sbXXFzEWJY2zsZjelerjX	Dadju	['french hip hop', 'pop urbaine', 'r&b francais']	[2017, 2018, 2019, 2020, 2021]	58	29
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	55	12
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	[2017, 2018, 2019, 2020, 2021, 2022]	55	8
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	55	5
2pHk4wAmL7ofTAuvCIUWtv	Roméo Elvis	['belgian hip hop', 'french hip hop']	[2017, 2018, 2019, 2020, 2021]	54	29
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	52	39
5eir5zFJpES4j7gsymbVyl	Ronnie Flex	['dutch hip hop', 'dutch rap pop']	[2017, 2018, 2019, 2020, 2021, 2022]	51	42
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021, 2022]	51	32
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	50	31
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	49	46
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	49	22
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	48	31
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	48	9
4FpJcNgOvIpSBeJgRg3OfN	Orelsan	['french hip hop', 'old school rap francais', 'rap conscient']	[2017, 2018, 2019, 2021, 2022]	47	15
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	46	27
2Sm4rGKWBnOQhdqDy4JJh0	Zwangere Guy	['belgian hip hop']	[2018, 2019, 2020, 2021, 2022]	46	19
3QVolfxko2UyCOtexhVTli	Angèle	['belgian pop', 'french pop', 'variete francaise']	[2017, 2018, 2019, 2020, 2021, 2022]	45	9
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021, 2022]	44	33
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021]	43	6
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	43	14
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	43	36
0IxgA9wO4Op3CSnPlhfwV1	Kevin	['dutch hip hop']	[2017, 2018, 2019, 2020, 2021]	42	32
0C8ZW7ezQVs4URX5aX7Kqx	Selena Gomez	['pop', 'post-teen pop']	[2017, 2018, 2019, 2020, 2021]	41	20
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	[2017, 2018, 2019, 2020, 2021]	41	25
0hCNtLu0JehylgoiP8L4Gh	Nicki Minaj	['hip pop', 'pop', 'queens hip hop', 'rap']	[2017, 2018, 2019, 2020, 2022]	40	37
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	19
4kYSro6naA4h99UJvo89HB	Cardi B	['pop', 'rap']	[2017, 2018, 2019, 2020, 2021]	39	31
5WUlDfRSoLAfcVSX1WnrxN	Sia	['australian dance', 'australian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	39	22
54kCbQZaZWHnwwj9VP2hn4	Zola	['french hip hop', 'pop urbaine', 'r&b francais', 'rap francais']	[2018, 2019, 2020, 2021]	38	6
6HCBnyTBSLdb3TFn2ayulY	Leto	['french hip hop', 'pop urbaine', 'rap francais']	[2019, 2020, 2021, 2022]	38	21
1mMUzAMrNqoTHgtxA0dZi6	Caballero & JeanJass	['belgian hip hop', 'french hip hop']	[2018, 2019, 2020]	37	21
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2018, 2019, 2020, 2021, 2022]	37	31
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	37	37
62zLrboqOTPyozwi721CVy	Lorenzo	['french hip hop', 'pop urbaine', 'rap conscient']	[2017, 2018, 2019, 2020, 2021]	36	11
7IlRNXHjoOCgEAWN5qYksg	Aya Nakamura	['basshall', 'pop urbaine', 'r&b francais']	[2018, 2019, 2020, 2021, 2022]	36	7
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	36	18
