artist_id	name	genres	num_hits	num_collab_hits
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	29	8
4Cfx9c45o8GigUIYzDie9B	Patent Ochsner	['mundart', 'swiss rock']	21	7
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	19	11
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	18	12
3CnCGFxXbOA8bAK54jR8js	Vald	['french hip hop', 'pop urbaine', 'rap conscient']	17	3
5j4HeCoUlzhfWtjAfM1acR	Stromae	['belgian pop', 'g-house']	16	0
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	15	9
4VxxrJptDJKGOsKvb8jcVe	Lo & Leduc	['mundart', 'swiss reggae']	13	0
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	12	6
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	9	5
5H4yInM5zmHqpKIoMNAx4r	Central Cee	['melodic drill']	8	1
1ntQKIMIgESKpKoNXVBvQg	Kaaris	['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'trap antillais']	8	8
6ytOHdKh4xt4YvF7tz8Zcv	Kalash Criminel	['french hip hop', 'pop urbaine', 'rap francais']	8	8
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	8	6
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	8	3
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	8	2
4sVieJlKgpZ2k9ESNS5IdN	Jamule	['german hip hop']	7	2
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	7	7
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	7	7
6Te49r3A6f5BiIgBRxH7FH	Ninho	['french hip hop', 'pop urbaine']	6	2
76Pl0epAMXVXJspaSuz8im	Freeze corleone	['drill francais', 'french hip hop', 'melodic drill', 'pop urbaine', 'rap francais']	6	6
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	6	5
4P3RXClUWZnQAO6BfrEQXb	ART	['german hip hop']	6	2
3ZuBEj9ppJe8GSdKaMTfMN	Nimo	['german hip hop', 'swedish hip hop']	5	3
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	5	3
6gto7HVNhu4ARE3P3g8Y5Y	Kollegah	['german hip hop']	5	2
3tTvSeZiFDP3CY5EdPGcR4	ASHE 22	['drill francais', 'french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']	5	5
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	5	3
6DPYiyq5kWVQS4RGwxzPC7	Dr. Dre	['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']	5	5
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	5	5
1ZpLpz4tFdvUocboq1KX3M	Big Pat	[]	5	5
3mmI5HKArDwgggj4j0aJyC	BHZ	['german alternative rap', 'german hip hop']	5	5
3pjq2pDV9RR6VY55wBjVnp	Dardan	['albanian hip hop', 'german hip hop']	5	4
1bpI6QDUqmfKmV0Tlhj0Jm	Pajel	['german hip hop']	5	3
5p7mWeX4RlvqBCxylfiXdE	KC Rebell	['german drill', 'german hip hop']	5	1
4lDiJcOJ2GLCK6p9q5BgfK	Kontra K	['christlicher rap', 'german hip hop']	5	4
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	5	0
60uPSVM3svOL8kZ3Wkb3Zw	Monet192	['german hip hop']	4	1
