artist_id	name	genres	num_hits	num_collab_hits
4q3ewBCX7sLwd24euuV69X	Bad Bunny	['reggaeton', 'trap latino', 'urbano latino']	42	23
5XQWXnMwsvuvCPMneXUbsy	Marcianeke	['reggaeton chileno', 'urbano chileno']	27	20
1mcTU81TzQhprhouKaTkpq	Rauw Alejandro	['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']	16	9
4yxLYO2imECxGYTTV7RQKb	Pailita	['drill chileno', 'urbano chileno', 'urbano latino']	13	13
1Yj5Xey7kTwvZla8sqdsdE	Cris Mj	['mambo chileno', 'urbano chileno']	12	8
1vyhD5VmyZ7KMfW5gqLgo5	J Balvin	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	11	11
7iK8PXO48WeuP03g8YR51W	Myke Towers	['reggaeton', 'trap latino', 'urbano latino']	11	9
6nVcHLIgY5pE2YCl8ubca1	Jhayco	['reggaeton', 'trap latino', 'urbano latino']	11	10
790FomKkXshlbRYZFtlgla	KAROL G	['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	11	7
0rjms710nwQTdrQheXHJfz	Standly	['urbano chileno']	10	9
1bAftSH8umNcGZ0uyV7LMg	Duki	['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']	10	9
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	10	2
1fIJZfSmqQkuqfKNRmrS1V	El Jordan 23	['mambo chileno', 'urbano chileno']	9	7
1pQWsZQehhS4wavwh7Fnxd	Lenny Tavárez	['reggaeton', 'trap argentino', 'trap latino', 'urbano latino']	8	8
0Yg29FX1M4ayqjXs0ttZFq	Young Cister	['trap chileno', 'urbano chileno']	8	3
2R21vXR83lH98kGeO99Y66	Anuel AA	['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']	8	6
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	8	4
74RYbbIHke18VFvcsP2iD9	La Noche	['cumbia chilena']	8	0
14zUHaJZo1mnYtn6IBRaRP	Justin Quiles	['reggaeton', 'trap latino', 'urbano latino']	8	7
3EiLUeyEcA6fbRPSHkG5kb	De La Ghetto	['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']	7	1
1DxLCyH42yaHKGK3cl5bvG	Maria Becerra	['pop argentino']	7	6
0gOdu2BvlfycjQlrtk0CQv	La Sonora De Tommy Rey	['chilean rock']	7	0
77ziqFxp5gaInVrF2lj4ht	Sech	['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']	7	6
0NnUMWDCDi1snuMja6IdxH	Harry Nach	['trap chileno', 'urbano chileno']	7	7
2XcZshqzPKm3iZcmt73R8D	Pablo Chill-E	['trap chileno', 'urbano chileno', 'urbano latino']	7	7
2cPqdH7XMvwaBJEVjheH8g	Jay Wheeler	['reggaeton', 'trap latino', 'urbano latino']	6	5
2LmcxBak1alK1bf7d1beTr	Juhn	['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']	6	6
768O5GliF0bqscyghggrbE	Polimá Westcoast	['trap chileno', 'trap triste', 'urbano chileno', 'urbano latino']	6	6
07YUOmWljBTXwIseAUd9TW	Sebastian Yatra	['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']	6	4
5CAruGjgds3QlF5ICtEnnc	Jairo Vera	['mambo chileno', 'urbano chileno']	6	5
6Hs8U0JO2nacXFG4kp15Co	Chico Trujillo	['chicha', 'chilean rock', 'cumbia chilena', 'latin alternative']	6	0
5Y3MV9DZ0d87NnVm56qSY1	Tiago PZK	['trap argentino', 'trap latino', 'urbano latino']	6	6
0x5lhIYknBUEozHuXjkwUs	Galee Galee	['drill chileno', 'urbano chileno']	6	6
5XJDexmWFLWOkjOEjOVX3e	Eladio Carrion	['trap boricua', 'trap latino', 'trap triste', 'urbano latino']	6	4
1SiLK8gdECx2iEm2SSj0Bl	Ak4:20	['urbano chileno', 'urbano latino']	5	2
33ScadVnbm2X8kkUqOkC6Z	Don Omar	['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']	5	3
0CBKUzrf6yGdTgxAQbUUHS	Rafaga	['cumbia chilena', 'cumbia villera']	5	0
3E6xrwgnVfYCrCs0ePERDz	Wisin	['reggaeton', 'urbano latino']	5	5
28gNT5KBp7IjEOQoevXf9N	Camilo	['colombian pop', 'latin pop', 'reggaeton colombiano']	5	4
04TVfWdJWbfH0FOT2zA1Tg	Amar Azul	['chicha', 'cumbia chilena', 'cumbia villera']	5	0
2vnaEm73LHWfchNiQccNBa	El BAI	['reggaeton chileno']	5	5
22QaKKmBIH3QiotuG30W3o	Santaferia	['cumbia chilena']	4	1
0LyfQWJT6nXafLPZqxe9Of	Various Artists	[]	4	0
6eUAVH8tSq8WSJGPLeDN9c	Américo	['cumbia chilena']	4	0
716NhGYqD1jl2wI1Qkgq36	Bizarrap	['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']	4	4
6diRAnbJMBmn4MXIS4IHYk	Los Charros De Lumaco	['cumbia chilena']	4	0
0VqdDDrHPFAdqzDR08FySM	Sonora Malecón	['cumbia chilena']	4	3
21451j1KhjAiaYKflxBjr1	Zion & Lennox	['reggaeton', 'urbano latino']	4	3
0n6sKrG0xKAf8xmdqeNGke	Los Legendarios	[]	4	4
1i8SpTcr7yvPOmcqrbnVXY	Ozuna	['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']	4	3
12vb80Km0Ew53ABfJOepVz	Ñengo Flow	['reggaeton', 'trap latino', 'urbano latino']	4	4
2x7PC78TmgqpEIjaGAZ0Oz	Trueno	['argentine hip hop', 'bases de freestyle', 'trap argentino', 'trap latino', 'urbano latino']	4	2
1r4hJ1h58CWwUQe3MxPuau	Maluma	['latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino']	4	1
3k090bKo2iSqNdowffKHrt	Balbi El Chamako	['mambo chileno', 'reggaeton chileno', 'urbano chileno']	4	4
329e4yvIujISKGKz1BZZbO	Farruko	['reggaeton', 'trap latino', 'urbano latino']	4	3
4SsVbpTthjScTS7U2hmr1X	Arcángel	['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']	4	3
7DXregrznS25AM30UY9sUU	King Savagge	['mambo chileno', 'urbano chileno']	4	3
4Gu5S2cvAxuZvPgqs5zW7e	Sonora Palacios	['cumbia chilena']	4	0
0Q8NcsJwoCbZOHHW63su5S	Mora	['trap latino', 'urbano latino']	4	4
37230BxxYs9ksS7OkZw3IU	Chencho Corleone	['reggaeton flow', 'trap latino', 'urbano latino']	4	4
0LshXUmIub6xKvOq4QmtNs	ITHAN NY	['drill chileno', 'urbano chileno']	4	4
1bwsprbGyKx2vBbPAwVebl	Noche de Brujas	['cumbia chilena']	4	0
1F6ZW5IEGN0HB9LTtldRq0	Arte Elegante	['rap chileno', 'urbano chileno']	3	3
2NfSBtmWe7oPw1EmetJVso	Boza	['panamanian pop', 'reggaeton', 'urbano latino']	3	2
7a0XAaPaK2aDSqa8p3QnC7	Beéle	['reggaeton colombiano', 'trap latino', 'urbano latino']	3	3
4YYxffPVDFe9XoqqbRW6Bq	L-Gante	['cumbia 420']	3	3
6In2JW1cwT0lN97rdmQkAL	Lucho Lambis	[]	3	3
0tmwSHipWxN12fsoLcFU3B	Manuel Turizo	['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	3	3
2mSHY8JOR0nRi3mtHqVa04	Los Prisioneros	['chilean hardcore', 'chilean rock', 'latin rock', 'rock en espanol', 'ska chileno']	3	0
5hdhHgpxyniooUiQVaPxQ0	Nio Garcia	['reggaeton', 'trap latino', 'urbano latino']	3	3
7j6DKwmjbxvpQO8h914uEz	Ryan Castro	['reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']	3	1
6rHwFb0YjWexAYxTjm4eIj	Nickoog Clk	['mambo chileno', 'urbano chileno']	3	2
5RnwLXlnWPF57yzdmUnnvP	El Barto	['reggaeton chileno', 'urbano chileno']	3	3
4obzFoKoKRHIphyHzJ35G3	Becky G	['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'urbano latino']	3	3
0GM7qgcRCORpGnfcN2tCiB	Tainy	['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']	3	3
0iBZjEZBg8GsjaBq3lTAvC	Drago200	['urbano chileno']	3	3
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	3	1
4VMYDCV2IEDYJArk749S6m	Daddy Yankee	['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']	3	3
0QpMp8Y7jFzwCt8OZjKQdd	Tunechikidd	['urbano chileno']	3	3
4IC2X34tZmHG3VfTbpzvwL	Julianno Sosa	['urbano chileno']	3	3
7ltDVBr6mKbRvohxheJ9h1	ROSALÍA	['pop', 'r&b en espanol']	3	2
20BNHnI2SfySwLwWCAu4ew	Drakomafia	['mambo chileno']	3	3
3fZk3Gm5dN5v5yfYMQ04Bx	Dímelo Flow	['reggaeton', 'reggaeton flow', 'urbano latino']	3	3
0KPX4Ucy9dk82uj4GpKesn	Dalex	['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']	3	3
2LRoIwlKmHjgvigdNGBHNo	Feid	['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']	3	3
7vXDAI8JwjW531ouMGbfcp	TINI	['latin pop', 'pop argentino']	3	3
1vqR17Iv8VFdzure1TAXEq	LIT killah	['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']	3	2
3nlpTZci9O5W8RsNoNH559	Juan Luis Guerra 4.40	['bachata', 'latin pop', 'tropical']	2	0
47MpMsUfWtgyIIBEFOr4FE	Lunay	['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']	2	2
7zGKMkRT4IMLgAJmFhf5cz	Grupo Red	['cumbia chilena', 'cumbia villera']	2	0
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	2	1
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	2	0
6hYxQDiGct9yfRlSEv3F8a	Simon la Letra	['reggaeton chileno']	2	2
1dJfjAj2mnpKrGm8ldBjNG	Agrupación Marilyn	['cumbia chilena', 'cumbia paraguaya', 'cumbia villera']	2	0
0dUyjgCyjfj5eMx6bX2TWf	FMK	['trap argentino', 'trap triste']	2	2
7An4yvF7hDYDolN4m5zKBp	Soda Stereo	['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']	2	0
5C4PDR4LnhZTbVnKWXuDKD	Morat	['colombian pop']	2	1
2biH2I1TvZlIIIc5W14oIJ	"Franco ""El Gorilla"""	['reggaeton']	2	2
3BBhJ4tssZm6vSQQ5xPDC1	Villa Cariño	['chilean rock', 'cumbia chilena']	2	0
5GpRyfJV04fcnHBDzfVb8V	Lleflight	['trap chileno', 'urbano chileno']	2	2
2ydZrTy8U3kOMOzx20s3dg	DJ Nelson	['reggaeton', 'urbano latino']	2	2
2Dwsrv9EwfgB2tEFhUG7CA	El Casti	[]	2	2
52iwsT98xCoGgiGntTiR7K	Quevedo	['rap canario', 'trap latino', 'urbano latino']	2	2
6Fz1LTRJ7RAuUf1CRSN3dU	Gabo El Chamaquito	['mambo chileno']	2	2
6kcdJiENvD273QC9rFoP5a	Garras de Amor	['cumbia chilena']	2	0
2Z7XpwcKmrsYyXZw1SqyZ7	Los Vikings 5	['cumbia chilena']	2	0
7FNnA9vBm6EKceENgCGRMb	Anitta	['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']	2	1
0WSHVLqlPkVePCFIUiDuC6	Los Wawanco	['cumbia']	2	0
1FuJ52kzTUVS0HITGdgkLD	Malito Malozo	['urbano chileno']	2	2
3ZfYo6sKskRv0wOyrZZdAj	Sayian Jimmy	['urbano chileno']	2	2
0FwnPHExlRRxEZPLAi5tmG	JC Reyes	['flamenco urbano']	2	2
3qndygm4Vx7bEW8tNyDKSY	Camin	['flamenco urbano']	2	2
7qYeIN2r4H1kBvr0Gm9Iav	Randy	['reggaeton', 'urbano latino']	2	2
1SupJlEpv7RS2tPNRaHViT	Nicky Jam	['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']	2	1
1qto4hHid1P71emI6Fd8xi	Aventura	['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']	2	2
2IMZYfNi21MGqxopj9fWx8	Rels B	['r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']	2	2
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	2	1
7tMukTswF8N6b0zI4rlCmg	Big Cvyu	[]	2	2
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	2	2
6U3ybJ9UHNKEdsH7ktGBZ7	JID	['hip hop', 'rap', 'underground hip hop']	2	2
57nPqD7z62gDdq37US9XJR	Arcane	[]	2	2
47mIJdHORyRerp4os813jD	League of Legends	['speedrun', 'video game music']	2	2
5H1nN1SzW0qNeUEZvuXjAj	Danny Ocean	['pop venezolano', 'reggaeton', 'trap latino', 'urbano latino']	2	0
5h3snNTJSuYLpsdORqRy0A	Yohancito	['mambo chileno']	2	2
0eHQ9o50hj6ZDNBt6Ys1sD	Yandel	['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']	1	1
1wyjMJTy6WbOvYBSDL9fMR	La Combo Tortuga	['cumbia chilena']	1	0
5FQ8tBUtIamA2hRtatrYUF	Marc Seguí	['spanish pop']	1	1
1aMt4A5jrQHxDYyC7rXgV0	Pol Granch	['spanish pop']	1	1
5he5w2lnU9x7JFhnwcekXX	Skrillex	['brostep', 'complextro', 'edm', 'electro', 'pop dance']	1	1
37BIBvfliXJpSgn10yQUJM	Mr. Naisgai	[]	1	1
3PhoLpVuITZKcymswpck5b	Elton John	['glam rock', 'mellow gold', 'piano rock', 'rock']	1	1
6n28c9qs9hNGriNa72b26u	PNAU	['alternative dance', 'aussietronica', 'australian dance', 'australian electropop']	1	1
4V8Sr092TqfHkfAA5fXXqG	Luis Fonsi	['latin pop', 'puerto rican pop']	1	1
4gzpq5DPGxSnKTe4SA8HAU	Coldplay	['permanent wave', 'pop']	1	1
3Nrfpe0tUJi4K4DXYWgMUX	BTS	['k-pop', 'k-pop boy group', 'pop']	1	1
0Y30TbA4p8SAfCzy2AFBa8	Yaviah	['latin hip hop', 'reggaeton']	1	1
4VVEpEhC8NcR7AqNEds42U	Chimbala	['dembow', 'rap dominicano']	1	1
1c22GXH30ijlOfXhfLz9Df	Elvis Crespo	['latin pop', 'salsa', 'tropical']	1	0
2hejA1Dkf8v8R0koF44FvW	Gera MX	['mexican hip hop', 'rap conciencia']	1	1
0XwVARXT135rw8lyw1EeWP	Christian Nodal	['mariachi', 'musica mexicana', 'nueva musica mexicana', 'ranchera']	1	1
7n2Ycct7Beij7Dj7meI4X0	TWICE	['k-pop', 'k-pop girl group', 'pop']	1	0
7lCRuW6BSXGAsxuQV9lR0i	Gigolo Y La Exce	['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']	1	1
4nDoRrQiYLoBzwC5BhVJzF	Camila Cabello	['dance pop', 'pop']	1	1
2qbEtwBVyobgpNP5KcHE9J	Pusho	['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']	1	1
2VSHKHBTiXWplO8lxcnUC9	GAYLE	['modern alternative pop']	1	0
7kaC28XGoTp1ViSZAA0iuX	Jossef	['reggaeton', 'urbano latino']	1	1
128ftF9X7Kd7Di2fq3wYVs	Jamby El Favo	['reggaeton', 'trap latino', 'urbano latino']	1	1
384MqcXCGGFh9UcjI5Tpc5	Eix	['reggaeton flow', 'trap latino', 'urbano latino']	1	1
4puAp107dCehraE47QXVQX	C.R.O	['trap argentino', 'trap triste']	1	1
5TYxZTjIPqKM8K8NuP9woO	C. Tangana	['urbano espanol']	1	0
