artist_id	name	genres	num_hits	num_collab_hits
721o1Z0J6jQupyzLt9RnEk	Yzomandias	['czech drill', 'czech hip hop', 'czsk hip hop']	84	60
6gvVFtkTV4OCyQSCzGgU1h	Nik Tendo	['czech hip hop', 'czsk hip hop']	54	46
4zaslnpNr10iUFJGx0XqpM	Karel Gott	['czech pop']	48	14
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	48	20
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	43	21
57ainBZxHsxXx7fkOjEeeH	Bambini Di Praga	['detske pisnicky']	40	1
4cG43cUBRJWWDsRh4SW48i	Viktor Sheen	['czech drill', 'czech hip hop', 'czsk hip hop']	39	23
2AHugDX8XYbm2SNxbvptQW	Hasan	['czech hip hop', 'czsk emo rap', 'czsk hip hop']	28	20
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	27	3
7dqGBm7HHbJqx8jnGe3KZt	Dětský sbor Camerata	[]	26	0
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	26	7
1I74GELlem5XmPTKYIdb3i	Renne Dang	['czech hip hop', 'czsk hip hop']	25	11
2vMxLcwqHKxvVdBtKRpyUY	Dorian	['czech hip hop', 'czech pop', 'czsk hip hop']	24	8
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	24	20
6A7jNA1DlUaZPTg51DOyTC	Karlo	['czsk hip hop', 'slovak hip hop']	23	23
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	22	15
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	21	18
7wjbFMCXWpPswS7olSgEjX	Decky	['czech hip hop', 'czsk hip hop']	21	20
6P55YsIOHmgooCXGQXcSga	Gleb	['czsk hip hop']	20	7
062AuVsQPIt8pXzbENjI9p	Kamil Hoffmann	['czech hip hop', 'czsk hip hop']	20	20
3aBiDlzy0xIlHfbHAWYton	CA$HANOVA BULHAR	['czech drill', 'czech hip hop', 'czsk hip hop']	19	8
2U1l35agymGrBDFeMIxVLG	Pil C	['czsk emo rap', 'czsk hip hop']	19	13
1dfeR4HaWDbWqFHLkxsg1d	Queen	['classic rock', 'glam rock', 'rock']	19	1
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	19	4
4V1v1oFnKe0b42lZh1QBnF	Ektor	['czech hip hop', 'czsk hip hop']	18	7
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	18	16
7pbijUBmXdie5ChABSM4F7	Smack	['czech hip hop', 'czsk hip hop']	18	13
7uRM93dnA7EtkC70fdC2Pf	Hugo Toxxx	['czech hip hop', 'czsk hip hop']	17	8
6eLwutNh9BFYjrnyEqUc7D	MC Gey	['czech hip hop', 'czsk hip hop']	17	6
6KImCVD70vtIoJWnq6nGn3	Harry Styles	['pop']	16	0
7pyX8AtCyBLC0DXNaGbQRh	Sensey	['czech hip hop', 'czsk emo rap', 'czsk hip hop']	16	11
062wPuKbdxVkXURZqv0Pgj	DJ Wich	['czech hip hop', 'czsk hip hop']	16	16
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	16	5
5m2pDQbSRuWbxRR1FUcHle	Mirai	['czech pop', 'czech pop rock']	16	2
2cusgVvXlY17oMoDAbcdqD	Marpo	['czech hip hop', 'czsk hip hop']	15	15
