artist_id	name	genres	num_hits	num_collab_hits
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	59	28
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	55	40
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	52	28
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	51	33
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	47	22
3drqpTL4sQOckmAfF9i1wg	Summer Cem	['german hip hop']	43	38
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	35	17
4lDiJcOJ2GLCK6p9q5BgfK	Kontra K	['christlicher rap', 'german hip hop']	34	16
1qQLhymHXFPtP5U8KNKsm6	Apache 207	['german hip hop']	31	1
3pjq2pDV9RR6VY55wBjVnp	Dardan	['albanian hip hop', 'german hip hop']	31	17
2JwyRtuXf2l6sTnSnGVIa1	Farid Bang	['german hip hop']	29	19
5p7mWeX4RlvqBCxylfiXdE	KC Rebell	['german drill', 'german hip hop']	29	29
4sVieJlKgpZ2k9ESNS5IdN	Jamule	['german hip hop']	27	13
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	27	11
6ynopZPMBXcIGBI9M02Un5	Haftbefehl	['german hip hop']	26	23
3ZuBEj9ppJe8GSdKaMTfMN	Nimo	['german hip hop', 'swedish hip hop']	25	19
3meJIgRw7YleJrmbpbJK6S	Die drei ???	['hoerspiel']	25	0
2qMezKrAKRh2Z2uR3fCqHt	PA Sports	['german hip hop']	24	20
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	24	6
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	24	15
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	24	12
75ctWsRuGXmxMxnFPkuEwA	Fler	['german hip hop', 'german trap']	23	10
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	23	18
1ul8iLt2WnFe2UIyovjg7q	reezy	['german hip hop', 'german r&b']	23	15
39KEQQAG9JhIt71g9NEVhh	Azet	['albanian hip hop', 'german hip hop']	23	22
07SFzTMeYf5P8Rd32a9Zzw	AK AUSSERKONTROLLE	['german hip hop']	22	17
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	22	15
2Im8m4STDBosjfmb5hmP80	Loredana	['frauenrap', 'german hip hop', 'kosovan pop', 'romanian pop']	22	13
1ZyqnbV7Brg5LgyS4EZCUD	FiNCH	['tekk']	22	9
2YIxQoGvBukvoC1CbJ7opS	Fynn Kliemann	['german pop']	21	0
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	21	10
78wZzI7u1cOjXKuYzqZI6l	Sonus030	[]	20	20
7ADRm1oT7VmhRRZrZqycV6	KASIMIR1441	['german alternative rap', 'german hip hop', 'tekk']	20	15
0t9IVyFGzH79wIFfhEXddQ	Kianush	['german hip hop']	20	16
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	20	3
0bMt8SJlp0gFRUufzifS05	K.I.Z	['german hip hop']	20	4
0cbL6CYnRqpAxf1evwUVQD	Die Ärzte	['german alternative rock', 'german pop', 'german punk', 'german rock']	20	0
23xqmJEN3oVxwzqtNIyR5m	AnnenMayKantereit	['cologne indie', 'german singer-songwriter']	19	1
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	19	13
3mmI5HKArDwgggj4j0aJyC	BHZ	['german alternative rap', 'german hip hop']	19	19
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	18	11
4Yttlv9ndGjCDCVLqM7ACq	Sido	['german hip hop', 'german pop']	18	17
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	18	9
4npEfmQ6YuiwW1GpUmaq3F	Ava Max	['pop']	17	1
