artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
4WZGDpNwrC0vNQyl9QzF7d	Capital Bra	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	243	164
5pVRwX5ZQR7hfJ18w8ZYkl	Ufo361	['german cloud rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	219	115
0Dvx6p8JDyzeOPGmaCIH1L	RAF Camora	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	190	125
1aS5tqEs9ci5P9KD9tZWa6	Bonez MC	['german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	187	159
3CJKkU0XuElRT1z8rEtIYg	Luciano	['german drill', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	184	86
6gto7HVNhu4ARE3P3g8Y5Y	Kollegah	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	159	83
3meJIgRw7YleJrmbpbJK6S	Die drei ???	['hoerspiel']	[2017, 2019, 2020, 2021, 2022]	159	0
3drqpTL4sQOckmAfF9i1wg	Summer Cem	['german hip hop']	[2017, 2018, 2019, 2020, 2021]	143	121
4lDiJcOJ2GLCK6p9q5BgfK	Kontra K	['christlicher rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	143	70
6h1s4i4XKIYv4ErDelLDN0	Samra	['german hip hop']	[2018, 2019, 2020, 2021, 2022]	141	80
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	140	70
2JwyRtuXf2l6sTnSnGVIa1	Farid Bang	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	136	98
3ZuBEj9ppJe8GSdKaMTfMN	Nimo	['german hip hop', 'swedish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	131	106
5eioJDe26lOqkAMbuhzZYs	Gzuz	['deep german hip hop', 'german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	128	98
5p7mWeX4RlvqBCxylfiXdE	KC Rebell	['german drill', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	109	86
2Z9KL8Zmqx5Sg3cd7Fldhl	Olexesh	['german drill', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	104	70
18ISxWwWjV6rPLoVCXf1dz	RIN	['german cloud rap', 'german hip hop']	[2017, 2018, 2019, 2020, 2021]	101	22
75ctWsRuGXmxMxnFPkuEwA	Fler	['german hip hop', 'german trap']	[2017, 2018, 2019, 2020, 2021, 2022]	101	63
10XY9PZCJKzUFzZOdtlQLU	LX	['german hip hop', 'hamburg hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	95	87
3pjq2pDV9RR6VY55wBjVnp	Dardan	['albanian hip hop', 'german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	93	55
0b62itBWBdLgiecXjXCqKC	Maxwell	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	91	83
39KEQQAG9JhIt71g9NEVhh	Azet	['albanian hip hop', 'german hip hop']	[2017, 2018, 2019, 2020, 2021]	91	65
13bDjug9N0pyv3ZUINjkDV	Bausa	['german hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	85	64
4Yttlv9ndGjCDCVLqM7ACq	Sido	['german hip hop', 'german pop']	[2017, 2018, 2019, 2020, 2021, 2022]	84	72
