artist_id	name	genres	num_hits	num_collab_hits
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	27	6
6GTwMrB4u3hwcUyc9sU1UL	The Minds Of 99	['danish alternative rock', 'danish pop', 'danish post-punk', 'danish rock']	20	0
2KbikmQKGiUPR2ARs1h0sq	Gilli	['danish hip hop', 'danish pop']	20	8
1YwMnnHvnG64fJxYSVwmN6	Branco	['danish hip hop', 'danish pop']	17	13
3W7YeaPmcpi1UFutTF49kx	Sivas	['danish hip hop', 'danish pop']	13	8
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	13	4
4ysmSq2N7badobfVT6YZ82	Gobs	['danish hip hop', 'danish pop']	13	5
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	['atl hip hop', 'melodic rap', 'rap', 'trap']	10	7
6aHaYKL09sA8L260zXNlVR	andreas odbjerg	['danish pop', 'scandinavian r&b']	10	2
2feDdbD5araYcm6JhFHHw7	Labrinth	['indie poptimism', 'pop']	10	3
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	9	5
6a3WaWgxrVmNIvaiTCI0Kk	Artigeardit	['danish hip hop', 'danish pop']	9	7
4Bu9ocyPQWQRyk3kXDSNlv	Carmon	['danish hip hop']	8	2
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	['dance pop', 'pop']	8	3
25u4wHJWxCA9vO0CzxAbK7	Lukas Graham	['danish pop', 'scandipop']	7	2
5SwsSD9zyWaWeVyK9qIW9l	Lord Siva	['danish hip hop', 'danish pop']	7	3
7Ap8xCd7d0xon5XnkLvn4i	KIDD	['danish hip hop', 'danish pop']	7	5
1w2fVGZN37TieWhlqS8UwB	Tobias Rahim	['danish pop']	7	4
1dMKCVDiKj96gvK3Agana5	Mowgli	['danish hip hop']	7	1
4dpARuHxo51G3z768sgnrY	Adele	['british soul', 'pop', 'pop soul', 'uk pop']	7	0
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	6	3
2d7AMvzFwh5wUTuqQl3BAE	KESI	['danish hip hop', 'danish pop']	6	6
0yqCOSZ1i0c49UUbE8AzbQ	Rasmus Seebach	['danish pop']	6	1
3RYYha3CC7js2PHbcBHewt	ICEKIID	['danish hip hop', 'danish pop']	6	2
7wy9Plp8SD5l3LDuJubTcv	Jimilian	['danish hip hop', 'danish pop']	6	3
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	5	4
5H4yInM5zmHqpKIoMNAx4r	Central Cee	['melodic drill']	5	1
5cj0lLjcoR7YOSnhnX0Po5	Doja Cat	['dance pop', 'pop']	5	2
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	5	3
0BecZI4vqLoN178y3f16XJ	RH	['danish hip hop', 'danish pop']	5	4
0TnOYISbd1XYRBk9myaseg	Pitbull	['dance pop', 'miami hip hop', 'pop']	4	4
6sCbFbEjbYepqswM1vWjjs	Zendaya	['pop', 'post-teen pop']	4	4
4ZwOlDVAGXQo66ykbLQ8dP	Lamin	['danish hip hop', 'danish pop']	4	3
4nXezpatStChCEWVvYLjd5	TopGunn	['danish hip hop', 'danish pop']	4	1
3QSQFmccmX81fWCUSPTS7y	Dean Lewis	['australian pop', 'singer-songwriter pop']	4	0
3pJK3CUpbnyX7ogDfAwa9J	Tessa	['danish hip hop', 'danish pop']	4	3
5j4HeCoUlzhfWtjAfM1acR	Stromae	['belgian pop', 'g-house']	4	0
6jPriOYMyUL9kNonBI1CNd	Faustix	['dakke dak', 'danish pop']	4	4
2eBqkaIfoNsOPCQCQEy5fD	Benny Jamz	['danish hip hop', 'danish pop']	4	4
14nVYgOiwVBJIEATXIDYC8	Burhan G	['danish pop']	4	3
0bdfiayQAKewqEvaU6rXCv	MØ	['danish pop', 'electropop', 'pop', 'pop dance']	4	0
3jK9MiCrA42lLAdMGUZpwa	Anderson .Paak	['escape room', 'hip hop', 'indie soul', 'neo soul']	4	4
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	4	1
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	4	4
2ysnwxxNtSgbb9t1m2Ur4j	George Ezra	['folk-pop', 'neo-singer-songwriter']	3	0
45dkTj5sMRSjrmBSBeiHym	Tate McRae	['alt z', 'pop']	3	0
6TIYQ3jFPwQSRmorSezPxX	Machine Gun Kelly	['ohio hip hop', 'pop rap']	3	3
7x82LIyCtdFKWxa4kMwdCR	Bro	['danish pop']	3	0
5f7VJjfbwm532GiveGC0ZK	Lil Baby	['atl hip hop', 'atl trap', 'rap', 'trap']	3	3
7c1rIwBQdZMoJD4VE9luoS	Saint clara	['danish pop']	3	1
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	3	2
50co4Is1HCEo8bhOyUWKpn	Young Thug	['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']	3	3
74HomvqoUecDcUPRespyqg	Suspekt	['danish hip hop', 'danish pop']	3	1
3vSX14E4YqHrx8nyXeOVen	Pil	['danish indie pop', 'danish pop']	3	1
1McMsnEElThX1knmY4oliG	Olivia Rodrigo	['pop']	3	0
0LcJLqbBmaGUft1e9Mm8HV	ABBA	['europop', 'swedish pop']	3	0
6idjJt47PjFydVRrAlNw4C	Hans Philip	['danish pop']	3	3
2X22Hm97hQA8mFjSrn2foA	B.O.C	['danish hip hop']	3	3
7jVv8c5Fj3E9VhNjxT4snq	Lil Nas X	['lgbtq+ hip hop']	3	1
6cEuCEZu7PAE9ZSzLLc2oQ	R3HAB	['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']	3	3
6DgP9otnZw5z6daOntINxp	Joel Corry	['dance pop', 'pop dance', 'uk dance']	3	3
4GNC7GD6oZMSxPGyXy4MNB	Lewis Capaldi	['pop', 'uk pop']	3	0
71k6SmcYKiIPq8M2RxK2Jr	Nik & Jay	['danish pop']	3	0
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	3	0
6DPYiyq5kWVQS4RGwxzPC7	Dr. Dre	['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']	3	3
1gm1katIowFM22Ldqcw6DK	Ricky Rich	['swedish hip hop', 'swedish trap pop']	3	3
6PvvGcCY2XtUcSRld1Wilr	Silk Sonic	['neo soul']	3	3
53XhwfbYqKCa1cC15pYq2q	Imagine Dragons	['modern rock', 'pop', 'rock']	3	2
2rR0cafJvL0JVTC8E2qIqt	Saveus	['danish pop']	3	0
2ZuweXv0TkfsidZOLZZoM2	HEDEGAARD	['danish electronic', 'scandipop']	3	3
1WO1hFAkFbeo9tV3uVX7Dy	A1 x J1	['chill drill', 'melodic drill']	2	2
