artist_id	name	genres	years_on_charts	num_hits	num_collab_hits
3TVXtAsR1Inumwj472S9r4	Drake	['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']	[2017, 2018, 2019, 2020, 2021, 2022]	152	79
2KbikmQKGiUPR2ARs1h0sq	Gilli	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	146	112
1YwMnnHvnG64fJxYSVwmN6	Branco	['danish hip hop', 'danish pop']	[2018, 2019, 2020, 2021, 2022]	133	89
1uNFoZAHBGtllmzznpCI3s	Justin Bieber	['canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	111	67
1Xyo4u8uXC1ZmMpatF05PJ	The Weeknd	['canadian contemporary r&b', 'canadian pop', 'pop']	[2017, 2018, 2019, 2020, 2021, 2022]	95	37
2eBqkaIfoNsOPCQCQEy5fD	Benny Jamz	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	93	75
246dkjvS1zLTtiykXe5h60	Post Malone	['dfw rap', 'melodic rap', 'pop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	90	45
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	['hip hop', 'rap', 'slap house']	[2017, 2018, 2019, 2020, 2021, 2022]	88	65
4MCBfE4596Uoi2O4DtmEMz	Juice WRLD	['chicago rap', 'melodic rap', 'rap']	[2018, 2019, 2020, 2021, 2022]	87	36
6eUKZXaKkcviH0Ku9w2n3V	Ed Sheeran	['pop', 'singer-songwriter pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	86	38
6a3WaWgxrVmNIvaiTCI0Kk	Artigeardit	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	85	44
2d7AMvzFwh5wUTuqQl3BAE	KESI	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	85	69
03WNJB1zKyqW8DimkHP4Bg	NODE	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	83	47
2ZQifdPOptKHxTaYTLh0BC	Kim Larsen	['danish pop rock']	[2017, 2018, 2019, 2020, 2021]	83	0
7dGJo4pcD2V6oG8kP0tJRR	Eminem	['detroit hip hop', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	80	41
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	74	30
2ZbyyCS8KLKsuoNlxc76Ev	Ude Af Kontrol	['dakke dak', 'danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	72	11
3W7YeaPmcpi1UFutTF49kx	Sivas	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	72	44
4Bu9ocyPQWQRyk3kXDSNlv	Carmon	['danish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	70	38
6LuN9FCkKOj5PcnpouEgny	Khalid	['pop', 'pop r&b']	[2017, 2018, 2019, 2020, 2021, 2022]	70	41
5K4W6rqBFWDnAN6FQUkS6x	Kanye West	['chicago rap', 'hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	68	23
06HL4z0CvFAxyc27GXpf02	Taylor Swift	['pop']	[2017, 2018, 2019, 2020, 2021, 2022]	64	12
21gbsnlPT5hyxKDKHsBtQj	Stepz	['danish hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	59	29
15UsOTVnJzReFVN1VCnxy4	XXXTENTACION	['emo rap', 'miami hip hop']	[2017, 2018, 2019, 2020, 2021, 2022]	59	17
7n2wHs1TKAczGzO7Dd2rGr	Shawn Mendes	['canadian pop', 'pop', 'viral pop']	[2017, 2018, 2019, 2020, 2021, 2022]	52	17
1Cs0zKBU1kc0i8ypK3B9ai	David Guetta	['big room', 'dance pop', 'edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	51	48
0eDvMgVFoNV3TpwtrVCoTj	Pop Smoke	['brooklyn drill', 'rap']	[2019, 2020, 2021, 2022]	51	32
3RYYha3CC7js2PHbcBHewt	ICEKIID	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	50	28
6qqNVTkY8uBg9cP3Jd7DAH	Billie Eilish	['art pop', 'electropop', 'pop']	[2018, 2019, 2020, 2021, 2022]	50	4
7wy9Plp8SD5l3LDuJubTcv	Jimilian	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	46	30
25u4wHJWxCA9vO0CzxAbK7	Lukas Graham	['danish pop', 'scandipop']	[2017, 2018, 2019, 2020, 2021, 2022]	46	13
2wY79sveU1sp5g7SokKOiI	Sam Smith	['pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	45	10
1IWMpdsWQeTckTQSGVNj8N	Fouli	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	45	31
2dfY7zXIP61MKHtD175hFp	Noah Carter	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021]	43	11
1vCWHaC5f2uS3yhpwWbIA6	Avicii	['edm', 'pop', 'pop dance']	[2017, 2018, 2019, 2020, 2021, 2022]	42	27
6oMuImdp5ZcFhWP0ESe6mG	Migos	['atl hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	42	27
7wrulS1dfanckBnoxxEuS6	Scarlet Pleasure	['danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	41	2
7EJcUkbBsR4kN822bEa0ZS	Jamaika	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	41	22
6AgTAQt8XS6jRWi4sX7w49	Polo G	['chicago rap', 'rap']	[2019, 2020, 2021, 2022]	41	25
74HomvqoUecDcUPRespyqg	Suspekt	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	14
1URnnhqYAYcrqrcwql10ft	21 Savage	['atl hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	40	35
323gjVOWgnKGW3VuT8VKTx	Skinz	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	20
2GmsPqiejcB4bPdxJpkCh6	Citybois	['danish pop']	[2017, 2018, 2019, 2020, 2021]	40	12
1RyvyyTE3xzB2ZywiAwp0i	Future	['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']	[2017, 2018, 2019, 2020, 2021, 2022]	40	34
6M2wZ9GZgrQXHCFfjv46we	Dua Lipa	['dance pop', 'pop', 'uk pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	22
4uvOZHqwKYuWz1ywTBN5En	ZK	['danish hip hop', 'danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	40	16
0yqCOSZ1i0c49UUbE8AzbQ	Rasmus Seebach	['danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	39	1
6l3HvQ5sa6mXTsMTB19rO5	J. Cole	['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']	[2017, 2018, 2019, 2020, 2021, 2022]	39	12
6GTwMrB4u3hwcUyc9sU1UL	The Minds Of 99	['danish alternative rock', 'danish pop', 'danish post-punk', 'danish rock']	[2017, 2018, 2019, 2020, 2021, 2022]	39	0
67pwWZtcg7U2P2keoeC9jW	Benjamin Hav	['danish hip hop', 'danish pop']	[2019, 2020, 2021, 2022]	39	17
0VRj0yCOv2FXJNP47XQnx5	Quavo	['atl hip hop', 'melodic rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	38	37
69GGBxA162lTqCwzJG5jLp	The Chainsmokers	['electropop', 'pop']	[2017, 2018, 2019, 2020, 2022]	38	22
4O15NlyKLIASxsJ0PrXPfz	Lil Uzi Vert	['melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']	[2017, 2018, 2019, 2020, 2021]	37	21
2YZyLoL8N0Wb9xBt1NhZWg	Kendrick Lamar	['conscious hip hop', 'hip hop', 'rap', 'west coast rap']	[2017, 2018, 2019, 2020, 2021]	36	21
7c0XG5cIJTrrAgEC3ULPiq	Ty Dolla $ign	['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']	[2017, 2018, 2019, 2020, 2021]	36	36
3zDRCqOhJXJfS2YWOEwGMC	Christopher	['danish pop']	[2017, 2018, 2019, 2020, 2021, 2022]	35	9
13ubrt8QOOCPljQ2FL1Kca	A$AP Rocky	['east coast hip hop', 'hip hop', 'rap', 'trap']	[2017, 2018, 2019, 2021, 2022]	35	25
